M	A	Rank	Composite
BCL7B	0.0101261767187483	0.703742551307304	3088.37735849057	BCL7B: 3088.37735849057
TBL2	0.00413858987110267	0.346181832782698	6334.71698113208	TBL2: 6334.71698113208
MLXIPL	0.0125449329446285	0.903527228410782	2296.60377358491	MLXIPL: 2296.60377358491
AC005089.1	0.000718722845618451	0.0940531898797004	12624.0943396226	AC005089.1: 12624.0943396226
VPS37D	0.00144811324804078	0.0994258311662675	10200.4433962264	VPS37D: 10200.4433962264
DNAJC30	0.00739718629511483	0.570939818095176	3901.75471698113	DNAJC30: 3901.75471698113
BUD23	0.0195346772060367	1.54218789779003	1184.58490566038	BUD23: 1184.58490566038
STX1A	0.0238548502973806	1.20015263400242	1070.79245283019	STX1A: 1070.79245283019
ABHD11	0.0068693746074173	0.42090773531579	4189.52830188679	ABHD11: 4189.52830188679
CLDN3	0.0216133615750512	1.4428137219941	1069.71698113208	CLDN3: 1069.71698113208
CLDN4	0.0259626609780613	1.24961055219902	1069.83018867925	CLDN4: 1069.83018867925
METTL27	0.00247721355974078	0.151671734698662	8769.24528301887	METTL27: 8769.24528301887
TMEM270	0.000153756036654081	0.00932756370800272	20015.8301886792	TMEM270: 20015.8301886792
AC099398.1	3.09959359172606e-08	0.00016083349867048	27061.4056603774	AC099398.1: 27061.4056603774
ELN	0.000129383784074293	0.00994634109263132	20451.5660377359	ELN: 20451.5660377359
ELN-AS1	0.000410479009570355	0.0203770426530808	15075.2641509434	ELN-AS1: 15075.2641509434
LIMK1	0.00155608439415724	0.121492001455745	10466.2641509434	LIMK1: 10466.2641509434
EIF4H	0.0185169304586707	1.3993918803073	1261.54716981132	EIF4H: 1261.54716981132
LAT2	0.00120241189581295	0.075491033554418	10790.9245283019	LAT2: 10790.9245283019
RFC2	0.00272970477517119	0.215257790623278	7910.32075471698	RFC2: 7910.32075471698
AC005081.1	2.98896279937247e-05	0.00500722357541211	24270.7264150943	AC005081.1: 24270.7264150943
CLIP2	0.0021225647979673	0.158007897572789	8964.71698113207	CLIP2: 8964.71698113207
GTF2IRD1	0.00175976962613823	0.147651933461972	9769.24528301887	GTF2IRD1: 9769.24528301887
AC211433.2	5.12891329710183e-06	0.00112448087951829	26841.9528301887	AC211433.2: 26841.9528301887
GTF2I	0.0206413003615967	1.80769152004762	1059.30188679245	GTF2I: 1059.30188679245
AC211433.1	5.84705309331373e-05	0.00626449127521343	22651.6320754717	AC211433.1: 22651.6320754717
NCF1	0.000729687889848134	0.0192844104417917	14432.1320754717	NCF1: 14432.1320754717
GTF2IRD2	0.00230354006556232	0.223876600005406	8879.05660377358	GTF2IRD2: 8879.05660377358
CASTOR2	0.00549602371183334	0.43885572968519	4870.62264150943	CASTOR2: 4870.62264150943
RCC1L	0.00473231784491523	0.352424000726631	5373.50943396226	RCC1L: 5373.50943396226
GTF2IRD2B	0.00112604108928553	0.105915195469954	11560.3679245283	GTF2IRD2B: 11560.3679245283
AC211486.5	2.21656542650447e-05	0.00448846862169029	24211.5	AC211486.5: 24211.5
AC211486.2	1.09324564783236e-06	0.000780813101070669	26698.1886792453	AC211486.2: 26698.1886792453
AC211486.7	0	0	27241.6698113208	AC211486.7: 27241.6698113208
AC211486.8	0	0	27241.6698113208	AC211486.8: 27241.6698113208
AC211486.6	0	0	27241.6698113208	AC211486.6: 27241.6698113208
TRIM73	0.000940898881255903	0.122890883662532	11388.0188679245	TRIM73: 11388.0188679245
POM121C	0.00358259167430392	0.369063036296568	6354.79245283019	POM121C: 6354.79245283019
SPDYE5	2.59290836976079e-05	0.00260219616438904	24023.2924528302	SPDYE5: 24023.2924528302
HIP1	0.0011476523479453	0.100725553570152	11302.9905660377	HIP1: 11302.9905660377
CCL26	0.000795472182447169	0.0291075726661289	14150.858490566	CCL26: 14150.858490566
CCL24	0	2.0947810065321e-05	27241.6698113208	CCL24: 27241.6698113208
RHBDD2	0.0155010583393746	1.14616312805394	2046.1320754717	RHBDD2: 2046.1320754717
POR	0.00830760418444192	0.732915680601845	3233.88679245283	POR: 3233.88679245283
TMEM120A	0.00507384271197335	0.403454587851416	5747.07547169811	TMEM120A: 5747.07547169811
STYXL1	0.00550526145172389	0.35707570519626	4980.81132075472	STYXL1: 4980.81132075472
MDH2	0.0351423258666582	2.49747826130138	484.849056603774	MDH2: 484.849056603774
SRRM3	0.00209267192778924	0.194486799549616	8856.32075471698	SRRM3: 8856.32075471698
HSPB1	0.0733480241729391	2.9553329444614	194.679245283019	HSPB1: 194.679245283019
YWHAG	0.015240879697424	1.00933948934248	1565.16981132075	YWHAG: 1565.16981132075
SSC4D	0.000296460039131781	0.0212934883613431	16723.6603773585	SSC4D: 16723.6603773585
ZP3	0.000497989646456936	0.0516081391804429	14881	ZP3: 14881
DTX2	0.00174887196984215	0.109012954608044	9920.69811320755	DTX2: 9920.69811320755
AC005522.1	0	5.25130100982518e-06	27241.6698113208	AC005522.1: 27241.6698113208
UPK3B	1.65278499349902e-05	0.00126987527824154	25615.1981132075	UPK3B: 25615.1981132075
SPDYE16	7.49015879380089e-05	0.00424706106193593	20440.4622641509	SPDYE16: 20440.4622641509
POMZP3	0.00092102356934958	0.0800391209474919	12809.6037735849	POMZP3: 12809.6037735849
AC006972.1	1.91505921728374e-05	0.00279117463643779	25428.8018867925	AC006972.1: 25428.8018867925
AC007003.1	0	9.90765085348933e-06	27241.6698113208	AC007003.1: 27241.6698113208
AC114737.1	0	8.45545312587538e-06	27241.6698113208	AC114737.1: 27241.6698113208
CCDC146	0.000400966327074579	0.0286835776102102	14764.5283018868	CCDC146: 14764.5283018868
FGL2	0.000447454374396609	0.0188300886058356	14042.0660377358	FGL2: 14042.0660377358
AC098851.1	0	2.24333977438598e-05	27241.6698113208	AC098851.1: 27241.6698113208
GSAP	0.00170963548826009	0.140719327412756	9801.47169811321	GSAP: 9801.47169811321
AC004921.1	1.3255242530725e-05	0.00137548710787153	24728.9056603774	AC004921.1: 24728.9056603774
AC004921.2	2.00536829533354e-05	0.00493370048431684	25158.9433962264	AC004921.2: 25158.9433962264
PTPN12	0.00444065784414347	0.357243259895592	5691.83018867925	PTPN12: 5691.83018867925
APTR	0.00430799724987279	0.327198280378904	6183.58490566038	APTR: 6183.58490566038
RSBN1L	0.00674137493300704	0.722354062606731	3856.60377358491	RSBN1L: 3856.60377358491
TMEM60	0.0155848159411035	1.00813403404979	1900.88679245283	TMEM60: 1900.88679245283
PHTF2	0.00625971300939601	0.573632322281987	4313.94339622641	PHTF2: 4313.94339622641
AC004990.1	1.70478856520437e-05	0.00183187582885028	25670.9433962264	AC004990.1: 25670.9433962264
MAGI2	0.00461597373292604	0.496960753998413	5359.62264150943	MAGI2: 5359.62264150943
AC006043.1	7.93492190171544e-05	0.0140744083009632	21748.6603773585	AC006043.1: 21748.6603773585
MAGI2-AS1	0	6.25051481707214e-05	27241.6698113208	MAGI2-AS1: 27241.6698113208
MAGI2-AS2	0	1.14943944320959e-05	27241.6698113208	MAGI2-AS2: 27241.6698113208
AC006355.2	0	0.000248146831281564	27241.6698113208	AC006355.2: 27241.6698113208
AC074024.1	0.00011309871875218	0.016644650537281	19240.3396226415	AC074024.1: 19240.3396226415
MAGI2-AS3	0.00988389307349438	0.863117861257351	2723.1320754717	MAGI2-AS3: 2723.1320754717
AC073048.1	0	0.00010407277812888	27241.6698113208	AC073048.1: 27241.6698113208
GNAI1	0.0115456869302899	0.825202635217613	2303.7358490566	GNAI1: 2303.7358490566
AC003988.1	0	0.000101854568451932	27241.6698113208	AC003988.1: 27241.6698113208
AC004862.1	1.98874048067713e-05	0.00355164600477975	24351.3773584906	AC004862.1: 24351.3773584906
CD36	0.00486048304119038	0.264101260788285	5637.11320754717	CD36: 5637.11320754717
GNAT3	3.3374633376084e-08	0.000209988208339614	26901.9245283019	GNAT3: 26901.9245283019
SEMA3C	0.00020153046585115	0.0196980570821158	17799.3113207547	SEMA3C: 17799.3113207547
AC005008.2	0	0	27241.6698113208	AC005008.2: 27241.6698113208
HGF	0.000208777107161271	0.0169769937109724	18526.3773584906	HGF: 18526.3773584906
CACNA2D1	0.0044353419382787	0.449028740782261	5495.92452830189	CACNA2D1: 5495.92452830189
AC006145.1	1.64200035810427e-05	0.00354595820665027	24766.1226415094	AC006145.1: 24766.1226415094
PCLO	0.00743912091963489	0.865116721779339	3543.15094339623	PCLO: 3543.15094339623
AC079799.1	0	0	27241.6698113208	AC079799.1: 27241.6698113208
SEMA3E	0.00347937705299019	0.289506280636005	7162.88679245283	SEMA3E: 7162.88679245283
SEMA3A	0.000166764347415206	0.0164488338697357	18496.8396226415	SEMA3A: 18496.8396226415
AC003984.1	0	1.38624788666043e-05	27241.6698113208	AC003984.1: 27241.6698113208
AC074183.1	0.000281389936986127	0.0240416917176704	18558.1226415094	AC074183.1: 18558.1226415094
SEMA3D	5.14216069260965e-05	0.00781871739161623	21065.1603773585	SEMA3D: 21065.1603773585
LINC00972	0	3.6633190036505e-06	27241.6698113208	LINC00972: 27241.6698113208
GRM3	7.82629606725595e-05	0.00901437004409752	20870.6509433962	GRM3: 20870.6509433962
AC005009.1	6.85208781935735e-06	0.000633878571879729	26498.6698113208	AC005009.1: 26498.6698113208
AC005009.2	3.44819207160752e-05	0.00539436071951742	24293.6603773585	AC005009.2: 24293.6603773585
KIAA1324L	0.00109301501404597	0.108582044821531	11193.5849056604	KIAA1324L: 11193.5849056604
AC004023.1	0	0.000833572316849838	27241.6698113208	AC004023.1: 27241.6698113208
AC005076.1	0.00152148815596759	0.0886879214205291	10272.4339622642	AC005076.1: 10272.4339622642
DMTF1	0.00332427483255901	0.285186810022226	6803.37735849057	DMTF1: 6803.37735849057
TMEM243	0.00466473603301476	0.353511138361693	5756.52830188679	TMEM243: 5756.52830188679
TP53TG1	0.0137072916520429	0.824460302781222	2125.52830188679	TP53TG1: 2125.52830188679
CROT	0.00162469120759652	0.129985252709937	9840.45283018868	CROT: 9840.45283018868
ABCB4	0.000221168573887926	0.0202601292678533	17760.0377358491	ABCB4: 17760.0377358491
ABCB1	0.00252149737941949	0.240626706732715	8265.49056603774	ABCB1: 8265.49056603774
RUNDC3B	0.000595087720181312	0.0513528661086394	12817.3018867925	RUNDC3B: 12817.3018867925
SLC25A40	0.00133675927662153	0.114654637263493	10603.3773584906	SLC25A40: 10603.3773584906
DBF4	0.00154558947970361	0.118633481699322	10260.6226415094	DBF4: 10260.6226415094
ADAM22	0.000736017654346404	0.065717286584101	12645.8773584906	ADAM22: 12645.8773584906
SRI	0.0272692884172738	1.80591199482437	845.132075471698	SRI: 845.132075471698
AC003991.2	2.56665785950757e-06	0.000584256500311241	26349.5471698113	AC003991.2: 26349.5471698113
AC003991.1	2.01547296064174e-05	0.00337807444068651	24526.858490566	AC003991.1: 24526.858490566
STEAP4	0.000856839435491146	0.0633129466796955	13675.141509434	STEAP4: 13675.141509434
AC002069.2	1.80310818552477e-07	0.000269108069431354	27055.7735849057	AC002069.2: 27055.7735849057
ZNF804B	1.89696852406227e-08	0.00023731831611061	27081.8396226415	ZNF804B: 27081.8396226415
TEX47	0	0	27241.6698113208	TEX47: 27241.6698113208
AC002383.1	0	3.26452491524408e-05	27241.6698113208	AC002383.1: 27241.6698113208
STEAP2-AS1	7.52054964605906e-06	0.00146037060085134	26295.9245283019	STEAP2-AS1: 26295.9245283019
AC004969.1	1.85748490028531e-06	0.00139432903610485	26852.8773584906	AC004969.1: 26852.8773584906
STEAP1	0.00197213331173833	0.0980669564025233	10355.2264150943	STEAP1: 10355.2264150943
STEAP2	0.00270037999847553	0.227291510873348	7981.56603773585	STEAP2: 7981.56603773585
CFAP69	0.00021592165427341	0.0256887583935739	16240.7924528302	CFAP69: 16240.7924528302
AC002064.2	0	5.80283700701273e-06	27241.6698113208	AC002064.2: 27241.6698113208
AC002064.1	0	0.000150611213004825	27241.6698113208	AC002064.1: 27241.6698113208
FAM237B	4.98435429169977e-06	0.000730125586857765	26148.6132075472	FAM237B: 26148.6132075472
GTPBP10	0.00198435753844326	0.200449924585379	9119.09433962264	GTPBP10: 9119.09433962264
CLDN12	0.00652176374183982	0.514722106520462	4490.8679245283	CLDN12: 4490.8679245283
CDK14	0.00207323843460983	0.187841799573791	8812.75471698113	CDK14: 8812.75471698113
AC002456.1	0.000555762606111771	0.0334180759684046	13604	AC002456.1: 13604
AC002458.1	9.01753330472615e-08	0.000397068581683119	27070.6320754717	AC002458.1: 27070.6320754717
FZD1	0.00109838813168936	0.0958632946631086	11088.7358490566	FZD1: 11088.7358490566
AC079760.2	1.15680013731226e-07	0.000702970049422991	27064.1320754717	AC079760.2: 27064.1320754717
AC079760.1	0	3.44497064985526e-05	27241.6698113208	AC079760.1: 27241.6698113208
AC000058.1	0	0.000100587140572712	27241.6698113208	AC000058.1: 27241.6698113208
MTERF1	0.00197338967058194	0.137937126292807	9633.49056603774	MTERF1: 9633.49056603774
AC003086.1	1.90706090718395e-05	0.00132351283043217	25134.4150943396	AC003086.1: 25134.4150943396
AKAP9	0.0161512988363122	2.04169050345259	1428.90566037736	AKAP9: 1428.90566037736
CYP51A1	0.0162899550429618	1.33825768272104	1536.94339622642	CYP51A1: 1536.94339622642
CYP51A1-AS1	0.000168816448465071	0.0199492428906064	17107.141509434	CYP51A1-AS1: 17107.141509434
LRRD1	4.8932372802338e-05	0.0044148286213774	23039.4905660377	LRRD1: 23039.4905660377
KRIT1	0.00403118050159884	0.439873128291099	5944.20754716981	KRIT1: 5944.20754716981
AC000120.1	0	0.0013575210803191	27241.6698113208	AC000120.1: 27241.6698113208
ANKIB1	0.00378805012460575	0.423049553852105	6220.33962264151	ANKIB1: 6220.33962264151
GATAD1	0.00687104489395626	0.720198943470757	3681.83018867925	GATAD1: 3681.83018867925
AC007566.1	0.000660527004366831	0.0802005609726752	12681.8113207547	AC007566.1: 12681.8113207547
ERVW-1	1.85175151119173e-06	0.00174184114596193	26295.0754716981	ERVW-1: 26295.0754716981
PEX1	0.00253865668205758	0.25527725986137	7930.52830188679	PEX1: 7930.52830188679
RBM48	0.00217937511661657	0.194645435262312	8697.11320754717	RBM48: 8697.11320754717
FAM133B	0.010538484918914	0.970520146706752	2405.64150943396	FAM133B: 2405.64150943396
CDK6	0.00486074227842877	0.489672464656927	5248.84905660377	CDK6: 5248.84905660377
AC000065.2	4.19441035725847e-06	0.00264790771315295	26170.8773584906	AC000065.2: 26170.8773584906
AC000065.1	5.40826433096125e-06	0.00146232222074983	25879.0566037736	AC000065.1: 25879.0566037736
AC002454.1	3.40745760049123e-05	0.00328794598757555	23146.0849056604	AC002454.1: 23146.0849056604
SAMD9	0.00260431296385321	0.243906929581923	7963.16981132075	SAMD9: 7963.16981132075
SAMD9L	0.000542418066535557	0.0424678313588057	13998.0471698113	SAMD9L: 13998.0471698113
HEPACAM2	0.00942861871025187	0.634938942597636	3526.2641509434	HEPACAM2: 3526.2641509434
VPS50	0.00247285869308273	0.217209038846103	7969.71698113208	VPS50: 7969.71698113208
CALCR	1.67756756090104e-05	0.00355056907822653	24388.3396226415	CALCR: 24388.3396226415
GNGT1	2.95670921128077e-07	0.000546025171931622	26888.4433962264	GNGT1: 26888.4433962264
TFPI2	0.0139110533485823	0.369555491376726	3377	TFPI2: 3377
AC002076.1	5.56431674205231e-06	0.00221479847395217	25457.0943396226	AC002076.1: 25457.0943396226
GNG11	0.0119158155677864	0.338444950767795	3243.16981132075	GNG11: 3243.16981132075
BET1	0.0106103660807245	0.635189787055078	3086.81132075472	BET1: 3086.81132075472
AC006378.1	0	3.13684504312434e-05	27241.6698113208	AC006378.1: 27241.6698113208
AC003092.1	5.68820109107404e-05	0.00735124530722802	22587.0377358491	AC003092.1: 22587.0377358491
AC003092.2	9.15325051403744e-06	0.00157050364506683	25944.6226415094	AC003092.2: 25944.6226415094
AC002074.1	3.92599841038982e-06	0.00155489469084668	25649.7264150943	AC002074.1: 25649.7264150943
AC002074.2	0	2.15417333399974e-05	27241.6698113208	AC002074.2: 27241.6698113208
COL1A2	0.0308785416305497	0.39095864820992	1273.94339622642	COL1A2: 1273.94339622642
CASD1	0.00441153920102732	0.423827846987426	5558.35849056604	CASD1: 5558.35849056604
SGCE	0.00874990464117583	0.838269950173454	3070.03773584906	SGCE: 3070.03773584906
PEG10	0.021954652720416	1.43145550651418	1058.71698113208	PEG10: 1058.71698113208
PPP1R9A	0.00549760804152431	0.565215091919453	4887.67924528302	PPP1R9A: 4887.67924528302
AC002429.2	3.65123138659993e-05	0.00439715393385634	23827.5943396226	AC002429.2: 23827.5943396226
PON1	0.000436832848594703	0.0402958121943045	15890.2924528302	PON1: 15890.2924528302
PON3	0.00540293177338465	0.386533871668424	4950.30188679245	PON3: 4950.30188679245
PON2	0.00872537074970436	0.669911881134684	3397.79245283019	PON2: 3397.79245283019
AC005021.1	3.32792541500408e-05	0.00220188633350768	23840.0377358491	AC005021.1: 23840.0377358491
AC004012.1	0.000111119500322731	0.00899879042316069	20735.141509434	AC004012.1: 20735.141509434
ASB4	0.000579555812447847	0.0461161886221498	13432.0660377358	ASB4: 13432.0660377358
AC002451.1	0.00131855256841403	0.0882137865412911	11092.6037735849	AC002451.1: 11092.6037735849
PDK4	0.0271165740407968	1.26649066659666	951.320754716981	PDK4: 951.320754716981
DYNC1I1	0.00366330798922395	0.31229123339544	6624.1320754717	DYNC1I1: 6624.1320754717
SLC25A13	0.00382947945361891	0.371021926096696	6392.54716981132	SLC25A13: 6392.54716981132
SEM1	0.0361109502754854	2.59544336008854	535.905660377358	SEM1: 535.905660377358
DLX6-AS1	2.04042861347315e-06	0.000275560788264929	26003.9716981132	DLX6-AS1: 26003.9716981132
DLX6	1.35944037032305e-06	0.000187583161348828	27036.4528301887	DLX6: 27036.4528301887
DLX5	3.25850521818682e-06	0.00101569845120848	25972.4245283019	DLX5: 25972.4245283019
SDHAF3	0.00701845239586537	0.465818780149665	4317.03773584906	SDHAF3: 4317.03773584906
TAC1	0.00391895539276611	0.0552526754682333	11695.4622641509	TAC1: 11695.4622641509
ASNS	0.00069203797517062	0.071367276352824	12495.5660377358	ASNS: 12495.5660377358
AC079781.5	0.000348537776740871	0.0291201833955502	15341.8679245283	AC079781.5: 15341.8679245283
OCM2	0	0	27241.6698113208	OCM2: 27241.6698113208
LMTK2	0.00184329003917024	0.193536046016826	9030.32075471698	LMTK2: 9030.32075471698
BHLHA15	1.73507007626113e-07	0.000567801641196603	27056.7264150943	BHLHA15: 27056.7264150943
TECPR1	0.00230992059475096	0.19041339090819	8443.67924528302	TECPR1: 8443.67924528302
BRI3	0.0339639764154286	2.91030732849826	526.698113207547	BRI3: 526.698113207547
BAIAP2L1	0.00468060580743987	0.342430396261444	6217.83018867925	BAIAP2L1: 6217.83018867925
AC093799.1	2.52509125406659e-05	0.00351902824776946	24057.4528301887	AC093799.1: 24057.4528301887
NPTX2	0.0256035849274062	1.39231069514736	979.018867924528	NPTX2: 979.018867924528
TMEM130	0.000541510989327379	0.0421985407467513	14196.8962264151	TMEM130: 14196.8962264151
TRRAP	0.00245202925813193	0.231670279004814	7985.49056603774	TRRAP: 7985.49056603774
AC004893.3	3.49215734859444e-06	0.000875965146239365	25939.2735849057	AC004893.3: 25939.2735849057
SMURF1	0.002411524590507	0.198855062325902	8603.98113207547	SMURF1: 8603.98113207547
KPNA7	0.000162562311242035	0.0149225944361988	21024.9811320755	KPNA7: 21024.9811320755
AC004834.1	3.84858439772863e-05	0.00436665321219099	23712.8018867925	AC004834.1: 23712.8018867925
ARPC1A	0.0256270248185845	1.8986323145981	904.660377358491	ARPC1A: 904.660377358491
ARPC1B	0.0295404518214445	2.07727594486554	659.056603773585	ARPC1B: 659.056603773585
PDAP1	0.0225790373479743	1.59538842402838	978.150943396226	PDAP1: 978.150943396226
BUD31	0.0238293335237784	1.57721799428244	946.603773584906	BUD31: 946.603773584906
PTCD1	0.00126206910151269	0.0918736213243143	10761.1698113208	PTCD1: 10761.1698113208
CPSF4	0.00254974755070457	0.174521582909352	8525.05660377358	CPSF4: 8525.05660377358
ATP5MF	0.0435099140842013	2.70480802448892	366.830188679245	ATP5MF: 366.830188679245
ZNF789	0.00145829734846219	0.121508878354242	10419.358490566	ZNF789: 10419.358490566
ZNF394	0.00364406668576815	0.317181545486088	6553.01886792453	ZNF394: 6553.01886792453
ZKSCAN5	0.0010452110564469	0.0819343206700878	11265.320754717	ZKSCAN5: 11265.320754717
FAM200A	0.0022504689029937	0.174769166254429	8708.96226415094	FAM200A: 8708.96226415094
ZNF655	0.00803750531278697	0.634287211298614	3326.43396226415	ZNF655: 3326.43396226415
TMEM225B	0.000609632569020303	0.0452467319615562	13447.0471698113	TMEM225B: 13447.0471698113
ZSCAN25	0.000710252366537342	0.0545977432386428	12367.0377358491	ZSCAN25: 12367.0377358491
CYP3A5	0.00495456651582103	0.337285717560552	5624.24528301887	CYP3A5: 5624.24528301887
CYP3A7	6.27388522000545e-07	0.000258332320011288	26717.1320754717	CYP3A7: 26717.1320754717
CYP3A4	4.2467723729347e-06	0.00152581906446477	26355.4528301887	CYP3A4: 26355.4528301887
AC069294.1	2.04421335858676e-06	0.000544292781312878	26132.7075471698	AC069294.1: 26132.7075471698
CYP3A43	2.19937109802749e-06	0.00078856277860964	26696.6132075472	CYP3A43: 26696.6132075472
OR2AE1	2.33900205592233e-06	0.000465443648786466	27044.820754717	OR2AE1: 27044.820754717
TRIM4	0.00502594377777946	0.384785304608829	5145.66037735849	TRIM4: 5145.66037735849
GJC3	0.000194135827606383	0.0109081456740827	17769.2547169811	GJC3: 17769.2547169811
AC004522.3	2.6081085392312e-05	0.0023804843013909	23929.8679245283	AC004522.3: 23929.8679245283
AZGP1	0.00297738831465152	0.138094244634763	9192.47169811321	AZGP1: 9192.47169811321
AC004522.4	6.7871518668631e-06	0.000471916899650325	26296.4433962264	AC004522.4: 26296.4433962264
AC004522.5	8.04529816385989e-05	0.00486304058799429	21470.6886792453	AC004522.5: 21470.6886792453
ZKSCAN1	0.0176984955486579	1.8370631914923	1295.49056603774	ZKSCAN1: 1295.49056603774
ZSCAN21	0.00208566303355333	0.143797749208264	9269.22641509434	ZSCAN21: 9269.22641509434
ZNF3	0.00332146570306572	0.279873678626092	7238.41509433962	ZNF3: 7238.41509433962
COPS6	0.0210278080033669	1.47788221460078	1069.56603773585	COPS6: 1069.56603773585
MCM7	0.00416603655044292	0.200865650026711	6598.05660377359	MCM7: 6598.05660377359
AP4M1	0.00382060649718332	0.309096964123588	6521.35849056604	AP4M1: 6521.35849056604
TAF6	0.00483229152236738	0.361090053367223	5924.03773584906	TAF6: 5924.03773584906
AC073842.2	2.94261775892726e-05	0.00452955275038021	24598.5754716981	AC073842.2: 24598.5754716981
CNPY4	0.00271479566681418	0.197956281663206	8185.11320754717	CNPY4: 8185.11320754717
MBLAC1	0.00173291402437855	0.114300328562326	9410.30188679245	MBLAC1: 9410.30188679245
AC073842.1	8.0958867650051e-06	0.000933862091200149	25553.0283018868	AC073842.1: 25553.0283018868
LAMTOR4	0.0403168435636059	2.45209896836063	383.811320754717	LAMTOR4: 383.811320754717
MAP11	0.00135540630369676	0.102237657873107	10665.8490566038	MAP11: 10665.8490566038
GAL3ST4	9.7088626566984e-05	0.0101640762603194	19593.5943396226	GAL3ST4: 19593.5943396226
GPC2	0.000295008808868482	0.0202518420570692	16827.1603773585	GPC2: 16827.1603773585
STAG3	0.000346145595217722	0.0326561768411307	15088.4622641509	STAG3: 15088.4622641509
CASTOR3	0.00151257200537624	0.146503372574179	10078.9811320755	CASTOR3: 10078.9811320755
PVRIG	1.57209693754328e-07	0.000296535985733647	27069.4811320755	PVRIG: 27069.4811320755
SPDYE3	6.63768158332142e-05	0.00450422076153201	22144.3773584906	SPDYE3: 22144.3773584906
PILRB	0.00315524459892313	0.281103367327257	7195.01886792453	PILRB: 7195.01886792453
PILRA	0.000152954737876258	0.0100071662071822	20073.7547169811	PILRA: 20073.7547169811
AC005071.1	0	7.14834653606045e-05	27241.6698113208	AC005071.1: 27241.6698113208
ZCWPW1	0.00125126682064394	0.108948756844124	10972.5094339623	ZCWPW1: 10972.5094339623
MEPCE	0.0027376848608248	0.209855419151407	7865.52830188679	MEPCE: 7865.52830188679
AC092849.2	3.89312976706907e-07	0.000240530917195537	26722.5471698113	AC092849.2: 26722.5471698113
PPP1R35	0.00718513710193712	0.553447328388138	3588.58490566038	PPP1R35: 3588.58490566038
AC092849.1	5.57418600218493e-06	0.002197140091239	25912.3301886792	AC092849.1: 25912.3301886792
C7orf61	3.85546013440704e-05	0.0049035614424411	23220.2169811321	C7orf61: 23220.2169811321
TSC22D4	0.00764649756875065	0.609848500058471	4001.81132075472	TSC22D4: 4001.81132075472
AC092849.3	8.57794375818334e-05	0.00821311559999754	21536.9811320755	AC092849.3: 21536.9811320755
NYAP1	0.000810270175313093	0.0654628081418328	12195.9245283019	NYAP1: 12195.9245283019
AC069281.1	2.80205554625412e-05	0.00321112822301445	23564.2924528302	AC069281.1: 23564.2924528302
AGFG2	0.0026156027928775	0.188671563443407	8464.32075471698	AGFG2: 8464.32075471698
SAP25	0.000516504178854579	0.0239884836285468	13716.0849056604	SAP25: 13716.0849056604
LRCH4	0.00464640515068023	0.307387874769192	5692.50943396226	LRCH4: 5692.50943396226
FBXO24	9.60842183913652e-05	0.00872125061145681	20283.9528301887	FBXO24: 20283.9528301887
PCOLCE-AS1	9.79115311837846e-06	0.000882117284285068	26286.4622641509	PCOLCE-AS1: 26286.4622641509
PCOLCE	0.00430293988808434	0.184173771219046	6948.01886792453	PCOLCE: 6948.01886792453
MOSPD3	0.00443674579948129	0.333137608316479	6507.92452830189	MOSPD3: 6507.92452830189
TFR2	0.000126096199411955	0.00888934035979354	20170.9622641509	TFR2: 20170.9622641509
ACTL6B	0.00298773225914688	0.221539795010573	7616.43396226415	ACTL6B: 7616.43396226415
GNB2	0.0253172830615109	1.82839171855624	882.396226415094	GNB2: 882.396226415094
GIGYF1	0.00565768288111523	0.26790900055627	4928.64150943396	GIGYF1: 4928.64150943396
POP7	0.0122476487940872	0.820460066572124	2343.98113207547	POP7: 2343.98113207547
EPO	0.000169319762119466	0.017197598416055	19560.2924528302	EPO: 19560.2924528302
ZAN	6.07833721266086e-08	0.000168672867224437	27079.1698113208	ZAN: 27079.1698113208
EPHB4	0.000907082497713099	0.0718215357891069	12273.4716981132	EPHB4: 12273.4716981132
SLC12A9	0.00151677074361685	0.139362634403464	9901.16981132075	SLC12A9: 9901.16981132075
SLC12A9-AS1	0.000182698557698076	0.00972182232654036	19420.2735849057	SLC12A9-AS1: 19420.2735849057
TRIP6	0.00468594076588029	0.235681960967074	7026	TRIP6: 7026
SRRT	0.00585368654002237	0.369623755838018	4490.64150943396	SRRT: 4490.64150943396
UFSP1	0.000807520570560865	0.0570599214220995	12325.9811320755	UFSP1: 12325.9811320755
ACHE	0.00108659038632267	0.0826409226527379	12017.2547169811	ACHE: 12017.2547169811
MUC3A	0.000761742476603879	0.050765377264451	14145.7924528302	MUC3A: 14145.7924528302
AC254629.1	2.29384504935492e-06	0.00116695948313236	26350.5094339623	AC254629.1: 26350.5094339623
MUC12	0.000663744433228703	0.0428651270824244	12875.6226415094	MUC12: 12875.6226415094
AC105446.1	0.000200763824487298	0.0153566743633578	18736.5566037736	AC105446.1: 18736.5566037736
MUC17	7.85843726918471e-08	0.000442471529088364	27064.9716981132	MUC17: 27064.9716981132
TRIM56	0.00693529542033653	0.762525010552346	3816.56603773585	TRIM56: 3816.56603773585
SERPINE1	0.0141638669446295	0.337771944536549	2520.52830188679	SERPINE1: 2520.52830188679
AP1S1	0.0199235512440476	1.40695037854381	1250.84905660377	AP1S1: 1250.84905660377
VGF	0.0942200251744586	3.77498767413575	103.962264150943	VGF: 103.962264150943
