ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	Celltype
GO:0042596	fear response	5/171	41/18866	3.32E-05	0.00315902	0.002691034	DPP4/ADRB1/CRH/CCK/DRD1	5	Alpha
GO:0002027	regulation of heart rate	7/171	104/18866	4.51E-05	0.003997092	0.003404952	RGS4/ADRB1/BVES/ANK2/KCNJ3/KCNH6/TAC1	7	Alpha
GO:0043279	response to alkaloid	7/171	104/18866	4.51E-05	0.003997092	0.003404952	RGS4/ADORA2A/CRH/PRKCG/OPRM1/TAC1/DRD1	7	Alpha
GO:0061337	cardiac conduction	8/171	148/18866	6.21E-05	0.005315054	0.004527667	FXYD3/ANK2/KCNJ3/KCNIP1/KCNH6/CACNG1/CACNG7/KCNJ4	8	Alpha
GO:0010959	regulation of metal ion transport	13/171	396/18866	6.81E-05	0.00559224	0.00476379	RGS4/GCG/FXYD5/FXYD3/KCNAB1/F2/ANK2/GPER1/KCNIP1/ADORA2A/CRH/CACNG1/DRD1	13	Alpha
GO:0050804	modulation of chemical synaptic transmission	14/171	454/18866	6.98E-05	0.00559224	0.00476379	RGS4/VGF/GPER1/GRIN3A/ADORA2A/LRRTM2/CRH/PRKCG/DCC/EPHA4/TAC1/DRD1/CACNG7/RIMS4	14	Alpha
GO:0006814	sodium ion transport	10/171	241/18866	7.18E-05	0.00559224	0.00476379	FXYD5/FXYD3/SLC38A4/SLC17A1/CACNA1I/SLC38A8/SLC6A19/SLC34A3/SLC17A2/SLC17A3	10	Alpha
GO:0061045	negative regulation of wound healing	6/171	78/18866	7.60E-05	0.005745331	0.004894201	ADAMTS18/F2/APOH/FAP/CD109/FGB	6	Alpha
GO:0042730	fibrinolysis	4/171	26/18866	8.34E-05	0.006009231	0.005119006	F2/APOH/FAP/FGB	4	Alpha
GO:0050817	coagulation	12/171	349/18866	8.42E-05	0.006009231	0.005119006	F10/ADAMTS18/F2/APOH/SERPINA10/ADORA2A/SERPIND1/PRKCG/FAP/HS3ST5/F13A1/FGB	12	Alpha
GO:0030195	negative regulation of blood coagulation	5/171	50/18866	8.79E-05	0.006102534	0.005198488	ADAMTS18/F2/APOH/FAP/FGB	5	Alpha
GO:1900047	negative regulation of hemostasis	5/171	51/18866	9.67E-05	0.006539865	0.005571031	ADAMTS18/F2/APOH/FAP/FGB	5	Alpha
GO:0070838	divalent metal ion transport	14/171	471/18866	0.000102926	0.006779897	0.005775504	RGS4/GCG/F2/ANK2/GPER1/GRIN3A/ADORA2A/CRH/CACNA1I/OPRM1/CACNG1/DRD1/CACNG7/SLC39A12	14	Alpha
GO:0072511	divalent inorganic cation transport	14/171	478/18866	0.000120144	0.007716235	0.00657313	RGS4/GCG/F2/ANK2/GPER1/GRIN3A/ADORA2A/CRH/CACNA1I/OPRM1/CACNG1/DRD1/CACNG7/SLC39A12	14	Alpha
GO:0006816	calcium ion transport	13/171	426/18866	0.000141114	0.008841994	0.007532116	RGS4/GCG/F2/ANK2/GPER1/GRIN3A/ADORA2A/CRH/CACNA1I/OPRM1/CACNG1/DRD1/CACNG7	13	Alpha
GO:0050818	regulation of coagulation	6/171	88/18866	0.000148904	0.00910795	0.007758672	ADAMTS18/F2/APOH/FAP/HS3ST5/FGB	6	Alpha
GO:0014072	response to isoquinoline alkaloid	4/171	31/18866	0.000169362	0.00988845	0.008423547	RGS4/PRKCG/OPRM1/TAC1	4	Alpha
GO:0043278	response to morphine	4/171	31/18866	0.000169362	0.00988845	0.008423547	RGS4/PRKCG/OPRM1/TAC1	4	Alpha
GO:0035725	sodium ion transmembrane transport	8/171	174/18866	0.000191231	0.010773932	0.009177852	FXYD5/FXYD3/SLC17A1/CACNA1I/SLC6A19/SLC34A3/SLC17A2/SLC17A3	8	Alpha
GO:0046415	urate metabolic process	3/171	13/18866	0.000195737	0.010773932	0.009177852	ABCG2/SLC17A1/SLC17A3	3	Alpha
GO:0017157	regulation of exocytosis	9/171	222/18866	0.00019711	0.010773932	0.009177852	VSNL1/GRIN3A/ADORA2A/PRKCG/CACNA1I/DRD1/RIMS4/FGB/IL4	9	Alpha
GO:0030431	sleep	4/171	34/18866	0.000244393	0.012974138	0.011052112	ADRB1/ADORA2A/CRH/CACNA1I	4	Alpha
GO:0051917	regulation of fibrinolysis	3/171	14/18866	0.000247463	0.012974138	0.011052112	F2/APOH/FAP	3	Alpha
GO:0051047	positive regulation of secretion	11/171	340/18866	0.000281864	0.014482176	0.012336745	GCG/VSNL1/GPER1/ADORA2A/AVPR1B/CRH/CACNA1I/TAC1/CCK/FGB/IL4	11	Alpha
GO:0007596	blood coagulation	11/171	343/18866	0.000303755	0.015180417	0.012931547	F10/ADAMTS18/F2/APOH/SERPINA10/ADORA2A/SERPIND1/PRKCG/FAP/F13A1/FGB	11	Alpha
GO:0060134	prepulse inhibition	3/171	15/18866	0.000307272	0.015180417	0.012931547	GRIN3A/ADORA2A/DRD1	3	Alpha
GO:0007599	hemostasis	11/171	348/18866	0.000343425	0.016504541	0.014059511	F10/ADAMTS18/F2/APOH/SERPINA10/ADORA2A/SERPIND1/PRKCG/FAP/F13A1/FGB	11	Alpha
GO:0003018	vascular process in circulatory system	8/171	190/18866	0.000346923	0.016504541	0.014059511	ADRB1/ABCG2/GPER1/ADORA2A/AVPR1B/FABP5/DRD1/FGB	8	Alpha
GO:0006813	potassium ion transport	9/171	242/18866	0.000372459	0.017397221	0.014819947	RGS4/FXYD3/KCNAB1/ANK2/KCNJ3/KCNIP1/KCNH6/DRD1/KCNJ4	9	Alpha
GO:0046928	regulation of neurotransmitter secretion	6/171	106/18866	0.000409951	0.01853391	0.015788244	GPER1/GRIN3A/ADORA2A/PRKCG/DRD1/RIMS4	6	Alpha
GO:0001662	behavioral fear response	4/171	39/18866	0.000418438	0.01853391	0.015788244	DPP4/CRH/CCK/DRD1	4	Alpha
GO:0007190	activation of adenylate cyclase activity	4/171	39/18866	0.000418438	0.01853391	0.015788244	ADRB1/ADCY7/ADCY2/DRD1	4	Alpha
GO:0002209	behavioral defense response	4/171	40/18866	0.000461668	0.02010212	0.017124135	DPP4/CRH/CCK/DRD1	4	Alpha
GO:0007212	dopamine receptor signaling pathway	4/171	41/18866	0.000507989	0.021649703	0.018442454	RGS4/OPRM1/NSG2/DRD1	4	Alpha
GO:0051924	regulation of calcium ion transport	9/171	253/18866	0.000514065	0.021649703	0.018442454	RGS4/GCG/F2/ANK2/GPER1/ADORA2A/CRH/CACNG1/DRD1	9	Alpha
GO:0002526	acute inflammatory response	6/171	111/18866	0.000524281	0.021723843	0.018505611	F2/PTGER3/OPRM1/TAC1/NLRP3/IL4	6	Alpha
GO:0045187	regulation of circadian sleep/wake cycle, sleep	3/171	18/18866	0.000540152	0.022026217	0.018763191	ADRB1/ADORA2A/CRH	3	Alpha
GO:1903532	positive regulation of secretion by cell	10/171	313/18866	0.000587444	0.023580351	0.020087091	GCG/VSNL1/GPER1/ADORA2A/CRH/CACNA1I/TAC1/CCK/FGB/IL4	10	Alpha
GO:0032095	regulation of response to food	3/171	19/18866	0.000637173	0.024801472	0.021127311	PRKCG/OPRM1/CCK	3	Alpha
GO:2000319	regulation of T-helper 17 cell differentiation	3/171	19/18866	0.000637173	0.024801472	0.021127311	IL23R/NLRP3/IL4	3	Alpha
GO:1903305	regulation of regulated secretory pathway	7/171	162/18866	0.000698201	0.026771314	0.022805336	GRIN3A/ADORA2A/PRKCG/CACNA1I/DRD1/RIMS4/IL4	7	Alpha
GO:0009914	hormone transport	10/171	323/18866	0.000748186	0.028266013	0.024078606	DPP4/TTR/GCG/VSNL1/VGF/GPER1/CRH/CRYM/TAC1/FGB	10	Alpha
GO:0051588	regulation of neurotransmitter transport	6/171	120/18866	0.000791123	0.029414997	0.025057376	GPER1/GRIN3A/ADORA2A/PRKCG/DRD1/RIMS4	6	Alpha
GO:2000300	regulation of synaptic vesicle exocytosis	5/171	80/18866	0.000801499	0.029414997	0.025057376	GRIN3A/ADORA2A/PRKCG/DRD1/RIMS4	5	Alpha
GO:0014075	response to amine	4/171	47/18866	0.000857736	0.030776699	0.026217352	RGS4/ADORA2A/GLDC/DRD1	4	Alpha
GO:0051928	positive regulation of calcium ion transport	6/171	122/18866	0.000862562	0.030776699	0.026217352	GCG/F2/ANK2/GPER1/CRH/DRD1	6	Alpha
GO:0042692	muscle cell differentiation	11/171	390/18866	0.000883682	0.031098351	0.026491353	RGS4/POPDC3/BVES/ANK2/GPER1/KLHL41/SGCZ/NPNT/ACTA1/MYO18B/IL4	11	Alpha
GO:0030193	regulation of blood coagulation	5/171	82/18866	0.000896582	0.031125952	0.026514865	ADAMTS18/F2/APOH/FAP/FGB	5	Alpha
GO:0042220	response to cocaine	4/171	48/18866	0.00092916	0.031826827	0.027111911	RGS4/CRH/OPRM1/DRD1	4	Alpha
GO:1900046	regulation of hemostasis	5/171	83/18866	0.000947155	0.032016339	0.027273348	ADAMTS18/F2/APOH/FAP/FGB	5	Alpha
GO:0042749	regulation of circadian sleep/wake cycle	3/171	22/18866	0.000992621	0.032262437	0.027482988	ADRB1/ADORA2A/CRH	3	Alpha
GO:0050802	circadian sleep/wake cycle, sleep	3/171	22/18866	0.000992621	0.032262437	0.027482988	ADRB1/ADORA2A/CRH	3	Alpha
GO:2000316	regulation of T-helper 17 type immune response	3/171	22/18866	0.000992621	0.032262437	0.027482988	IL23R/NLRP3/IL4	3	Alpha
GO:0002673	regulation of acute inflammatory response	4/171	49/18866	0.001004669	0.032262437	0.027482988	PTGER3/TAC1/NLRP3/IL4	4	Alpha
GO:0043270	positive regulation of ion transport	9/171	284/18866	0.001165339	0.036683208	0.031248853	GCG/F2/ANK2/GPER1/ADORA2A/AVPR1B/CRH/CCK/DRD1	9	Alpha
GO:0060291	long-term synaptic potentiation	5/171	87/18866	0.001170893	0.036683208	0.031248853	ADORA2A/LRRTM2/CRH/EPHA4/DRD1	5	Alpha
GO:0046887	positive regulation of hormone secretion	6/171	131/18866	0.001247578	0.038614784	0.032894281	GCG/VSNL1/GPER1/CRH/TAC1/FGB	6	Alpha
GO:0055001	muscle cell development	7/171	183/18866	0.001420866	0.041947393	0.035733187	RGS4/BVES/ANK2/KLHL41/SGCZ/ACTA1/MYO18B	7	Alpha
GO:1903034	regulation of response to wounding	7/171	183/18866	0.001420866	0.041947393	0.035733187	ADAMTS18/F2/APOH/FAP/EPHA4/CD109/FGB	7	Alpha
GO:0051952	regulation of amine transport	5/171	91/18866	0.001431545	0.041947393	0.035733187	RGS4/ADORA2A/CRH/CCK/DRD1	5	Alpha
GO:0022410	circadian sleep/wake cycle process	3/171	25/18866	0.001453218	0.041947393	0.035733187	ADRB1/ADORA2A/CRH	3	Alpha
GO:0032104	regulation of response to extracellular stimulus	3/171	25/18866	0.001453218	0.041947393	0.035733187	PRKCG/OPRM1/CCK	3	Alpha
GO:0032107	regulation of response to nutrient levels	3/171	25/18866	0.001453218	0.041947393	0.035733187	PRKCG/OPRM1/CCK	3	Alpha
GO:0003333	amino acid transmembrane transport	5/171	92/18866	0.001502888	0.042899096	0.036543903	RGS4/SLC7A14/SLC38A4/SLC38A8/SLC6A19	5	Alpha
GO:0001508	action potential	6/171	138/18866	0.001628554	0.045568901	0.038818195	ANK2/KCNJ3/GPER1/CACNA1I/TAC1/DRD1	6	Alpha
GO:0071377	cellular response to glucagon stimulus	3/171	26/18866	0.001631895	0.045568901	0.038818195	GCG/ADCY7/ADCY2	3	Alpha
GO:0007586	digestion	6/171	141/18866	0.001816502	0.048300797	0.04114538	MUC13/PTGER3/ARX/CRH/TAC1/CCK	6	Alpha
GO:0001963	synaptic transmission, dopaminergic	3/171	27/18866	0.001823736	0.048300797	0.04114538	ADORA2A/CRH/DRD1	3	Alpha
GO:0006817	phosphate ion transport	3/171	27/18866	0.001823736	0.048300797	0.04114538	SLC17A1/SLC34A3/SLC17A3	3	Alpha
GO:0048520	positive regulation of behavior	3/171	27/18866	0.001823736	0.048300797	0.04114538	ADORA2A/CRH/CCK	3	Alpha
GO:0072539	T-helper 17 cell differentiation	3/171	27/18866	0.001823736	0.048300797	0.04114538	IL23R/NLRP3/IL4	3	Alpha
GO:0000280	nuclear division	79/232	428/18866	9.31E-72	1.97E-68	1.60E-68	PRC1/MND1/ZWINT/BRCA2/KIFC1/SGO1/CDCA5/NCAPG/NCAPH/CHEK1/CENPK/CDT1/ANLN/CDCA8/MAD2L1/SPAG5/PSMC3IP/NUSAP1/CDK1/CCNE2/PKMYT1/BUB1B/KIF14/FANCA/KIF11/RACGAP1/NUF2/BIRC5/FANCD2/RAD51/AURKB/TPX2/BUB1/MYBL1/NCAPG2/TTK/CDC20/CDC6/RAD54L/DSN1/BRIP1/NEK2/SMC4/KIF23/DMC1/TACC3/KIF2C/UBE2C/KIF20B/CKS2/EME1/TRIP13/CCNB2/DLGAP5/PLK1/TOP2A/DSCC1/MYBL2/SGO2/KIF18A/KIF4A/AURKA/KNTC1/CENPF/ASPM/KNSTRN/MKI67/PTTG1/CDC25C/PSRC1/FBXO43/SYCE2/NDC80/KIF18B/CENPE/RAD54B/HASPIN/CCNB1/ESPL1	79	Proliferating Alpha
GO:0048285	organelle fission	80/232	476/18866	2.64E-69	2.79E-66	2.26E-66	PRC1/MND1/ZWINT/BRCA2/KIFC1/SGO1/CDCA5/NCAPG/NCAPH/CHEK1/CENPK/CDT1/ANLN/CDCA8/MAD2L1/SPAG5/PSMC3IP/NUSAP1/CDK1/CCNE2/PKMYT1/BUB1B/KIF14/FANCA/KIF11/RACGAP1/NUF2/BIRC5/FANCD2/RAD51/AURKB/TPX2/BUB1/MYBL1/NCAPG2/TTK/CDC20/CDC6/RAD54L/DSN1/BRIP1/NEK2/SMC4/KIF23/DMC1/TACC3/KIF2C/UBE2C/KIF20B/MTFR2/CKS2/EME1/TRIP13/CCNB2/DLGAP5/PLK1/TOP2A/DSCC1/MYBL2/SGO2/KIF18A/KIF4A/AURKA/KNTC1/CENPF/ASPM/KNSTRN/MKI67/PTTG1/CDC25C/PSRC1/FBXO43/SYCE2/NDC80/KIF18B/CENPE/RAD54B/HASPIN/CCNB1/ESPL1	80	Proliferating Alpha
GO:0007059	chromosome segregation	71/232	334/18866	1.04E-68	7.34E-66	5.96E-66	PRC1/ZWINT/KIFC1/BRCA1/SGO1/CDCA5/NCAPG/NCAPH/CENPW/CENPK/CDT1/CDCA8/MAD2L1/SPAG5/KNL1/NUSAP1/CCNE2/OIP5/CENPH/BUB1B/KIF14/RACGAP1/NUF2/SKA1/BIRC5/FANCD2/AURKB/FEN1/BUB1/CENPN/NCAPG2/CDCA2/TTK/CDC20/CDC6/DSN1/BRIP1/NEK2/SMC4/KIF23/RMI2/DMC1/TACC3/KIF2C/UBE2C/SKA3/EME1/TRIP13/DLGAP5/ESCO2/PLK1/TOP2A/DSCC1/SGO2/KIF18A/KIF4A/CENPF/KNSTRN/MKI67/PTTG1/PSRC1/HJURP/SYCE2/NDC80/KIF18B/CENPE/SMC1B/HASPIN/FAM83D/CCNB1/ESPL1	71	Proliferating Alpha
GO:0140014	mitotic nuclear division	62/232	286/18866	3.38E-60	1.79E-57	1.45E-57	PRC1/ZWINT/KIFC1/SGO1/CDCA5/NCAPG/NCAPH/CHEK1/CENPK/CDT1/ANLN/CDCA8/MAD2L1/SPAG5/NUSAP1/CDK1/PKMYT1/BUB1B/KIF14/KIF11/RACGAP1/NUF2/BIRC5/AURKB/TPX2/BUB1/NCAPG2/TTK/CDC20/CDC6/DSN1/NEK2/SMC4/KIF23/TACC3/KIF2C/UBE2C/KIF20B/TRIP13/CCNB2/DLGAP5/PLK1/DSCC1/MYBL2/SGO2/KIF18A/KIF4A/AURKA/KNTC1/CENPF/KNSTRN/MKI67/PTTG1/CDC25C/PSRC1/FBXO43/NDC80/KIF18B/CENPE/HASPIN/CCNB1/ESPL1	62	Proliferating Alpha
GO:0098813	nuclear chromosome segregation	60/232	272/18866	1.12E-58	4.73E-56	3.84E-56	PRC1/ZWINT/KIFC1/SGO1/CDCA5/NCAPG/NCAPH/CENPK/CDT1/CDCA8/MAD2L1/SPAG5/KNL1/NUSAP1/CCNE2/BUB1B/KIF14/RACGAP1/NUF2/FANCD2/AURKB/FEN1/BUB1/NCAPG2/TTK/CDC20/CDC6/DSN1/BRIP1/NEK2/SMC4/KIF23/RMI2/DMC1/TACC3/KIF2C/UBE2C/EME1/TRIP13/DLGAP5/ESCO2/PLK1/TOP2A/DSCC1/SGO2/KIF18A/KIF4A/CENPF/KNSTRN/PTTG1/PSRC1/SYCE2/NDC80/KIF18B/CENPE/SMC1B/HASPIN/FAM83D/CCNB1/ESPL1	60	Proliferating Alpha
GO:0000819	sister chromatid segregation	52/232	196/18866	2.98E-55	1.05E-52	8.53E-53	PRC1/ZWINT/KIFC1/SGO1/CDCA5/NCAPG/NCAPH/CENPK/CDT1/CDCA8/MAD2L1/SPAG5/NUSAP1/BUB1B/KIF14/RACGAP1/NUF2/AURKB/FEN1/BUB1/NCAPG2/TTK/CDC20/CDC6/DSN1/NEK2/SMC4/KIF23/RMI2/TACC3/KIF2C/UBE2C/TRIP13/DLGAP5/ESCO2/PLK1/TOP2A/DSCC1/SGO2/KIF18A/KIF4A/CENPF/KNSTRN/PTTG1/PSRC1/NDC80/KIF18B/CENPE/SMC1B/HASPIN/CCNB1/ESPL1	52	Proliferating Alpha
GO:0000070	mitotic sister chromatid segregation	47/232	161/18866	4.50E-52	1.36E-49	1.10E-49	PRC1/ZWINT/KIFC1/SGO1/CDCA5/NCAPG/NCAPH/CENPK/CDT1/CDCA8/MAD2L1/SPAG5/NUSAP1/BUB1B/KIF14/RACGAP1/NUF2/AURKB/BUB1/NCAPG2/TTK/CDC20/CDC6/DSN1/NEK2/SMC4/KIF23/TACC3/KIF2C/UBE2C/TRIP13/DLGAP5/PLK1/DSCC1/SGO2/KIF18A/KIF4A/CENPF/KNSTRN/PTTG1/PSRC1/NDC80/KIF18B/CENPE/HASPIN/CCNB1/ESPL1	47	Proliferating Alpha
GO:0006260	DNA replication	47/232	273/18866	2.39E-40	6.31E-38	5.12E-38	PCLAF/ORC6/BRCA2/BRCA1/MCM6/CHEK1/FAM111B/ATAD5/CDT1/CCNA2/DTL/CDK1/CCNE2/CHAF1A/MCM7/CLSPN/CDC45/RFC3/RAD51/GINS2/MCM10/FEN1/RRM2/BLM/POLQ/MCM4/GINS1/CDC6/ORC1/MCM5/BRIP1/RMI2/MCM2/RECQL4/GINS4/EME1/ESCO2/BARD1/WDHD1/DSCC1/POLE2/RNASEH2A/EXO1/DNA2/E2F7/PIF1/E2F8	47	Proliferating Alpha
GO:0051321	meiotic cell cycle	40/232	254/18866	9.96E-33	2.34E-30	1.90E-30	MND1/BRCA2/SGO1/NCAPH/PSMC3IP/CCNE2/PKMYT1/BUB1B/FANCA/NUF2/FANCD2/RAD51/BUB1/MYBL1/TTK/CDC20/RAD54L/BRIP1/NEK2/SMC4/DMC1/CDC25A/XRCC2/CKS2/EME1/TRIP13/PLK1/TOP2A/SGO2/KIF18A/AURKA/EXO1/ASPM/PTTG1/CDC25C/FBXO43/SYCE2/SMC1B/RAD54B/ESPL1	40	Proliferating Alpha
GO:0071103	DNA conformation change	44/232	355/18866	2.10E-31	4.44E-29	3.61E-29	ASF1B/CENPM/HELLS/CENPU/MCM6/CDCA5/NCAPG/NCAPH/CENPW/CENPK/KNL1/NUSAP1/CDK1/CHAF1A/OIP5/CENPH/MCM7/RFC3/RAD51/GINS2/BLM/POLQ/MCM4/CENPN/NCAPG2/RAD54L/MCM5/BRIP1/SMC4/HMGB2/MCM2/RECQL4/GINS4/TOP2A/DSCC1/CENPA/DNA2/CENPI/CENPO/HJURP/RAD54B/ERCC6L/CCNB1/PIF1	44	Proliferating Alpha
GO:1902850	microtubule cytoskeleton organization involved in mitosis	32/232	144/18866	2.73E-31	5.24E-29	4.26E-29	PRC1/KIFC1/MAD2L1/NUSAP1/CENPH/KIF11/RACGAP1/NUF2/POC1A/BIRC5/AURKB/TPX2/WDR62/TTK/CDC20/NEK2/KIF23/TACC3/STMN1/SAPCD2/DLGAP5/PLK1/MYBL2/KIF4A/AURKA/CENPA/STIL/PSRC1/NDC80/CENPE/CCNB1/ESPL1	32	Proliferating Alpha
GO:1903046	meiotic cell cycle process	35/232	193/18866	6.81E-31	1.20E-28	9.74E-29	MND1/BRCA2/SGO1/NCAPH/PSMC3IP/CCNE2/BUB1B/FANCA/NUF2/FANCD2/RAD51/BUB1/MYBL1/TTK/CDC20/RAD54L/BRIP1/SMC4/DMC1/CDC25A/CKS2/EME1/TRIP13/PLK1/TOP2A/SGO2/KIF18A/AURKA/ASPM/PTTG1/CDC25C/FBXO43/SYCE2/RAD54B/ESPL1	35	Proliferating Alpha
GO:0051983	regulation of chromosome segregation	28/232	107/18866	1.20E-29	1.95E-27	1.58E-27	CDCA5/CDT1/MAD2L1/SPAG5/BUB1B/RACGAP1/AURKB/FEN1/BUB1/TTK/CDC20/CDC6/NEK2/RMI2/TACC3/KIF2C/UBE2C/TRIP13/DLGAP5/PLK1/CENPF/KNSTRN/MKI67/PTTG1/NDC80/CENPE/CCNB1/ESPL1	28	Proliferating Alpha
