"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006458","GO:0006458","'de novo' protein folding","7/48","41/18866",9.20268971937679e-12,1.35112217243577e-09,8.87685285849933e-10,"HSPA1A/HSPA6/HSPA1B/DNAJB1/HSPH1/HSPD1/HSPA8",7
"GO:0035967","GO:0035967","cellular response to topologically incorrect protein","10/48","166/18866",1.03835450742014e-11,1.39745210790294e-09,9.18123985508333e-10,"HSPA1A/HSPA6/HSPA1B/DDIT3/BAG3/PPP1R15A/HSPD1/HERPUD1/DNAJB9/HSPA8",10
"GO:0051085","GO:0051085","chaperone cofactor-dependent protein refolding","6/48","32/18866",1.69099100010065e-10,2.10073112704811e-08,1.38017726971777e-08,"HSPA1A/HSPA6/HSPA1B/DNAJB1/HSPH1/HSPA8",6
"GO:0051084","GO:0051084","'de novo' posttranslational protein folding","6/48","37/18866",4.29688845524026e-10,4.95676775372359e-08,3.2565891450242e-08,"HSPA1A/HSPA6/HSPA1B/DNAJB1/HSPH1/HSPA8",6
"GO:0070841","GO:0070841","inclusion body assembly","5/48","24/18866",3.52640718939884e-09,3.79676507391941e-07,2.4944690855537e-07,"HSPA1A/HSPA1B/DNAJB1/BAG3/DNAJA4",5
"GO:0043618","GO:0043618","regulation of transcription from RNA polymerase II promoter in response to stress","7/48","109/18866",1.07141179763953e-08,1.0814562832424e-06,7.10515192118845e-07,"HSPA1A/DNAJB1/DDIT3/BAG3/UBC/JUN/UBB",7
"GO:0090084","GO:0090084","negative regulation of inclusion body assembly","4/48","11/18866",1.20105845509808e-08,1.14100553234318e-06,7.49638961448215e-07,"HSPA1A/HSPA1B/DNAJB1/DNAJA4",4
"GO:0043620","GO:0043620","regulation of DNA-templated transcription in response to stress","7/48","115/18866",1.557499744277e-08,1.39742338167075e-06,9.18105112415915e-07,"HSPA1A/DNAJB1/DDIT3/BAG3/UBC/JUN/UBB",7
"GO:0097201","GO:0097201","negative regulation of transcription from RNA polymerase II promoter in response to stress","4/48","12/18866",1.79822638222183e-08,1.52849242488856e-06,1.00421728159535e-06,"HSPA1A/DNAJB1/BAG3/JUN",4
"GO:0097193","GO:0097193","intrinsic apoptotic signaling pathway","9/48","290/18866",4.19874649477407e-08,3.39048779453006e-06,2.22754550880645e-06,"HSPA1A/HSPB1/DDIT3/PPP1R15A/DDIT4/DNAJA1/HERPUD1/UBB/INS",9
"GO:0031396","GO:0031396","regulation of protein ubiquitination","8/48","211/18866",5.50942855061578e-08,4.23701290916404e-06,2.78371126767955e-06,"HSPA1A/HSPA1B/HSP90AA1/DNAJA1/HERPUD1/HSP90AB1/UBB/SQSTM1",8
"GO:0090083","GO:0090083","regulation of inclusion body assembly","4/48","16/18866",6.56246009090409e-08,4.81744229400459e-06,3.16505252231164e-06,"HSPA1A/HSPA1B/DNAJB1/DNAJA4",4
"GO:1903320","GO:1903320","regulation of protein modification by small protein conjugation or removal","8/48","242/18866",1.58264808288768e-07,1.111294197332e-05,7.30118657917976e-06,"HSPA1A/HSPA1B/HSP90AA1/DNAJA1/HERPUD1/HSP90AB1/UBB/SQSTM1",8
"GO:2001242","GO:2001242","regulation of intrinsic apoptotic signaling pathway","7/48","166/18866",1.95527446421585e-07,1.31573677487858e-05,8.6443713154806e-06,"HSPA1A/HSPB1/DDIT3/DNAJA1/HERPUD1/UBB/INS",7
"GO:0051131","GO:0051131","chaperone-mediated protein complex assembly","4/48","22/18866",2.60822248354607e-07,1.68491172437076e-05,1.10698453196397e-05,"HSPA1A/HSP90AA1/HSPD1/HSP90AB1",4
"GO:0050821","GO:0050821","protein stabilization","7/48","187/18866",4.38789992329799e-07,2.72556091389471e-05,1.790689523354e-05,"HSPA1A/HSPA1B/HSP90AA1/BAG3/HSPD1/HSP90AB1/CRYAB",7
"GO:0031647","GO:0031647","regulation of protein stability","8/48","296/18866",7.3116422269942e-07,4.37344525799838e-05,2.87334712078369e-05,"HSPA1A/HSPA1B/HSP90AA1/BAG3/HSPD1/HSP90AB1/CRYAB/HSPA8",8
"GO:0043161","GO:0043161","proteasome-mediated ubiquitin-dependent protein catabolic process","9/48","424/18866",1.03672312075224e-06,5.97967085719596e-05,3.92863498390323e-05,"HSPA1A/HSPA1B/DDIT3/UBC/ZFAND2A/HERPUD1/HSP90AB1/DNAJB9/UBB",9
"GO:0070423","GO:0070423","nucleotide-binding oligomerization domain containing signaling pathway","4/48","37/18866",2.28987734411579e-06,0.000127522479680931,8.37820821367957e-05,"HSPA1A/HSPA1B/UBC/UBB",4
"GO:0035872","GO:0035872","nucleotide-binding domain, leucine rich repeat containing receptor signaling pathway","4/48","38/18866",2.55450402794148e-06,0.000137517466837516,9.03487740408776e-05,"HSPA1A/HSPA1B/UBC/UBB",4
"GO:0010498","GO:0010498","proteasomal protein catabolic process","9/48","483/18866",3.02777232090551e-06,0.000155874054360908,0.000102409025123542,"HSPA1A/HSPA1B/DDIT3/UBC/ZFAND2A/HERPUD1/HSP90AB1/DNAJB9/UBB",9
"GO:0001666","GO:0001666","response to hypoxia","8/48","359/18866",3.08852615451953e-06,0.000155874054360908,0.000102409025123542,"ADM/DDIT4/HSPD1/UBC/UBB/HILPDA/CRYAB/NDRG1",8
"GO:1905897","GO:1905897","regulation of response to endoplasmic reticulum stress","5/48","92/18866",3.58537546948276e-06,0.000175466102521656,0.00011528097203313,"HSPA1A/DDIT3/PPP1R15A/HERPUD1/DNAJB9",5
"GO:0036293","GO:0036293","response to decreased oxygen levels","8/48","371/18866",3.93716720382043e-06,0.000182679154051772,0.00012001993631037,"ADM/DDIT4/HSPD1/UBC/UBB/HILPDA/CRYAB/NDRG1",8
"GO:1903362","GO:1903362","regulation of cellular protein catabolic process","7/48","260/18866",3.95899095468236e-06,0.000182679154051772,0.00012001993631037,"HSPA1A/HSPA1B/HSP90AA1/ZFAND2A/HERPUD1/HSP90AB1/UBB",7
"GO:2001243","GO:2001243","negative regulation of intrinsic apoptotic signaling pathway","5/48","98/18866",4.89508221342041e-06,0.000219598827074277,0.000144276107342917,"HSPA1A/HSPB1/DNAJA1/HERPUD1/INS",5
"GO:0070482","GO:0070482","response to oxygen levels","8/48","396/18866",6.35607289482248e-06,0.000275164253256793,0.000180782510857323,"ADM/DDIT4/HSPD1/UBC/UBB/HILPDA/CRYAB/NDRG1",8
"GO:0042176","GO:0042176","regulation of protein catabolic process","8/48","397/18866",6.47445301780691e-06,0.000275164253256793,0.000180782510857323,"HSPA1A/HSPA1B/HSP90AA1/ZFAND2A/HERPUD1/HSP90AB1/UBB/INS",8
"GO:1903426","GO:1903426","regulation of reactive oxygen species biosynthetic process","5/48","107/18866",7.53292305647837e-06,0.000311940275287502,0.000204944303398926,"HSP90AA1/HSPD1/HSP90AB1/SLC5A3/INS",5
"GO:0072593","GO:0072593","reactive oxygen species metabolic process","7/48","288/18866",7.73992856256127e-06,0.000312499615713411,0.000205311789238467,"HSP90AA1/DDIT4/HSPD1/HSP90AB1/SLC5A3/CRYAB/INS",7
"GO:1903573","GO:1903573","negative regulation of response to endoplasmic reticulum stress","4/48","51/18866",8.44105707579451e-06,0.000324455932512038,0.000213167071841052,"HSPA1A/PPP1R15A/HERPUD1/DNAJB9",4
"GO:0061684","GO:0061684","chaperone-mediated autophagy","3/48","16/18866",8.45684876691425e-06,0.000324455932512038,0.000213167071841052,"HSP90AA1/BAG3/HSPA8",3
"GO:2001233","GO:2001233","regulation of apoptotic signaling pathway","8/48","413/18866",8.6387647665744e-06,0.000324455932512038,0.000213167071841052,"HSPA1A/HSPA1B/HSPB1/DDIT3/DNAJA1/HERPUD1/UBB/INS",8
"GO:0061136","GO:0061136","regulation of proteasomal protein catabolic process","6/48","193/18866",9.10301692689218e-06,0.000334122098566611,0.000219517728763333,"HSPA1A/HSPA1B/ZFAND2A/HERPUD1/HSP90AB1/UBB",6
"GO:2000377","GO:2000377","regulation of reactive oxygen species metabolic process","6/48","200/18866",1.11535174732877e-05,0.000400287349319103,0.000262988201475415,"HSP90AA1/HSPD1/HSP90AB1/SLC5A3/CRYAB/INS",6
"GO:0001819","GO:0001819","positive regulation of cytokine production","8/48","447/18866",1.53267908775141e-05,0.000538103636243157,0.000353533299874924,"HSPA1A/HSPA1B/HSPB1/DDIT3/HSPD1/PLCG2/HILPDA/INS",8
"GO:0051090","GO:0051090","regulation of DNA-binding transcription factor activity","8/48","455/18866",1.74158735006519e-05,0.0005984390575224,0.000393173583172612,"HSPA1A/HSPA1B/DDIT3/BHLHE40/UBC/JUN/UBB/INS",8
"GO:1903409","GO:1903409","reactive oxygen species biosynthetic process","5/48","128/18866",1.80138707560957e-05,0.000606091693147802,0.000398201353555799,"HSP90AA1/HSPD1/HSP90AB1/SLC5A3/INS",5
"GO:0070059","GO:0070059","intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress","4/48","63/18866",1.96750454949354e-05,0.000625754541025342,0.000411119815775489,"HSPA1A/DDIT3/PPP1R15A/HERPUD1",4
"GO:0036499","GO:0036499","PERK-mediated unfolded protein response","3/48","21/18866",1.9906183044467e-05,0.000625754541025342,0.000411119815775489,"DDIT3/PPP1R15A/HERPUD1",3
"GO:0140467","GO:0140467","integrated stress response signaling","3/48","21/18866",1.9906183044467e-05,0.000625754541025342,0.000411119815775489,"DDIT3/PPP1R15A/HERPUD1",3
"GO:0032434","GO:0032434","regulation of proteasomal ubiquitin-dependent protein catabolic process","5/48","131/18866",2.01481338286797e-05,0.000625754541025342,0.000411119815775489,"HSPA1A/HSPA1B/ZFAND2A/HERPUD1/HSP90AB1",5
"GO:1903050","GO:1903050","regulation of proteolysis involved in cellular protein catabolic process","6/48","225/18866",2.17393564642849e-05,0.000662435107355097,0.000435218894061553,"HSPA1A/HSPA1B/ZFAND2A/HERPUD1/HSP90AB1/UBB",6
"GO:2001234","GO:2001234","negative regulation of apoptotic signaling pathway","6/48","233/18866",2.64638432038782e-05,0.000782538658781404,0.000514126751215027,"HSPA1A/HSPA1B/HSPB1/DNAJA1/HERPUD1/INS",6
"GO:0002753","GO:0002753","cytoplasmic pattern recognition receptor signaling pathway","4/48","68/18866",2.66499233640726e-05,0.000782538658781404,0.000514126751215027,"HSPA1A/HSPA1B/UBC/UBB",4
"GO:0072655","GO:0072655","establishment of protein localization to mitochondrion","5/48","140/18866",2.77508159693046e-05,0.000800313710543339,0.000525804934155246,"HSP90AA1/DDIT3/BAG3/HSPD1/DNAJA1",5
"GO:0070585","GO:0070585","protein localization to mitochondrion","5/48","144/18866",3.17709213033675e-05,0.000900176103595412,0.000591414379940802,"HSP90AA1/DDIT3/BAG3/HSPD1/DNAJA1",5
"GO:0062197","GO:0062197","cellular response to chemical stress","7/48","360/18866",3.26371562600254e-05,0.0009087759889645,0.000597064492016435,"HSPA1A/HSPA1B/HSPB1/DDIT3/JUN/DNAJA1/INS",7
"GO:1903364","GO:1903364","positive regulation of cellular protein catabolic process","5/48","149/18866",3.74161409093477e-05,0.00102418758590842,0.000672889741955798,"HSPA1A/HSPA1B/HSP90AA1/ZFAND2A/HERPUD1",5
"GO:0045926","GO:0045926","negative regulation of growth","6/48","254/18866",4.28967614824512e-05,0.00115463782990264,0.000758595360952821,"HSPA1A/HSPA1B/RGS2/CRYAB/MT2A/MT1G",6
"GO:0031397","GO:0031397","negative regulation of protein ubiquitination","4/48","80/18866",5.0611183249892e-05,0.00130788585600751,0.000859279089363252,"HSPA1A/HSPA1B/DNAJA1/SQSTM1",4
"GO:0051092","GO:0051092","positive regulation of NF-kappaB transcription factor activity","5/48","159/18866",5.10196959309431e-05,0.00130788585600751,0.000859279089363252,"HSPA1A/HSPA1B/UBC/UBB/INS",5
"GO:2000058","GO:2000058","regulation of ubiquitin-dependent protein catabolic process","5/48","159/18866",5.10196959309431e-05,0.00130788585600751,0.000859279089363252,"HSPA1A/HSPA1B/ZFAND2A/HERPUD1/HSP90AB1",5
"GO:0031331","GO:0031331","positive regulation of cellular catabolic process","7/48","390/18866",5.42101467280695e-05,0.00136795917134113,0.000898747169439047,"HSPA1A/HSPA1B/HSP90AA1/BAG3/ZFAND2A/HERPUD1/INS",7
"GO:0051091","GO:0051091","positive regulation of DNA-binding transcription factor activity","6/48","270/18866",6.02360699278146e-05,0.00149663466051416,0.000983286777121249,"HSPA1A/HSPA1B/DDIT3/UBC/UBB/INS",6
"GO:0032436","GO:0032436","positive regulation of proteasomal ubiquitin-dependent protein catabolic process","4/48","87/18866",7.03067994228678e-05,0.00172038607678684,0.00113029112947768,"HSPA1A/HSPA1B/ZFAND2A/HERPUD1",4
"GO:1902235","GO:1902235","regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway","3/48","32/18866",7.27910852299091e-05,0.00175459108427318,0.00115276376923407,"HSPA1A/DDIT3/HERPUD1",3
"GO:1903321","GO:1903321","negative regulation of protein modification by small protein conjugation or removal","4/48","92/18866",8.74378146807146e-05,0.00207664809866697,0.00136435475538948,"HSPA1A/HSPA1B/DNAJA1/SQSTM1",4
"GO:0034976","GO:0034976","response to endoplasmic reticulum stress","6/48","294/18866",9.63427106799338e-05,0.00225497793837816,0.00148151719855642,"HSPA1A/DDIT3/PPP1R15A/JUN/HERPUD1/DNAJB9",6
"GO:0002755","GO:0002755","MyD88-dependent toll-like receptor signaling pathway","3/48","36/18866",0.000104037804197947,0.0024003007682812,0.00157699408468467,"HSPD1/UBC/UBB",3
"GO:0043488","GO:0043488","regulation of mRNA stability","5/48","186/18866",0.00010717576791282,0.00243787134055218,0.00160167789556891,"HSPA1A/HSPB1/UBC/UBB/HSPA8",5
"GO:0001933","GO:0001933","negative regulation of protein phosphorylation","7/48","444/18866",0.000121975914088945,0.0026731229712456,0.00175623787193454,"HSPB1/DDIT4/JUN/DNAJA1/CHORDC1/RGS2/GADD45B",7
"GO:0071276","GO:0071276","cellular response to cadmium ion","3/48","38/18866",0.000122483653171625,0.0026731229712456,0.00175623787193454,"JUN/MT2A/MT1G",3
"GO:1905898","GO:1905898","positive regulation of response to endoplasmic reticulum stress","3/48","38/18866",0.000122483653171625,0.0026731229712456,0.00175623787193454,"DDIT3/PPP1R15A/HERPUD1",3
"GO:0071248","GO:0071248","cellular response to metal ion","5/48","193/18866",0.00012747066667747,0.00274486835578819,0.00180337448436337,"CACYBP/JUN/JUND/MT2A/MT1G",5
"GO:2000060","GO:2000060","positive regulation of ubiquitin-dependent protein catabolic process","4/48","102/18866",0.000130529566403911,0.0027737532860831,0.00182235184120695,"HSPA1A/HSPA1B/ZFAND2A/HERPUD1",4
"GO:0043487","GO:0043487","regulation of RNA stability","5/48","195/18866",0.000133777509841693,0.00280585296616018,0.00184344128394294,"HSPA1A/HSPB1/UBC/UBB/HSPA8",5
"GO:0009896","GO:0009896","positive regulation of catabolic process","7/48","454/18866",0.0001399979988387,0.00289867651441667,0.00190442621902037,"HSPA1A/HSPA1B/HSP90AA1/BAG3/ZFAND2A/HERPUD1/INS",7
"GO:0006979","GO:0006979","response to oxidative stress","7/48","458/18866",0.000147787732095407,0.00302123021941875,0.00198494382347994,"HSPA1A/HSPA1B/HSPB1/HSPD1/JUN/CRYAB/INS",7
"GO:0017038","GO:0017038","protein import","5/48","200/18866",0.000150593220951322,0.00304010064795482,0.00199734166735438,"HSP90AA1/BAG3/HSPD1/HSP90AB1/HSPA8",5
"GO:0002221","GO:0002221","pattern recognition receptor signaling pathway","5/48","201/18866",0.000154142161836244,0.00306607824411273,0.0020144089099336,"HSPA1A/HSPA1B/HSPD1/UBC/UBB",5
"GO:1901214","GO:1901214","regulation of neuron death","6/48","321/18866",0.000155677037781575,0.00306607824411273,0.0020144089099336,"DDIT3/DDIT4/HSPD1/JUN/HSP90AB1/UBB",6
"GO:0007179","GO:0007179","transforming growth factor beta receptor signaling pathway","5/48","202/18866",0.000157754820456224,0.00306956668719039,0.00201670081191977,"HSPA1A/UBC/JUN/HSP90AB1/UBB",5
"GO:1901800","GO:1901800","positive regulation of proteasomal protein catabolic process","4/48","110/18866",0.000174707995178389,0.00335896919301307,0.00220683783383228,"HSPA1A/HSPA1B/ZFAND2A/HERPUD1",4
"GO:0061013","GO:0061013","regulation of mRNA catabolic process","5/48","208/18866",0.000180812495439562,0.00343543741335167,0.00225707734245298,"HSPA1A/HSPB1/UBC/UBB/HSPA8",5
"GO:0042326","GO:0042326","negative regulation of phosphorylation","7/48","484/18866",0.000207463826783013,0.00389597767737867,0.00255965162052971,"HSPB1/DDIT4/JUN/DNAJA1/CHORDC1/RGS2/GADD45B",7
"GO:0019058","GO:0019058","viral life cycle","6/48","341/18866",0.00021592945892789,0.00400834570308669,0.00263347724863052,"HSPA1A/HSPA1B/UBC/HSP90AB1/UBB/HSPA8",6
"GO:0031109","GO:0031109","microtubule polymerization or depolymerization","4/48","117/18866",0.000221450375258264,0.00405900251933511,0.00266675870261678,"HSPA1A/HSPA1B/FKBP4/CRYAB",4
"GO:0016049","GO:0016049","cell growth","7/48","490/18866",0.000223684968557786,0.00405900251933511,0.00266675870261678,"HSPA1A/HSPA1B/HSP90AA1/RGS2/HSP90AB1/CRYAB/INS",7
"GO:0071241","GO:0071241","cellular response to inorganic substance","5/48","221/18866",0.000239557400202048,0.0042987244591812,0.00282425566553994,"CACYBP/JUN/JUND/MT2A/MT1G",5
"GO:0009409","GO:0009409","response to cold","3/48","48/18866",0.000246679993629383,0.00437789219463136,0.00287626875163006,"HSP90AA1/ADM/HSPD1",3
"GO:0045732","GO:0045732","positive regulation of protein catabolic process","5/48","225/18866",0.000260267677903354,0.00456882934580345,0.003001714179938,"HSPA1A/HSPA1B/HSP90AA1/ZFAND2A/HERPUD1",5
"GO:0051409","GO:0051409","response to nitrosative stress","2/48","10/18866",0.000281556436441523,0.00483737920056446,0.00317815104068371,"DDIT3/DNAJA1",2
"GO:0070424","GO:0070424","regulation of nucleotide-binding oligomerization domain containing signaling pathway","2/48","10/18866",0.000281556436441523,0.00483737920056446,0.00317815104068371,"HSPA1A/HSPA1B",2
"GO:0030968","GO:0030968","endoplasmic reticulum unfolded protein response","4/48","125/18866",0.000285209641202367,0.00484856390044023,0.00318549937209956,"DDIT3/PPP1R15A/HERPUD1/DNAJB9",4
"GO:0070997","GO:0070997","neuron death","6/48","360/18866",0.000288960208401179,0.00486115350591567,0.00319377072443408,"DDIT3/DDIT4/HSPD1/JUN/HSP90AB1/UBB",6
"GO:0006984","GO:0006984","ER-nucleus signaling pathway","3/48","51/18866",0.000295425843413234,0.00486849731747319,0.00319859559785757,"DDIT3/PPP1R15A/HERPUD1",3
"GO:0031113","GO:0031113","regulation of microtubule polymerization","3/48","51/18866",0.000295425843413234,0.00486849731747319,0.00319859559785757,"HSPA1A/HSPA1B/FKBP4",3
"GO:0017015","GO:0017015","regulation of transforming growth factor beta receptor signaling pathway","4/48","127/18866",0.000303010909906899,0.00489362619499641,0.00321510523353846,"HSPA1A/UBC/HSP90AB1/UBB",4
"GO:1903052","GO:1903052","positive regulation of proteolysis involved in cellular protein catabolic process","4/48","127/18866",0.000303010909906899,0.00489362619499641,0.00321510523353846,"HSPA1A/HSPA1B/ZFAND2A/HERPUD1",4
"GO:0010038","GO:0010038","response to metal ion","6/48","366/18866",0.000315664439504832,0.00504750564158716,0.00331620380428213,"CACYBP/JUN/JUND/MT2A/NDRG1/MT1G",6
"GO:1903844","GO:1903844","regulation of cellular response to transforming growth factor beta stimulus","4/48","129/18866",0.00032159635263513,0.00509194225005623,0.00334539859087938,"HSPA1A/UBC/HSP90AB1/UBB",4
"GO:0061635","GO:0061635","regulation of protein complex stability","2/48","11/18866",0.000343565834717595,0.00528436974351348,0.00347182317188306,"HSPA8/SQSTM1",2
"GO:0072321","GO:0072321","chaperone-mediated protein transport","2/48","11/18866",0.000343565834717595,0.00528436974351348,0.00347182317188306,"BAG3/HSPA8",2
"GO:1903265","GO:1903265","positive regulation of tumor necrosis factor-mediated signaling pathway","2/48","11/18866",0.000343565834717595,0.00528436974351348,0.00347182317188306,"HSPA1A/HSPA1B",2
"GO:0032757","GO:0032757","positive regulation of interleukin-8 production","3/48","54/18866",0.000349994308371666,0.00533246045302114,0.00350341869750387,"HSPA1A/HSPA1B/DDIT3",3
"GO:0006402","GO:0006402","mRNA catabolic process","6/48","376/18866",0.000364450432276635,0.00550081727221275,0.00361402888081503,"HSPA1A/HSPA1B/HSPB1/UBC/UBB/HSPA8",6
"GO:0006469","GO:0006469","negative regulation of protein kinase activity","5/48","246/18866",0.000392246002745425,0.00586553050401723,0.0038536449392533,"HSPB1/DNAJA1/CHORDC1/RGS2/GADD45B",5
"GO:0071560","GO:0071560","cellular response to transforming growth factor beta stimulus","5/48","252/18866",0.000437896225665116,0.00648809545366204,0.00426266919816936,"HSPA1A/UBC/JUN/HSP90AB1/UBB",5
"GO:0097755","GO:0097755","positive regulation of blood vessel diameter","3/48","60/18866",0.000477719017240768,0.00690559020397577,0.00453696263686334,"ADM/RGS2/INS",3
"GO:1903428","GO:1903428","positive regulation of reactive oxygen species biosynthetic process","3/48","60/18866",0.000477719017240768,0.00690559020397577,0.00453696263686334,"HSP90AA1/HSP90AB1/SLC5A3",3
"GO:1900102","GO:1900102","negative regulation of endoplasmic reticulum unfolded protein response","2/48","13/18866",0.00048565839514758,0.00690559020397577,0.00453696263686334,"PPP1R15A/DNAJB9",2
"GO:1902947","GO:1902947","regulation of tau-protein kinase activity","2/48","13/18866",0.00048565839514758,0.00690559020397577,0.00453696263686334,"HSP90AA1/HSP90AB1",2
"GO:0071559","GO:0071559","response to transforming growth factor beta","5/48","258/18866",0.000487453426162995,0.00690559020397577,0.00453696263686334,"HSPA1A/UBC/JUN/HSP90AB1/UBB",5
"GO:1904589","GO:1904589","regulation of protein import","3/48","62/18866",0.000526096778007993,0.00738822866506876,0.00485405539800509,"BAG3/HSP90AB1/HSPA8",3
"GO:0071901","GO:0071901","negative regulation of protein serine/threonine kinase activity","4/48","148/18866",0.00054112768744397,0.0075338035795001,0.00494969790329875,"HSPB1/DNAJA1/CHORDC1/RGS2",4
"GO:0030522","GO:0030522","intracellular receptor signaling pathway","5/48","265/18866",0.000550492884555571,0.00759868383382263,0.00499232413524081,"HSPA1A/HSPA1B/UBC/FKBP4/UBB",5
"GO:0070431","GO:0070431","nucleotide-binding oligomerization domain containing 2 signaling pathway","2/48","14/18866",0.000565682018092779,0.00774217338321897,0.00508659655876469,"HSPA1A/HSPA1B",2
"GO:0046686","GO:0046686","response to cadmium ion","3/48","64/18866",0.000577506564644205,0.00779657548227251,0.00512233865806139,"JUN/MT2A/MT1G",3
"GO:0033673","GO:0033673","negative regulation of kinase activity","5/48","268/18866",0.000579312110137896,0.00779657548227251,0.00512233865806139,"HSPB1/DNAJA1/CHORDC1/RGS2/GADD45B",5
"GO:0006401","GO:0006401","RNA catabolic process","6/48","415/18866",0.000613835639279503,0.00819293022674708,0.00538274314392117,"HSPA1A/HSPA1B/HSPB1/UBC/UBB/HSPA8",6
"GO:2000378","GO:2000378","negative regulation of reactive oxygen species metabolic process","3/48","66/18866",0.000632024737463444,0.00836655697543822,0.00549681566318509,"HSPD1/CRYAB/INS",3
"GO:1904950","GO:1904950","negative regulation of establishment of protein localization","4/48","155/18866",0.000643783236735703,0.00841933120117906,0.00553148825210265,"BAG3/DNAJA1/RAB11FIP1/INS",4
"GO:0010273","GO:0010273","detoxification of copper ion","2/48","15/18866",0.000651651021763085,0.00841933120117906,0.00553148825210265,"MT2A/MT1G",2
"GO:1990169","GO:1990169","stress response to copper ion","2/48","15/18866",0.000651651021763085,0.00841933120117906,0.00553148825210265,"MT2A/MT1G",2
"GO:0010970","GO:0010970","transport along microtubule","4/48","161/18866",0.000742186016301936,0.00951293981212402,0.00624998750570051,"HSPB1/BAG3/UBB/HSPA8",4
"GO:0051403","GO:0051403","stress-activated MAPK cascade","5/48","286/18866",0.000776760507049904,0.0098777025109102,0.00648963606387322,"UBC/DNAJA1/GADD45B/UBB/CRYAB",5
"GO:0061687","GO:0061687","detoxification of inorganic compound","2/48","17/18866",0.000841307267350548,0.0104516248982395,0.00686670223068302,"MT2A/MT1G",2
"GO:0097501","GO:0097501","stress response to metal ion","2/48","17/18866",0.000841307267350548,0.0104516248982395,0.00686670223068302,"MT2A/MT1G",2
"GO:1901673","GO:1901673","regulation of mitotic spindle assembly","2/48","17/18866",0.000841307267350548,0.0104516248982395,0.00686670223068302,"HSPA1A/HSPA1B",2
"GO:0006605","GO:0006605","protein targeting","6/48","444/18866",0.000872994782908424,0.0107624929343291,0.00707094207450134,"HSP90AA1/BAG3/HSPD1/UBC/UBB/HSPA8",6
