p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
0	0.762781198	0.865	0.666	0	0	DPM3
0	0.760183264	0.996	0.966	0	0	TUBA1B
0	0.75426581	0.612	0.17	0	0	SLC38A4
0	0.749485294	0.715	0.41	0	0	PLK2
0	0.748151878	0.557	0.114	0	0	FEV
0	0.747885426	0.983	0.913	0	0	PHPT1
0	0.744033872	0.972	0.884	0	0	COX17
0	0.734527691	0.477	0.142	0	0	ARRDC4
0	0.734473422	0.959	0.823	0	0	TUSC3
0	0.732605061	0.704	0.354	0	0	COTL1
0	0.725621683	0.657	0.328	0	0	MOB1B
0	0.722998855	0.356	0.101	0	0	KLHL41
0	0.714779428	0.935	0.769	0	0	NPDC1
0	0.709579596	0.941	0.826	0	0	CALM3
0	0.704993869	0.993	0.97	0	0	NDUFA13
0	0.701814176	0.83	0.577	0	0	NEUROD1
0	0.699942878	0.93	0.824	0	0	CD164
0	0.696850495	0.574	0.171	0	0	AC099509.1
0	0.686042982	0.774	0.495	0	0	PARM1
0	0.680075759	0.796	0.509	0	0	ISL1
0	0.677142654	0.955	0.869	0	0	C4orf48
0	0.672716705	0.903	0.707	0	0	IFI27L2
0	0.671589932	0.828	0.53	0	0	ELL2
0	0.670996124	0.789	0.545	0	0	NME4
0	0.670822536	0.854	0.654	0	0	CHID1
0	0.670238417	0.914	0.757	0	0	C9orf16
0	0.668260674	0.741	0.496	0	0	SMARCA1
0	0.665423277	0.773	0.506	0	0	PTPRN2
0	0.660649703	0.723	0.388	0	0	KCNJ6
0	0.657751093	0.937	0.79	0	0	PLD3
0	0.655833428	0.786	0.564	0	0	MAN1A1
0	0.653003895	0.977	0.911	0	0	MZT2B
0	0.651936968	1	0.824	0	0	SCG5
0	0.651885188	0.991	0.783	0	0	PTPRN
0	0.650793806	0.821	0.679	0	0	CTSZ
0	0.642812415	0.942	0.87	0	0	CNPY2
0	0.640010207	0.738	0.461	0	0	PCDH17
0	0.639081824	0.891	0.781	0	0	TMEM147
0	0.637836425	0.961	0.899	0	0	NDUFA1
0	0.634929081	0.744	0.511	0	0	MAGED1
0	0.626971269	0.998	0.982	0	0	SERF2
0	0.625882225	1	0.793	0	0	PCSK1N
0	0.621658755	0.812	0.595	0	0	PFN2
0	0.621542059	0.877	0.739	0	0	MZT2A
0	0.621313426	0.991	0.963	0	0	COX7A2
0	0.620826484	0.779	0.493	0	0	STMN1
0	0.620117926	0.439	0.142	0	0	LRATD1
0	0.617534424	0.975	0.748	0	0	SCGN
0	0.617141369	0.907	0.778	0	0	NDUFA7
0	0.615213959	0.522	0.145	0	0	APOH
0	0.607957508	0.635	0.303	0	0	RFX6
0	0.607636879	0.902	0.795	0	0	TMED3
0	0.59985675	0.844	0.675	0	0	P4HTM
0	0.595736512	0.633	0.31	0	0	SSX2IP
0	0.595028969	0.619	0.357	0	0	CFC1
0	0.594888339	0.971	0.914	0	0	BSG
0	0.594884272	0.886	0.727	0	0	HMGN3
0	0.594282662	0.839	0.688	0	0	COA3
0	0.591139095	0.762	0.538	0	0	HIGD1A
0	0.589292625	0.795	0.562	0	0	PAK3
0	0.586141169	0.963	0.858	0	0	SNRPN
0	0.585006269	0.42	0.141	0	0	SPC25
0	0.5807138	0.684	0.422	0	0	HSD17B14
0	0.580705421	0.973	0.916	0	0	UQCRQ
0	0.57940351	0.672	0.371	0	0	SSTR2
0	0.578884529	0.902	0.719	0	0	SEZ6L2
0	0.57789805	0.987	0.955	0	0	GPX4
0	0.577655324	0.89	0.776	0	0	ROMO1
0	0.577006582	0.978	0.92	0	0	PRDX2
0	0.575978453	0.898	0.745	0	0	HLA-E
0	0.575329549	0.938	0.846	0	0	LRPAP1
0	0.574981107	0.822	0.645	0	0	NUCB1
0	0.5699801	0.622	0.328	0	0	CPLX2
0	0.567790583	0.881	0.757	0	0	NDUFB1
0	0.564911277	0.566	0.241	0	0	CD99L2
0	0.563611048	0.597	0.307	0	0	CEP126
0	0.562163681	0.882	0.747	0	0	PCBD1
0	0.561470746	0.995	0.976	0	0	ITM2B
0	0.557912925	0.896	0.788	0	0	RAB11A
0	0.557419722	0.977	0.936	0	0	ATP6V0B
0	0.556825287	0.844	0.695	0	0	ZKSCAN1
0	0.554570279	0.541	0.212	0	0	KIF12
0	0.548294762	0.685	0.441	0	0	LRP11
0	0.544528027	0.627	0.33	0	0	RAB3C
0	0.544005218	0.806	0.649	0	0	PIGT
0	0.5431388	0.653	0.509	0	0	PEG10
0	0.543114031	0.96	0.905	0	0	ATP5MPL
0	0.539875078	0.921	0.825	0	0	POLR2L
0	0.539221958	0.888	0.763	0	0	TMEM141
0	0.533420687	0.711	0.456	0	0	SLC29A4
0	0.531688199	0.876	0.754	0	0	ATP6AP1
0	0.531429951	0.715	0.515	0	0	SMARCA2
0	0.531312624	0.997	0.975	0	0	CALM1
0	0.530876234	0.944	0.861	0	0	ATP5MF
0	0.529380649	0.608	0.369	0	0	NUPR2
0	0.528475337	0.97	0.933	0	0	SPCS1
0	0.526836357	0.847	0.698	0	0	CAMK2N1
0	0.525300771	0.517	0.199	0	0	FRRS1L
0	0.523608829	0.842	0.707	0	0	ECH1
0	0.522885483	0.847	0.715	0	0	NBDY
0	0.522071988	0.963	0.891	0	0	UQCR10
0	0.521124781	0.853	0.747	0	0	CD46
0	0.519839658	0.707	0.548	0	0	YIPF2
0	0.519789382	0.847	0.732	0	0	NDUFA3
0	0.518593557	0.872	0.746	0	0	CHCHD10
0	0.514712257	0.626	0.358	0	0	PDK3
0	0.51434773	0.494	0.286	0	0	SERPINI1
0	0.514241193	0.925	0.723	0	0	QPCT
0	0.513519186	0.897	0.791	0	0	ARL2
0	0.511447802	0.83	0.6	0	0	APLP1
0	0.510933945	0.452	0.083	0	0	SPOCK3
0	0.508139846	0.711	0.519	0	0	GAMT
0	0.507188349	0.877	0.763	0	0	SCP2
0	0.507175137	0.468	0.163	0	0	NPNT
0	0.506568867	0.87	0.632	0	0	PAX6
0	0.506175428	0.337	0.251	0	0	AGT
0	0.504047964	0.595	0.355	0	0	PPM1K
0	0.503986805	0.775	0.63	0	0	NAXE
0	0.502825757	0.742	0.516	0	0	RAB3B
0	0.502348015	0.959	0.917	0	0	TMEM258
0	0.501028366	0.434	0.118	0	0	SPTSSB
0	0.497936949	0.477	0.132	0	0	FSTL5
0	0.497809622	0.866	0.735	0	0	NAA38
0	0.496590468	0.443	0.181	0	0	CAMK2G
0	0.496059173	0.58	0.32	0	0	MYH10
0	0.495626962	0.987	0.951	0	0	ATP5MG
0	0.495237907	0.707	0.466	0	0	BCAM
0	0.494886261	0.999	0.99	0	0	MYL6
0	0.494515303	0.728	0.514	0	0	DNPH1
0	0.492404454	0.657	0.418	0	0	TSPAN7
0	0.491608872	0.434	0.11	0	0	MRC1
0	0.490884214	0.912	0.844	0	0	ATRAID
0	0.490156818	0.745	0.527	0	0	SDC2
0	0.489708582	0.509	0.237	0	0	GCNT1
0	0.489675289	0.974	0.923	0	0	TMA7
0	0.487740235	0.906	0.821	0	0	COPZ1
0	0.487448868	0.943	0.869	0	0	MICOS10
0	0.486222601	0.894	0.796	0	0	ATP5MC1
0	0.485332364	0.768	0.621	0	0	GPAA1
0	0.484973455	0.953	0.919	0	0	KRTCAP2
0	0.484786123	0.729	0.549	0	0	TMEM9
0	0.481844075	0.915	0.823	0	0	DPP7
0	0.481753745	0.984	0.947	0	0	COX6C
0	0.479570832	0.679	0.46	0	0	CACNA1A
0	0.478961566	0.962	0.902	0	0	ATP5IF1
0	0.478958133	0.858	0.748	0	0	NDUFS7
0	0.477606481	0.931	0.864	0	0	ATP5ME
0	0.477531367	0.936	0.877	0	0	NDUFB11
0	0.476174629	0.965	0.913	0	0	CUTA
0	0.475307609	0.932	0.845	0	0	ATP6AP2
0	0.473431086	0.988	0.954	0	0	PRDX5
0	0.472653644	0.966	0.932	0	0	RABAC1
0	0.47203806	0.996	0.992	0	0	MALAT1
0	0.471792338	0.908	0.78	0	0	TPD52
0	0.47148358	0.963	0.902	0	0	ATP5F1D
0	0.471073094	0.642	0.4	0	0	GNAI1
0	0.470293371	0.589	0.321	0	0	PTP4A3
0	0.469062172	0.818	0.691	0	0	SIL1
0	0.467483342	0.566	0.332	0	0	WFS1
0	0.466692761	0.858	0.751	0	0	NDUFAF3
0	0.466259877	0.926	0.845	0	0	DYNLRB1
0	0.465804112	0.997	0.976	0	0	CST3
0	0.464173878	0.983	0.948	0	0	ERP29
0	0.463475749	0.753	0.646	0	0	CPNE3
0	0.462855575	0.989	0.96	0	0	UBB
0	0.462838096	0.933	0.851	0	0	SMDT1
0	0.462262152	0.963	0.915	0	0	NDUFB8
0	0.461774993	0.859	0.747	0	0	LSM7
0	0.460849947	0.835	0.696	0	0	SDF2L1
0	0.458462542	0.836	0.735	0	0	SSR1
0	0.457573757	0.691	0.54	0	0	SMIM22
0	0.457061228	0.875	0.771	0	0	NDUFS8
0	0.456163307	0.902	0.816	0	0	NDUFC1
0	0.45500007	0.776	0.54	0	0	EZR
0	0.454659959	0.749	0.596	0	0	CBX6
0	0.454540204	0.451	0.18	0	0	RIIAD1
0	0.453520322	0.573	0.289	0	0	A1CF
0	0.45291289	0.629	0.392	0	0	KCNMB2
0	0.447793597	0.938	0.848	0	0	HMGN2
0	0.446180608	0.557	0.335	0	0	HPS1
0	0.44615543	0.79	0.649	0	0	TMX4
0	0.446028702	0.72	0.57	0	0	TIMM17B
0	0.445036942	0.404	0.326	0	0	COX7A1
0	0.444257287	0.764	0.599	0	0	CKB
0	0.444186322	0.938	0.841	0	0	IDS
0	0.442427338	1	0.998	0	0	B2M
0	0.44237857	0.499	0.201	0	0	USH1C
0	0.442062727	0.403	0.153	0	0	PRKAG2-AS1
0	0.44023228	0.89	0.812	0	0	ANAPC11
0	0.439652569	0.406	0.087	0	0	DPP4
0	0.439637947	0.472	0.241	0	0	TENT5C
0	0.43814521	0.365	0.2	0	0	SYNGR4
0	0.4376898	0.424	0.143	0	0	HNF1A-AS1
0	0.436961444	0.879	0.798	0	0	ANXA7
0	0.436918239	0.539	0.31	0	0	UCN3
0	0.436883911	0.627	0.433	0	0	TP53I13
0	0.436372112	0.976	0.933	0	0	UBL5
0	0.435826849	0.974	0.928	0	0	GUK1
0	0.434773374	0.861	0.778	0	0	YIF1A
0	0.433585307	0.891	0.79	0	0	BLOC1S1
0	0.43310159	0.825	0.717	0	0	TMED4
0	0.432679665	0.57	0.36	0	0	GSTA4
0	0.431619131	0.849	0.757	0	0	FKBP8
0	0.429862578	0.616	0.411	0	0	PODXL2
0	0.429386963	0.921	0.854	0	0	SEM1
0	0.429125319	0.69	0.485	0	0	FCGRT
0	0.428320747	0.713	0.586	0	0	IDI1
0	0.427640963	0.844	0.747	0	0	PRKAR1A
0	0.42544578	0.936	0.873	0	0	TRMT112
0	0.425205924	0.999	0.996	0	0	CD63
0	0.423379192	0.593	0.405	0	0	FAM210B
0	0.423150235	0.929	0.874	0	0	COPE
0	0.422431648	0.695	0.528	0	0	SUMF2
0	0.422186224	0.952	0.919	0	0	PPIB
0	0.420750941	0.882	0.795	0	0	CIAO2B
0	0.420353143	0.78	0.654	0	0	NME3
0	0.419788241	0.397	0.072	0	0	POPDC3
0	0.418638679	0.762	0.561	0	0	SCGB2A1
0	0.418427901	0.801	0.685	0	0	ARL3
0	0.417474896	0.701	0.523	0	0	ATP2B1
0	0.41744985	0.948	0.878	0	0	HSBP1
0	0.417309525	0.36	0.09	0	0	PDZK1
0	0.415930254	0.409	0.156	0	0	PGR
0	0.41482549	0.54	0.358	0	0	GADD45G
0	0.414752584	0.437	0.163	0	0	ITPR1
0	0.41442163	0.928	0.848	0	0	RBX1
0	0.413841654	0.695	0.526	0	0	SLC36A4
0	0.413474507	0.599	0.358	0	0	EGFL7
0	0.413418904	0.97	0.937	0	0	PDIA3
0	0.412719666	0.83	0.737	0	0	ETFB
0	0.412160716	0.378	0.083	0	0	KCNJ3
0	0.411790599	0.925	0.852	0	0	FIS1
0	0.410597383	0.738	0.589	0	0	SSBP4
0	0.406880221	0.796	0.63	0	0	PAPSS2
0	0.405086926	0.965	0.919	0	0	ATP5MD
0	0.404746756	0.612	0.448	0	0	SLC38A10
0	0.403446481	0.849	0.731	0	0	ATOX1
0	0.403296626	0.442	0.172	0	0	ABHD15
0	0.402498717	0.809	0.725	0	0	PET100
0	0.402454231	0.705	0.591	0	0	NUDT14
0	0.401880074	0.8	0.709	0	0	ITM2C
0	0.401436492	0.679	0.525	0	0	MIA2
0	0.401357507	0.606	0.422	0	0	RPS6KA3
0	0.40129457	0.844	0.75	0	0	TXNL4A
0	0.400998696	0.679	0.574	0	0	NPTN
0	0.398573996	0.619	0.441	0	0	ABHD14A
0	0.398459011	0.499	0.241	0	0	GRIA3
0	0.398406961	0.912	0.825	0	0	NDUFS6
0	0.39834379	0.764	0.629	0	0	TCEAL3
0	0.396807741	0.971	0.926	0	0	COX6B1
0	0.396710196	0.64	0.453	0	0	ASPHD1
0	0.396525033	0.844	0.761	0	0	TMEM219
0	0.396421071	0.546	0.294	0	0	STXBP6
0	0.394050616	0.84	0.731	0	0	PRXL2A
0	0.391681814	0.772	0.666	0	0	NDUFAF8
0	0.391024321	0.529	0.343	0	0	ABLIM1
0	0.390607878	0.855	0.788	0	0	IER3IP1
0	0.39043434	0.825	0.721	0	0	LSM4
0	0.390323194	0.595	0.426	0	0	BEX5
0	0.390288214	0.613	0.437	0	0	DZIP3
0	0.389302869	0.468	0.279	0	0	TXNDC11
0	0.388743892	0.79	0.667	0	0	PLAAT3
0	0.385258678	1	0.998	0	0	FTL
0	0.382788531	0.908	0.754	0	0	BEX2
0	0.380693607	0.75	0.67	0	0	H1FX
0	0.380640238	0.551	0.391	0	0	RIN2
0	0.380100054	0.646	0.484	0	0	ANXA6
0	0.37971611	0.562	0.393	0	0	G6PC3
0	0.378580587	0.931	0.883	0	0	PRDX4
0	0.377579291	0.473	0.231	0	0	RNASE4
0	0.377229735	0.379	0.098	0	0	PPP2R2B
0	0.377069082	0.74	0.645	0	0	SNHG14
0	0.376362847	0.928	0.877	0	0	VKORC1
0	0.375804597	0.573	0.399	0	0	TSPAN2
0	0.37537534	0.711	0.585	0	0	MYL6B
0	0.374310562	0.531	0.331	0	0	GNG2
0	0.373470497	0.936	0.878	0	0	OST4
0	0.373407727	0.533	0.333	0	0	NEURL1
0	0.373342819	0.535	0.355	0	0	IFI27L1
0	0.373331363	0.521	0.333	0	0	CHST9
0	0.373106424	0.786	0.646	0	0	C3orf14
0	0.372903739	0.871	0.767	0	0	CAPZB
0	0.37279959	0.781	0.677	0	0	GTF2H5
0	0.372348562	0.847	0.759	0	0	HIGD2A
0	0.370179389	0.906	0.843	0	0	LAMTOR4
0	0.369747573	0.675	0.566	0	0	LAGE3
0	0.36932335	0.682	0.557	0	0	MTLN
0	0.368770969	0.916	0.86	0	0	MICOS13
0	0.368582694	0.592	0.436	0	0	ZSCAN16-AS1
0	0.368070693	0.948	0.895	0	0	COX7B
0	0.368056582	0.466	0.269	0	0	APBB1
0	0.364011658	0.873	0.789	0	0	SNRPG
0	0.362855752	0.692	0.576	0	0	ANTKMT
0	0.362344138	0.823	0.764	0	0	SURF4
0	0.3619453	0.993	0.964	0	0	GABARAP
0	0.35965764	0.978	0.933	0	0	ELOB
0	0.359009848	0.865	0.812	0	0	SCARB2
0	0.358526631	0.493	0.298	0	0	HEPACAM2
0	0.358295342	0.393	0.154	0	0	MTMR7
0	0.358245465	0.925	0.87	0	0	SNU13
0	0.357396449	0.818	0.716	0	0	LAPTM4B
0	0.356733885	0.736	0.626	0	0	C7orf50
0	0.356732879	0.617	0.485	0	0	ERG28
0	0.356167365	0.868	0.789	0	0	TECR
0	0.355603365	0.973	0.924	0	0	PKM
0	0.355135316	0.976	0.958	0	0	COX6A1
0	0.354667448	0.913	0.861	0	0	NUCKS1
0	0.354012373	0.584	0.423	0	0	GLB1
0	0.353281941	0.765	0.675	0	0	TMEM160
0	0.353204501	0.408	0.209	0	0	SEZ6L
0	0.352687255	0.341	0.116	0	0	ADCY1
0	0.350580727	0.682	0.58	0	0	SMPD1
0	0.350577516	0.645	0.493	0	0	ANKH
0	0.349310614	0.687	0.58	0	0	DMAC1
0	0.349059387	0.447	0.257	0	0	TBL1X
0	0.348477494	0.781	0.674	0	0	PIN1
0	0.348044546	0.914	0.813	0	0	VAMP2
0	0.347474453	0.615	0.51	0	0	TMEM14A
0	0.347003435	0.869	0.8	0	0	NDUFB3
0	0.346786647	0.996	0.981	0	0	OAZ1
0	0.346428263	0.992	0.969	0	0	CALM2
0	0.346081591	0.336	0.108	0	0	TMEM178B
0	0.345510072	0.64	0.508	0	0	SMCO4
0	0.345276893	0.754	0.65	0	0	PMVK
0	0.344399309	0.8	0.709	0	0	GTF2I
0	0.343900478	0.931	0.86	0	0	GRN
0	0.343654752	0.36	0.318	0	0	XIST
0	0.343623613	0.798	0.734	0	0	CLTC
0	0.342808223	0.604	0.474	0	0	GNS
0	0.341827583	0.574	0.43	0	0	ABHD14B
0	0.341134599	0.9	0.838	0	0	TOMM6
0	0.341082403	0.857	0.743	0	0	TSTD1
0	0.340569839	0.455	0.271	0	0	NOL4
0	0.339645424	0.924	0.885	0	0	WDR83OS
0	0.338988637	0.457	0.286	0	0	TMED8
0	0.337764819	0.478	0.342	0	0	CNIH2
0	0.337063106	0.843	0.773	0	0	MRPL41
0	0.336486107	0.847	0.777	0	0	VPS28
0	0.336314008	0.563	0.419	0	0	TP53TG1
0	0.335995541	0.588	0.454	0	0	CDC42EP3
0	0.335737272	0.975	0.937	0	0	PARK7
0	0.335321003	0.788	0.71	0	0	EI24
0	0.334926161	0.882	0.835	0	0	LAMP1
0	0.334636255	0.653	0.538	0	0	ANAPC13
0	0.334314416	0.964	0.935	0	0	ATP6V0C
0	0.334129221	0.929	0.878	0	0	LAMTOR5
0	0.333997983	0.594	0.442	0	0	CPQ
0	0.332453844	0.637	0.529	0	0	RHBDD2
0	0.331779569	0.709	0.621	0	0	CCDC107
0	0.331699084	0.398	0.206	0	0	CSRNP3
0	0.331217933	0.591	0.445	0	0	PAFAH1B3
0	0.330716107	0.617	0.492	0	0	GDI1
0	0.329277747	0.411	0.226	0	0	SESN3
0	0.329226185	0.549	0.435	0	0	G6PC2
0	0.328797499	0.578	0.441	0	0	ATP9A
0	0.327389824	0.361	0.189	0	0	CRIP1
0	0.327236084	0.441	0.262	0	0	GDA
0	0.326844023	0.98	0.945	0	0	ATP5MC2
0	0.326530036	0.984	0.968	0	0	TMEM59
0	0.325888569	0.726	0.637	0	0	SLC25A39
0	0.325121777	0.723	0.616	0	0	NME1
0	0.324835831	0.591	0.469	0	0	UROS
0	0.324210276	0.533	0.382	0	0	OGFOD3
0	0.323426993	0.688	0.569	0	0	CMTM6
0	0.323415628	0.435	0.241	0	0	CELF3
0	0.323124869	0.569	0.507	0	0	TMEM238
0	0.322884745	0.707	0.611	0	0	BOLA3
0	0.322722305	0.317	0.148	0	0	JSRP1
0	0.321819536	0.464	0.296	0	0	PHTF2
0	0.321762071	0.447	0.277	0	0	BACE1
0	0.321390555	0.619	0.445	0	0	TCEAL2
0	0.321173893	0.936	0.892	0	0	RHOA
0	0.321133682	0.813	0.735	0	0	POLR2K
0	0.319788198	0.22	0.053	0	0	PART1
0	0.318513493	0.937	0.917	0	0	TMED10
0	0.31751779	0.755	0.665	0	0	BUD23
0	0.316943766	0.698	0.616	0	0	FNDC3A
0	0.316713603	0.583	0.456	0	0	GSTO2
0	0.316177446	0.691	0.618	0	0	NORAD
0	0.315750607	0.525	0.358	0	0	MAPK10
0	0.315715164	0.669	0.519	0	0	AK1
0	0.314641475	0.675	0.539	0	0	PARVB
0	0.314482551	0.626	0.498	0	0	CRELD2
0	0.314346701	0.822	0.748	0	0	ZNHIT1
0	0.314197916	0.815	0.703	0	0	TUBA4A
0	0.314150554	0.886	0.85	0	0	JTB
0	0.313854756	0.743	0.668	0	0	TMEM205
0	0.313722022	0.571	0.445	0	0	PDXDC1
0	0.313712831	0.876	0.792	0	0	CLDN7
0	0.31341961	0.668	0.584	0	0	PLPP5
0	0.312843131	0.406	0.216	0	0	MFSD3
0	0.312805966	0.432	0.238	0	0	FAM131C
0	0.312193704	0.471	0.344	0	0	FKBP2
0	0.310889969	0.499	0.363	0	0	TMEM8A
0	0.31075443	0.887	0.842	0	0	MDH2
0	0.310698041	0.998	0.988	0	0	SSR4
0	0.31052795	0.744	0.604	0	0	MDK
0	0.309842604	0.658	0.555	0	0	DAP
0	0.309671159	0.959	0.934	0	0	CALR
0	0.308893428	0.427	0.245	0	0	SLC25A33
0	0.308748561	0.654	0.53	0	0	STXBP1
0	0.308609537	0.264	0.063	0	0	AJ009632.2
0	0.308170821	0.848	0.773	0	0	COX14
0	0.308156488	0.571	0.459	0	0	HTATSF1
0	0.307759014	0.93	0.884	0	0	NDUFB7
0	0.30770601	0.459	0.291	0	0	ST18
0	0.30715576	0.489	0.326	0	0	MLLT11
0	0.306982093	0.855	0.798	0	0	NDUFA5
0	0.306976014	0.717	0.636	0	0	AP1S1
0	0.306566365	0.733	0.647	0	0	PTS
0	0.306504224	0.436	0.269	0	0	P3H3
0	0.306468688	0.369	0.183	0	0	LINC01370
0	0.306459165	0.291	0.056	0	0	AL591501.1
0	0.3061091	0.621	0.504	0	0	FMC1
0	0.305726577	0.453	0.294	0	0	SYT5
0	0.305314488	0.918	0.894	0	0	SSR2
0	0.305099115	0.606	0.478	0	0	TENT5A
0	0.304860454	0.515	0.395	0	0	RAB3GAP2
0	0.304823132	0.444	0.262	0	0	SMIM6
0	0.30473922	0.828	0.761	0	0	NDUFA2
0	0.304113178	0.809	0.733	0	0	MAGED2
0	0.303069313	0.963	0.922	0	0	ATP5PF
0	0.302794709	0.921	0.864	0	0	NEDD8
0	0.302379641	0.692	0.51	0	0	BTG2
0	0.301979607	0.745	0.673	0	0	OS9
0	0.301050166	0.359	0.162	0	0	FGF12
0	0.300687082	0.539	0.413	0	0	MMAB
0	0.300471349	0.246	0.035	0	0	PYROXD2
0	0.300362011	0.788	0.718	0	0	ENSA
0	0.300348512	0.46	0.312	0	0	LDLRAP1
0	0.299605143	0.338	0.151	0	0	CNTN4
0	0.299412709	0.97	0.932	0	0	NDUFS5
0	0.299066245	0.716	0.629	0	0	BAX
0	0.298581852	0.296	0.096	0	0	USP18
0	0.298249404	0.466	0.273	0	0	CD82
0	0.297437013	0.777	0.688	0	0	NHP2
0	0.294933732	0.558	0.436	0	0	TMEM106C
0	0.294817837	0.831	0.734	0	0	BEX4
0	0.294610319	0.703	0.594	0	0	CAMTA1
0	0.29453668	0.955	0.902	0	0	HSPE1
0	0.294530315	0.889	0.838	0	0	NDUFAB1
0	0.294398923	0.534	0.402	0	0	NT5C3A
0	0.293985723	0.639	0.557	0	0	SLC35B1
0	0.293947023	0.559	0.449	0	0	CREB3L2
0	0.293705013	0.698	0.587	0	0	IFI6
0	0.292941609	0.613	0.458	0	0	NOVA1
0	0.29264609	0.312	0.118	0	0	VIL1
0	0.292058333	0.422	0.267	0	0	PLCXD2
0	0.291961047	0.36	0.169	0	0	CACNA2D2
0	0.291951742	0.488	0.361	0	0	APH1B
0	0.291828498	0.384	0.146	0	0	GPC6
0	0.290940503	0.981	0.905	0	0	EPCAM
0	0.290762482	0.486	0.327	0	0	SLC37A4
0	0.290284747	0.318	0.111	0	0	KCNA5
0	0.289905945	0.58	0.503	0	0	TMEM60
0	0.289450491	0.783	0.706	0	0	MAPRE1
0	0.288995636	0.685	0.589	0	0	PPT1
0	0.288806423	0.833	0.764	0	0	GNG10
