"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:1903076","GO:1903076","regulation of protein localization to plasma membrane","3/49","102/18866",0.00236016760591976,0.0421303481838321,0.0317259069591876,"ACTB/SQSTM1/ITGB1",3
"GO:2000171","GO:2000171","negative regulation of dendrite development","2/49","28/18866",0.00239254994404283,0.0422230688988468,0.0317957295195166,"YWHAH/ID1",2
"GO:0032649","GO:0032649","regulation of interferon-gamma production","3/49","104/18866",0.00249410739236451,0.0434950576546708,0.0327535900324257,"INHBA/DDIT3/CD47",3
"GO:0032373","GO:0032373","positive regulation of sterol transport","2/49","29/18866",0.00256552625452566,0.0434950576546708,0.0327535900324257,"ANXA2/NFKBIA",2
"GO:0032376","GO:0032376","positive regulation of cholesterol transport","2/49","29/18866",0.00256552625452566,0.0434950576546708,0.0327535900324257,"ANXA2/NFKBIA",2
"GO:0071219","GO:0071219","cellular response to molecule of bacterial origin","4/49","222/18866",0.0026122011600975,0.0434950576546708,0.0327535900324257,"VIM/MRC1/NFKBIA/CD68",4
"GO:0030038","GO:0030038","contractile actin filament bundle assembly","3/49","106/18866",0.00263266929783583,0.0434950576546708,0.0327535900324257,"ACTG1/S100A10/CD47",3
"GO:0043149","GO:0043149","stress fiber assembly","3/49","106/18866",0.00263266929783583,0.0434950576546708,0.0327535900324257,"ACTG1/S100A10/CD47",3
"GO:1902903","GO:1902903","regulation of supramolecular fiber organization","5/49","373/18866",0.00274674836314427,0.0449021074522427,0.0338131571352165,"ACTG1/S100A10/MAP1B/CD47/ID1",5
"GO:0051495","GO:0051495","positive regulation of cytoskeleton organization","4/49","230/18866",0.0029671618996462,0.0475051796922737,0.0357733789528696,"S100A10/MAP1B/CD47/ID1",4
"GO:0097191","GO:0097191","extrinsic apoptotic signaling pathway","4/49","230/18866",0.0029671618996462,0.0475051796922737,0.0357733789528696,"TNFRSF12A/INHBA/LMNA/ATF3",4
"GO:0006909","GO:0006909","phagocytosis","5/49","382/18866",0.00304304524236668,0.0482229516468923,0.036313891130713,"ACTG1/ACTB/CD47/MYH9/ITGB1",5
"GO:0032963","GO:0032963","collagen metabolic process","3/49","113/18866",0.00315479619827739,0.0490199283181932,0.0369140477591844,"VIM/ITGB1/ID1",3
"GO:0007050","GO:0007050","cell cycle arrest","4/49","234/18866",0.00315646673008327,0.0490199283181932,0.0369140477591844,"INHBA/DDIT3/PPP1R15A/GADD45A",4
