p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
IFI27L2	1.50014013164073e-106	0.221637621081277	0.89	0.783	4.16123871115822e-102	0	IFI27L2
GABARAP	1.74257158957802e-106	0.221671635598915	0.992	0.95	4.83371933233048e-102	0	GABARAP
COA3	1.38420891562126e-102	0.215420459701148	0.817	0.685	3.83965711104181e-98	0	COA3
TUBA1B	3.50503707938191e-102	0.249133887943729	0.996	0.977	9.72262235449747e-98	0	TUBA1B
TMEM14A	5.76046600080857e-102	0.201050417331975	0.606	0.5	1.59789566396429e-97	0	TMEM14A
PFN2	4.00576117609669e-98	0.234875180008987	0.774	0.637	1.11115809263746e-93	0	PFN2
POLR2L	5.47381417998314e-98	0.214322055124785	0.91	0.811	1.51838131538552e-93	0	POLR2L
DBI	1.11579343409764e-96	0.203983614027299	0.944	0.855	3.09509940684344e-92	0	DBI
NAA20	7.15677292472026e-90	0.201744401172424	0.957	0.899	1.98521724158815e-85	0	NAA20
NDUFB1	1.10526869573253e-85	0.208245591323952	0.867	0.747	3.06590483509247e-81	0	NDUFB1
UQCR11	2.62270454815329e-84	0.208802578091198	0.975	0.908	7.27512014612242e-80	0	UQCR11
RPL27A	3.52485812205325e-77	0.203425174214619	0.996	0.976	9.77760394476351e-73	0	RPL27A
C12orf75	1.08179043806107e-64	0.209243514132894	0.926	0.813	3.00077849613759e-60	0	C12orf75
CRH	2.94396428126245e-56	0.290683437147241	0.59	0.489	8.1662625197939e-52	0	CRH
CRYBA2	1.70752838262971e-40	0.221277576404243	0.981	0.923	4.73651298057655e-36	0	CRYBA2
RPL31	2.46183749285003e-35	0.269268347858933	0.961	0.905	6.8288910214167e-31	0	RPL31
RPS17	4.41919590437777e-33	0.22653138477761	0.964	0.91	1.22584075191535e-28	0	RPS17
GSTA1	1.56291286674524e-26	0.238612020707861	0.135	0.108	4.33536400106462e-22	0	GSTA1
NDRG1	0	1.69208236652236	0.841	0.502	0	1	NDRG1
CITED2	0	1.53222938798623	0.784	0.488	0	1	CITED2
CP	0	1.44121580897651	0.37	0.08	0	1	CP
TGM2	0	1.38844132116962	0.589	0.211	0	1	TGM2
FGB	0	1.37674825301134	0.109	0.027	0	1	FGB
FGA	0	1.3048263337944	0.113	0.019	0	1	FGA
DEPP1	0	1.22142164770712	0.886	0.671	0	1	DEPP1
CEBPD	0	1.20916249978678	0.641	0.267	0	1	CEBPD
SOCS1	0	1.19145589157663	0.691	0.281	0	1	SOCS1
PGK1	0	1.18860222121845	0.96	0.812	0	1	PGK1
TPI1	0	1.17401463166109	0.993	0.929	0	1	TPI1
LDHA	0	1.1180211792286	0.971	0.784	0	1	LDHA
PLOD2	0	1.05111190321417	0.883	0.571	0	1	PLOD2
SERPINA1	0	1.02026912280018	0.81	0.757	0	1	SERPINA1
TMEM45B	0	1.01052876500569	0.759	0.407	0	1	TMEM45B
BNIP3	0	0.960221222940891	0.952	0.82	0	1	BNIP3
IRX2	0	0.934510430342539	0.921	0.782	0	1	IRX2
ENO1	0	0.926008687262395	0.985	0.919	0	1	ENO1
C4orf3	0	0.908942307947874	0.929	0.742	0	1	C4orf3
C2CD4A	0	0.902302462093546	0.666	0.448	0	1	C2CD4A
SYNPO	0	0.895104848402223	0.639	0.307	0	1	SYNPO
MIF	0	0.890968711335757	0.999	0.986	0	1	MIF
C5orf38	0	0.88277721165487	0.864	0.652	0	1	C5orf38
AL606807.1	0	0.881678394722881	0.381	0.092	0	1	AL606807.1
C2CD4B	0	0.863525681145877	0.666	0.514	0	1	C2CD4B
JUNB	0	0.848291847832328	0.92	0.783	0	1	JUNB
DSP	0	0.847824815442099	0.93	0.837	0	1	DSP
GAPDH	0	0.835404816058987	1	0.997	0	1	GAPDH
AC099509.1	0	0.831659968369651	0.78	0.494	0	1	AC099509.1
PAPSS2	0	0.82122922146252	0.924	0.742	0	1	PAPSS2
NNMT	0	0.795200243819846	0.445	0.223	0	1	NNMT
BNIP3L	0	0.789983339033206	0.862	0.609	0	1	BNIP3L
ZNF395	0	0.789000466628638	0.607	0.282	0	1	ZNF395
BTG1	0	0.785496996672919	0.928	0.824	0	1	BTG1
CIB1	0	0.783244911242525	0.923	0.792	0	1	CIB1
ZNRF1	0	0.769774550922768	0.679	0.405	0	1	ZNRF1
ERO1A	0	0.764280926436088	0.783	0.507	0	1	ERO1A
PTP4A3	0	0.761151084669892	0.803	0.568	0	1	PTP4A3
FAM153CP	0	0.746919956642232	0.78	0.523	0	1	FAM153CP
EDN3	0	0.723249076391871	0.344	0.179	0	1	EDN3
VIM	0	0.714760283925241	0.836	0.711	0	1	VIM
LAPTM4B	0	0.706046811550864	0.918	0.775	0	1	LAPTM4B
PDCD4	0	0.698340385265107	0.735	0.532	0	1	PDCD4
HILPDA	0	0.678841783686934	0.33	0.173	0	1	HILPDA
SOD2	0	0.672000852767342	0.52	0.443	0	1	SOD2
GRAMD4	0	0.669833032287116	0.48	0.244	0	1	GRAMD4
BTG2	0	0.669378855575877	0.762	0.651	0	1	BTG2
FAM162A	0	0.663972662750429	0.752	0.523	0	1	FAM162A
EGR1	0	0.661322995587833	0.542	0.35	0	1	EGR1
PFKP	0	0.628336325822149	0.714	0.458	0	1	PFKP
WNT4	0	0.606803277636204	0.829	0.673	0	1	WNT4
ELL2	0	0.591706794650615	0.933	0.815	0	1	ELL2
LMO1	0	0.58883369307855	0.603	0.334	0	1	LMO1
MIR210HG	0	0.568824571944079	0.514	0.181	0	1	MIR210HG
SMYD3	0	0.5685499409105	0.458	0.224	0	1	SMYD3
MAPRE1	0	0.564356911686354	0.892	0.751	0	1	MAPRE1
ATP1B1	0	0.564131112922774	0.952	0.907	0	1	ATP1B1
FXYD31	0	0.562292905916897	0.841	0.74	0	1	FXYD3
GADD45G	0	0.56158412117965	0.71	0.53	0	1	GADD45G
PLEKHA1	0	0.561076064957324	0.703	0.539	0	1	PLEKHA1
RTN4	0	0.560747830233517	0.976	0.946	0	1	RTN4
ANGPTL4	0	0.557578635819176	0.286	0.131	0	1	ANGPTL4
HES1	0	0.552759078275029	0.432	0.262	0	1	HES1
AGPAT2	0	0.550465010451449	0.684	0.484	0	1	AGPAT2
PGAM1	0	0.547874117745787	0.825	0.645	0	1	PGAM1
NOL3	0	0.544297576573108	0.614	0.371	0	1	NOL3
ZBTB38	0	0.542954392175712	0.613	0.411	0	1	ZBTB38
GPI	0	0.54176349985281	0.817	0.622	0	1	GPI
STXBP6	0	0.539994986337737	0.697	0.481	0	1	STXBP6
TMSB4X1	0	0.536993420290366	0.986	0.951	0	1	TMSB4X
P4HA1	0	0.532094447866411	0.59	0.305	0	1	P4HA1
DIP2C	0	0.52754089731635	0.511	0.256	0	1	DIP2C
MAPK4	0	0.526613293541946	0.371	0.073	0	1	MAPK4
EGFL7	0	0.52559235944871	0.75	0.577	0	1	EGFL7
ARFGEF3	0	0.520410418580263	0.921	0.836	0	1	ARFGEF3
HIPK2	0	0.519794098792129	0.72	0.55	0	1	HIPK2
CFC1	0	0.511006815838016	0.691	0.534	0	1	CFC1
SPAG4	0	0.506983234599449	0.398	0.128	0	1	SPAG4
PNRC1	0	0.506182659489635	0.755	0.572	0	1	PNRC1
DARS	0	0.504385191520806	0.71	0.488	0	1	DARS
BHLHE40	0	0.492399289896803	0.485	0.224	0	1	BHLHE40
TMOD1	0	0.48798168301663	0.791	0.603	0	1	TMOD1
PKM	0	0.486419245666287	0.986	0.941	0	1	PKM
CD24	0	0.485907206892257	0.474	0.4	0	1	CD24
SEMA4B	0	0.484345981852923	0.459	0.203	0	1	SEMA4B
IRX1	0	0.476293646021406	0.293	0.131	0	1	IRX1
WSB1	0	0.472284685692364	0.875	0.752	0	1	WSB1
RIN2	0	0.471580301067411	0.641	0.458	0	1	RIN2
C9orf161	0	0.458164572034685	0.894	0.783	0	1	C9orf16
ENO2	0	0.447520969831059	0.622	0.431	0	1	ENO2
MIR7-3HG	0	0.4376818621289	0.865	0.753	0	1	MIR7-3HG
CARHSP1	0	0.428517204125325	0.732	0.565	0	1	CARHSP1
EDIL3	0	0.427360047697323	0.679	0.533	0	1	EDIL3
STC2	0	0.424298690996409	0.471	0.245	0	1	STC2
KLF10	0	0.42273919132729	0.467	0.277	0	1	KLF10
PDLIM4	0	0.409846793475884	0.48	0.288	0	1	PDLIM4
LIMCH1	0	0.408345290247625	0.714	0.574	0	1	LIMCH1
MTFP1	0	0.406494259820237	0.459	0.23	0	1	MTFP1
CXXC5	0	0.403736782328818	0.648	0.462	0	1	CXXC5
VWA1	0	0.39996595454779	0.724	0.588	0	1	VWA1
PDK1	0	0.394141932368669	0.39	0.16	0	1	PDK1
ARRDC3	0	0.393883632031319	0.442	0.254	0	1	ARRDC3
ALDOC	0	0.392570921544571	0.383	0.163	0	1	ALDOC
EPAS1	0	0.39150776916654	0.383	0.176	0	1	EPAS1
ACAT1	0	0.390678023837179	0.631	0.504	0	1	ACAT1
RUFY3	0	0.389610962559418	0.694	0.563	0	1	RUFY3
RHOBTB3	0	0.387511151135995	0.747	0.616	0	1	RHOBTB3
FGF18	0	0.3807502942946	0.134	0.021	0	1	FGF18
A1CF	0	0.380593906000616	0.671	0.512	0	1	A1CF
MLXIP	0	0.37770952559415	0.607	0.434	0	1	MLXIP
TKT	0	0.371514618393473	0.769	0.643	0	1	TKT
KL	0	0.3611778312328	0.303	0.142	0	1	KL
ST3GAL6	0	0.358570336202871	0.406	0.219	0	1	ST3GAL6
MBNL2	0	0.357402192071408	0.557	0.379	0	1	MBNL2
IL6ST	0	0.348874585453397	0.587	0.429	0	1	IL6ST
ZFP36L1	0	0.347590694143694	0.277	0.155	0	1	ZFP36L1
SYT7	0	0.347554396497148	0.716	0.577	0	1	SYT7
MLYCD	0	0.346064007754332	0.49	0.32	0	1	MLYCD
ACTN1	0	0.345827709378654	0.661	0.525	0	1	ACTN1
AK4	0	0.34527804005343	0.26	0.058	0	1	AK4
RAP1GAP2	0	0.34347785117711	0.578	0.415	0	1	RAP1GAP2
ITGA1	0	0.337376946484237	0.298	0.126	0	1	ITGA1
VKORC1	0	0.335833954581914	0.944	0.88	0	1	VKORC1
KANK1	0	0.333834988390126	0.357	0.171	0	1	KANK1
RASSF4	0	0.333388422776435	0.327	0.173	0	1	RASSF4
PIAS2	0	0.324015524067591	0.408	0.252	0	1	PIAS2
EGLN1	0	0.320429586786208	0.478	0.297	0	1	EGLN1
DPCD	0	0.316456679719045	0.442	0.266	0	1	DPCD
WDR54	0	0.313278127215196	0.511	0.344	0	1	WDR54
IDH2	0	0.30856244761604	0.498	0.362	0	1	IDH2
IFITM2	0	0.306544492953894	0.178	0.068	0	1	IFITM2
RORA	0	0.304929299505423	0.429	0.262	0	1	RORA
SLC2A1	0	0.301559488282888	0.281	0.113	0	1	SLC2A1
FBXO17	0	0.296034371793417	0.415	0.276	0	1	FBXO17
SOCS3	0	0.29475947912915	0.252	0.1	0	1	SOCS3
PFKL	0	0.294193828168332	0.541	0.381	0	1	PFKL
NET1	0	0.284833824563481	0.301	0.158	0	1	NET1
FUT11	0	0.272669585445534	0.36	0.201	0	1	FUT11
MXI1	0	0.272272745713787	0.349	0.199	0	1	MXI1
GBE1	0	0.254538053174857	0.338	0.192	0	1	GBE1
TMEM37	0	0.254311762147371	0.213	0.091	0	1	TMEM37
AL133453.1	0	0.249180161471533	0.292	0.148	0	1	AL133453.1
GCK	0	0.246009293977998	0.279	0.136	0	1	GCK
SLC16A3	0	0.244089884313836	0.178	0.051	0	1	SLC16A3
ANKZF1	0	0.242198526529113	0.304	0.163	0	1	ANKZF1
CTXN2	0	0.240293040379002	0.209	0.067	0	1	CTXN2
PFKFB4	0	0.237186625942322	0.213	0.068	0	1	PFKFB4
KIF26B	0	0.23448885835209	0.177	0.045	0	1	KIF26B
KISS1R	0	0.228254809913118	0.163	0.047	0	1	KISS1R
FOS	1.90631009261651e-307	0.780979261231098	0.763	0.641	5.28791356590893e-303	1	FOS
CD99	3.24431523222647e-305	0.27783355174547	0.999	0.993	8.999406022673e-301	1	CD99
POLR2H	6.16455628924126e-294	0.285739616911086	0.571	0.425	1.70998626907263e-289	1	POLR2H
HIGD1A	2.36935491717892e-290	0.335793833238525	0.803	0.689	6.57235360476262e-286	1	HIGD1A
SEC61G	9.81946644288884e-289	0.327628007855557	0.944	0.879	2.72382179659293e-284	1	SEC61G
B2M	1.33352219508044e-286	0.333664353107984	1	1	3.69905721693362e-282	1	B2M
NAP1L1	3.51500897521628e-286	0.312740632101073	0.892	0.81	9.75028339635245e-282	1	NAP1L1
FLOT1	8.40825446469229e-285	0.306291679457016	0.713	0.593	2.33236570596099e-280	1	FLOT1
ARL4D	4.66195144935156e-284	0.215049490584343	0.176	0.078	1.29317871253563e-279	1	ARL4D
PLAAT4	9.15874032909384e-283	0.246880694309722	0.281	0.16	2.54054297988734e-278	1	PLAAT4
ELF3	3.84339606537056e-282	0.437322851502645	0.775	0.657	1.06611963457314e-277	1	ELF3
LINC00963	1.38134221050461e-280	0.283732494711514	0.419	0.268	3.83170515771875e-276	1	LINC00963
SLC37A4	2.71155120665903e-279	0.292976072489301	0.517	0.409	7.52157189215149e-275	1	SLC37A4
ANKRD12	1.01038803573477e-278	0.33727220227427	0.817	0.715	2.80271537232466e-274	1	ANKRD12
H3F3A	3.34138501944983e-278	0.387321379191715	0.993	0.967	9.26866790545189e-274	1	H3F3A
SAP30	1.7332030386889e-277	0.241945493303205	0.329	0.192	4.80773190901915e-273	1	SAP30
TLE1	1.12543408480709e-276	0.206447810573912	0.254	0.137	3.12184160784638e-272	1	TLE1
UTRN	2.53843687040662e-272	0.281921932733412	0.276	0.155	7.04137003482093e-268	1	UTRN
PRSS3	2.34443464039702e-271	0.414080494992273	0.545	0.392	6.50322724899728e-267	1	PRSS3
HLA-A	2.46718136668187e-268	0.273039024848225	0.999	0.998	6.84371439303885e-264	1	HLA-A
OBSL1	5.50465570427774e-264	0.259916686354667	0.457	0.314	1.5269364458096e-259	1	OBSL1
STAT3	4.14151054148459e-260	0.314519454487827	0.795	0.68	1.14881360910241e-255	1	STAT3
HOPX	2.49373734831158e-257	0.431070083094356	0.562	0.416	6.9173780304815e-253	1	HOPX
ANP32B	1.13103047577566e-256	0.308203536540209	0.796	0.685	3.13736543675411e-252	1	ANP32B
PGM1	8.29094830806044e-252	0.257667199437113	0.52	0.381	2.29982615117288e-247	1	PGM1
ZFP36	1.83624158170675e-250	0.49190910123825	0.626	0.5	5.09355052349634e-246	1	ZFP36
WDR45B	1.54000358868968e-249	0.264754715546759	0.556	0.421	4.27181595466631e-245	1	WDR45B
DUSP1	6.26336334292173e-248	0.553418185489122	0.546	0.394	1.73739435769306e-243	1	DUSP1
WWC1	3.7898171391754e-246	0.281196205217659	0.372	0.249	1.05125737623586e-241	1	WWC1
MDH2	5.0928797704046e-245	0.322884119265433	0.897	0.844	1.41271391951253e-240	1	MDH2
CDH10	1.35657001263591e-244	0.223191063923549	0.304	0.172	3.76298955805076e-240	1	CDH10
NAMPT	1.15630763774705e-243	0.355695617630849	0.606	0.469	3.20748175634655e-239	1	NAMPT
ATP2B1	2.68346514634561e-242	0.31476044541949	0.763	0.667	7.4436639694481e-238	1	ATP2B1
RBPJ	3.86441416708091e-239	0.268046870561383	0.535	0.397	1.07194984580657e-234	1	RBPJ
ZNF292	4.45934805499759e-239	0.380027297354383	0.761	0.605	1.23697855697578e-234	1	ZNF292
RAB3GAP2	6.15271038974139e-238	0.34154290372758	0.644	0.503	1.70670033501036e-233	1	RAB3GAP2
TSC22D1	1.20410437386682e-236	0.347575819727717	0.789	0.725	3.34006512266918e-232	1	TSC22D1
EVA1A	2.58739396547449e-236	0.292672546944869	0.415	0.267	7.17717212082968e-232	1	EVA1A
SLC36A4	5.35651154625855e-233	0.281182401068784	0.763	0.651	1.48584273781666e-228	1	SLC36A4
IER2	1.44258625103946e-232	0.528301811523708	0.441	0.334	4.00159000175837e-228	1	IER2
NFKBIA	4.74456487023393e-232	0.461192313803368	0.387	0.284	1.31609484935419e-227	1	NFKBIA
GCHFR	9.68019916556531e-231	0.247580018587275	0.506	0.368	2.68519044653616e-226	1	GCHFR
ARL15	1.88216647735344e-228	0.205716603390879	0.316	0.193	5.22094159153071e-224	1	ARL15
MEIS2	7.29265454301256e-228	0.331959954484269	0.76	0.648	2.02290944368625e-223	1	MEIS2
TXNIP	7.43893048846585e-228	0.408288789094729	0.477	0.333	2.06348492819554e-223	1	TXNIP
NFKBIZ	3.35205888579592e-227	0.269080161595397	0.258	0.144	9.29827614330932e-223	1	NFKBIZ
TIMP1	9.12131596628883e-227	0.271026138102489	0.974	0.959	2.53016183588886e-222	1	TIMP1
NARF	1.77109908908267e-226	0.200738095736825	0.341	0.218	4.91285176320643e-222	1	NARF
HSF4	9.39524192144519e-226	0.221157794979846	0.348	0.227	2.60614615658968e-221	1	HSF4
NPM1	7.38073492453739e-225	0.3003886048987	0.969	0.938	2.04734206071743e-220	1	NPM1
TMEM176B	6.85567100583285e-222	0.317333608979785	0.991	0.971	1.90169458030798e-217	1	TMEM176B
PPP1R3B	4.03884709271788e-221	0.233008237118297	0.328	0.193	1.12033579504901e-216	1	PPP1R3B
PDK3	2.04271819416135e-218	0.300226667749285	0.704	0.571	5.66629599878417e-214	1	PDK3
BCKDHA	1.19023891717283e-213	0.200442692781185	0.389	0.265	3.30160373234571e-209	1	BCKDHA
TMEM163	5.30751331927556e-213	0.250256965462587	0.411	0.29	1.47225111963385e-208	1	TMEM163
PITPNC1	4.74980533409246e-211	0.201861595227771	0.337	0.217	1.31754850162391e-206	1	PITPNC1
MAN1C1	1.71715047552286e-210	0.217454865933257	0.29	0.184	4.76320370405287e-206	1	MAN1C1
SH3RF1	4.23373174451159e-208	0.245700759811274	0.448	0.318	1.17439484861007e-203	1	SH3RF1
RASD1	1.6329480875848e-207	0.454739628962889	0.629	0.537	4.52963470015147e-203	1	RASD1
PTMA	3.18600308392398e-205	0.304215082080534	0.989	0.966	8.83765395449674e-201	1	PTMA
PTEN	6.41823640270805e-205	0.267417792899872	0.595	0.468	1.78035459574719e-200	1	PTEN
MAN2A1	5.20871700198456e-203	0.245175165438725	0.432	0.301	1.4448460091805e-198	1	MAN2A1
GRM4	7.06713163230367e-203	0.234811060290487	0.335	0.221	1.96035164348471e-198	1	GRM4
CDKN1C	2.04430639234715e-201	0.562493207356862	0.474	0.461	5.67070150173176e-197	1	CDKN1C
MIDN	4.83984299375738e-194	0.301469723829791	0.499	0.37	1.34252404803836e-189	1	MIDN
S100A10	6.34037031151602e-194	0.358004727953427	0.884	0.776	1.75875532071143e-189	1	S100A10
TPT1	1.507939755405e-193	0.364544558700848	0.997	0.988	4.18287408751793e-189	1	TPT1
NPC2	3.70598649499231e-189	0.276291547607063	0.962	0.93	1.02800359384592e-184	1	NPC2
RPS6KA3	5.99482535340469e-187	0.283784364090295	0.713	0.597	1.66290460478093e-182	1	RPS6KA3
CCNI	9.33147758151113e-187	0.287502611200604	0.964	0.914	2.58845856633537e-182	1	CCNI
MDK	1.29558879895783e-185	0.26941362597788	0.782	0.707	3.59383376942913e-181	1	MDK
VOPP1	1.30273336161418e-185	0.24398652769714	0.584	0.471	3.61365207178158e-181	1	VOPP1
PAIP2	3.5120794606913e-185	0.235998925656168	0.726	0.621	9.7421572160116e-181	1	PAIP2
MTUS1	4.70472846265889e-185	0.274700788634777	0.378	0.252	1.30504462825695e-180	1	MTUS1
ABCC9	5.5894711332415e-184	0.209566245853246	0.298	0.186	1.55046339764986e-179	1	ABCC9
SLC40A1	7.75473499568704e-184	0.29261144867873	0.495	0.389	2.15108594045363e-179	1	SLC40A1
DDT	1.68241129238272e-183	0.26194181977161	0.85	0.756	4.66684068394044e-179	1	DDT
SSBP2	2.69537173932152e-183	0.247033487752419	0.586	0.466	7.47669166770396e-179	1	SSBP2
TMEM123	2.93043677848387e-183	0.222850678487021	0.455	0.346	8.1287385798364e-179	1	TMEM123
LPGAT1	5.48136496955408e-183	0.28852801288484	0.611	0.496	1.52047582890461e-178	1	LPGAT1
RHOQ	3.78350178739771e-182	0.285823152364038	0.41	0.273	1.04950556080625e-177	1	RHOQ
HNRNPK	7.86787583472401e-182	0.261270345588937	0.872	0.797	2.18247007779409e-177	1	HNRNPK
ANAPC16	7.32810451239272e-181	0.242542524707805	0.847	0.758	2.03274291069262e-176	1	ANAPC16
JAK1	1.56774972338224e-180	0.277570881535354	0.683	0.586	4.34878095768999e-176	1	JAK1
VWA5A	8.88574954056945e-180	0.238486567130868	0.597	0.48	2.46481806505856e-175	1	VWA5A
VGF	2.84454388294615e-178	0.448315697690409	0.993	0.989	7.89048027690433e-174	1	VGF
SSBP3	8.77255370754555e-176	0.224201443125084	0.458	0.33	2.43341867293606e-171	1	SSBP3
TJP2	1.3147332800079e-175	0.226813309200684	0.463	0.336	3.64693864541392e-171	1	TJP2
IER3	1.6743818634641e-175	0.456486355384379	0.548	0.456	4.64456785106307e-171	1	IER3
PTPRF	1.08225376427609e-173	0.236063004066377	0.519	0.393	3.00206371672543e-169	1	PTPRF
CERS2	1.72570734490807e-173	0.225862418265632	0.546	0.447	4.78693960404051e-169	1	CERS2
TNFRSF1A	7.48692475084911e-173	0.235458890648059	0.55	0.427	2.07679805663803e-168	1	TNFRSF1A
AJ009632.2	1.27398513488328e-171	0.23432972113364	0.358	0.243	3.53390736565274e-167	1	AJ009632.2
PRDX4	1.69505393806477e-171	0.267869404807839	0.947	0.907	4.70191011879787e-167	1	PRDX4
NOP53	5.79733378123903e-169	0.225709741090317	0.762	0.676	1.60812241757789e-164	1	NOP53
ZNF148	5.14611210309315e-168	0.229510656807842	0.551	0.431	1.42748003627701e-163	1	ZNF148
EIF4A2	3.95424448348122e-166	0.246630019207555	0.947	0.912	1.09686787727286e-161	1	EIF4A2
FXYD21	2.76034480603604e-165	0.449743147638601	0.863	0.781	7.65692045746338e-161	1	FXYD2
GADD45B	4.11194558464429e-165	0.430157157164348	0.388	0.237	1.14061258572448e-160	1	GADD45B
RAB13	9.41878481886563e-165	0.240971348716402	0.752	0.656	2.61267672090514e-160	1	RAB13
CTNNA1	5.65840392046988e-163	0.238862375447064	0.652	0.546	1.56958466349914e-158	1	CTNNA1
CSDE1	5.81500186199672e-163	0.258914007823379	0.912	0.844	1.61302336649927e-158	1	CSDE1
AL035071.1	1.27163742032033e-162	0.204162982803815	0.412	0.305	3.52739504022657e-158	1	AL035071.1
SCG5	2.25596278267842e-161	0.216599203672424	1	0.999	6.25781516287168e-157	1	SCG5
KCNMB2	5.94913495515673e-161	0.247841162845997	0.679	0.562	1.65023054521092e-156	1	KCNMB2
PRR13	6.47380677116493e-158	0.213686928607385	0.759	0.668	1.79576926025344e-153	1	PRR13
HS6ST3	1.16172599947974e-157	0.215964367897228	0.407	0.292	3.22251174995684e-153	1	HS6ST3
COX20	2.1322155084551e-156	0.21914225921992	0.581	0.467	5.9145525989036e-152	1	COX20
