Gene	Ensembl	Symbol	BioType	gene_short_name	num_cells_expressed	pval	qval	CorrCoef	CorrP	CorrFDR	Significance
ENSG00000213468:FIRRE	ENSG00000213468	FIRRE	lncRNA	FIRRE	26	0.000186913047684345	0.0157655016242076	0.578094502709151	0.0019802046046808	0.486435822075307	Significant
ENSG00000119632:IFI27L2	ENSG00000119632	IFI27L2	protein_coding	IFI27L2	26	0.000268719850409175	0.0206521266633258	0.575757607667494	0.00208556933233065	0.486539443248383	Significant
ENSG00000151952:TMEM132D	ENSG00000151952	TMEM132D	protein_coding	TMEM132D	26	0.000126951000173182	0.0119433873058415	0.572653081967278	0.00223295199766648	0.487145101297274	Significant
ENSG00000039560:RAI14	ENSG00000039560	RAI14	protein_coding	RAI14	26	4.52232577577788e-05	0.00519977467681605	0.572335731708526	0.00224850816054256	0.487145101297274	Significant
ENSG00000257084:MIR200CHG	ENSG00000257084	MIR200CHG	lncRNA	MIR200CHG	26	0.000100781088138096	0.00991128394876397	0.570590707519168	0.00233571604526053	0.487145101297274	Significant
ENSG00000250510:GPR162	ENSG00000250510	GPR162	protein_coding	GPR162	26	1.86902818804038e-06	0.000366060258083062	-0.566304230823448	0.00256231401928343	0.487145101297274	Significant
ENSG00000106541:AGR2	ENSG00000106541	AGR2	protein_coding	AGR2	25	2.25061058602712e-20	7.43055160766755e-17	0.565105815048174	0.00262893023270179	0.487145101297274	Significant
ENSG00000060558:GNA15	ENSG00000060558	GNA15	protein_coding	GNA15	26	4.2106951496627e-09	1.77966928147513e-06	-0.564503286683084	0.00266297820587717	0.487145101297274	Significant
ENSG00000141404:GNAL	ENSG00000141404	GNAL	protein_coding	GNAL	26	8.16895238622262e-08	2.5862008027122e-05	0.564390727171578	0.00266938035522081	0.487145101297274	Significant
ENSG00000177468:OLIG3	ENSG00000177468	OLIG3	protein_coding	OLIG3	25	5.81558465631667e-09	2.31730994814025e-06	0.561246925888464	0.00285358337943054	0.489026239197381	Significant
ENSG00000099958:DERL3	ENSG00000099958	DERL3	protein_coding	DERL3	26	7.07866198146133e-10	4.4214853257717e-07	0.561128277174619	0.00286074250546203	0.489026239197381	Significant
ENSG00000118495:PLAGL1	ENSG00000118495	PLAGL1	protein_coding	PLAGL1	26	5.71915357487348e-14	8.81169055126006e-11	-0.558426057378586	0.00302799188413391	0.492816341086048	Significant
ENSG00000160180:TFF3	ENSG00000160180	TFF3	protein_coding	TFF3	26	1.0703402295453e-09	6.03332513293204e-07	0.557740205024374	0.00307174401093105	0.49532652200216	Significant
ENSG00000178828:RNF186	ENSG00000178828	RNF186	protein_coding	RNF186	26	2.24778011675173e-08	8.24578512353162e-06	-0.557466836216245	0.00308933242976175	0.49532652200216	Significant
ENSG00000141447:OSBPL1A	ENSG00000141447	OSBPL1A	protein_coding	OSBPL1A	26	2.66116233560419e-07	7.23554385154688e-05	0.556772009410489	0.00313442406681406	0.49532652200216	Significant
ENSG00000120549:KIAA1217	ENSG00000120549	KIAA1217	protein_coding	KIAA1217	26	0.000357472361864808	0.0263106489014572	0.555407383454689	0.00322461723229211	0.49532652200216	Significant
ENSG00000168918:INPP5D	ENSG00000168918	INPP5D	protein_coding	INPP5D	26	2.02572483156152e-07	5.91438921770972e-05	0.55514858953035	0.00324196887693703	0.49532652200216	Significant
ENSG00000114737:CISH	ENSG00000114737	CISH	protein_coding	CISH	26	6.89289485091587e-07	0.000159301692899517	-0.554360699140216	0.00329528586134064	0.49532652200216	Significant
ENSG00000258667:HIF1A-AS3	ENSG00000258667	HIF1A-AS3	lncRNA	HIF1A-AS3	26	1.67656276540093e-09	8.4232700154741e-07	-0.551063972921403	0.00352655181877868	0.500013123213461	Significant
ENSG00000177551:NHLH2	ENSG00000177551	NHLH2	protein_coding	NHLH2	25	4.89003654204209e-06	0.000824917040314853	0.54889292534892	0.0036862727221852	0.504422057965778	Significant
ENSG00000124762:CDKN1A	ENSG00000124762	CDKN1A	protein_coding	CDKN1A	26	2.98266153767599e-08	1.01371015878279e-05	0.547801141286771	0.00376888981408951	0.504422057965778	Significant
ENSG00000176383:B3GNT4	ENSG00000176383	B3GNT4	protein_coding	B3GNT4	26	9.88382383550815e-05	0.00976175438728328	-0.547530942944721	0.00378957726548991	0.504422057965778	Significant
ENSG00000248712:CCDC153	ENSG00000248712	CCDC153	protein_coding	CCDC153	26	0.000180034881276823	0.0154560559894965	0.54725134950942	0.00381108551543912	0.504422057965778	Significant
ENSG00000088926:F11	ENSG00000088926	F11	protein_coding	F11	26	0.00025155649141923	0.0197075324514909	-0.542559740453005	0.00418776844265605	0.506736846415459	Significant
ENSG00000166033:HTRA1	ENSG00000166033	HTRA1	protein_coding	HTRA1	26	1.57876473277655e-14	2.80667936455375e-11	0.541155487392095	0.00430647337589373	0.506736846415459	Significant
ENSG00000067798:NAV3	ENSG00000067798	NAV3	protein_coding	NAV3	26	2.97313789092224e-05	0.00371417242146507	0.540641648993822	0.0043506162300971	0.506736846415459	Significant
ENSG00000165066:NKX6-3	ENSG00000165066	NKX6-3	protein_coding	NKX6-3	26	2.54617419172016e-17	6.53829241609383e-14	-0.539739317351533	0.00442906188508566	0.509253976249824	Significant
ENSG00000199851:AL121944.1	ENSG00000199851	AL121944.1	snoRNA	AL121944.1	26	2.37451171984025e-06	0.00044981426522318	0.538842103186379	0.00450824749389571	0.511101544764913	Significant
ENSG00000138294:MSMB	ENSG00000138294	MSMB	protein_coding	MSMB	24	4.9278403043567e-16	1.07293907549654e-12	0.537027813509492	0.00467204028578205	0.516337665369792	Significant
ENSG00000101605:MYOM1	ENSG00000101605	MYOM1	protein_coding	MYOM1	26	6.95095092829686e-06	0.00108542856016127	0.535413693255423	0.00482196857800995	0.518327980494828	Significant
ENSG00000100739:BDKRB1	ENSG00000100739	BDKRB1	protein_coding	BDKRB1	25	0.000452236178138622	0.030862613201183	-0.533456260544826	0.00500922729795206	0.521661245902932	Significant
ENSG00000143127:ITGA10	ENSG00000143127	ITGA10	protein_coding	ITGA10	26	0.000195276365177459	0.0161757422065099	0.533354915430684	0.00501908755569806	0.521661245902932	Significant
ENSG00000130695:CEP85	ENSG00000130695	CEP85	protein_coding	CEP85	26	2.70492970950426e-05	0.00345379174123497	0.531534232021149	0.00519904379381463	0.521661245902932	Significant
ENSG00000283122:HYMAI	ENSG00000283122	HYMAI	lncRNA	HYMAI	26	2.08372079631828e-09	9.82793292320648e-07	-0.530878030056257	0.0052652248450598	0.521661245902932	Significant
ENSG00000164932:CTHRC1	ENSG00000164932	CTHRC1	protein_coding	CTHRC1	26	8.46422160909367e-06	0.00129547434177327	0.530271871878711	0.00532698948695824	0.521661245902932	Significant
ENSG00000165409:TSHR	ENSG00000165409	TSHR	protein_coding	TSHR	26	4.28645522050774e-05	0.00495321333005772	0.529804573527604	0.00537502154069244	0.523205393263146	Significant
ENSG00000170373:CST1	ENSG00000170373	CST1	protein_coding	CST1	25	1.47379217409362e-23	8.51520273386941e-20	0.528996657460243	0.00545892706465863	0.52567193079719	Significant
ENSG00000223956:LINC01767	ENSG00000223956	LINC01767	lncRNA	LINC01767	26	0.000751567623920175	0.0469445388011329	0.523649147425416	0.00604263619594467	0.536516700830044	Significant
ENSG00000255931:AP003108.1	ENSG00000255931	AP003108.1	lncRNA	AP003108.1	26	6.40629043652329e-06	0.0010189858483188	-0.523489475950942	0.00606084292385699	0.536516700830044	Significant
ENSG00000107796:ACTA2	ENSG00000107796	ACTA2	protein_coding	ACTA2	25	3.89506009611481e-10	2.50052038559193e-07	0.522947009377966	0.00612304380125148	0.536516700830044	Significant
ENSG00000010282:HHATL	ENSG00000010282	HHATL	protein_coding	HHATL	26	6.7111699967201e-13	8.16325525232622e-10	-0.52064159111668	0.00639342057380484	0.536516700830044	Significant
ENSG00000285803:AL442003.1	ENSG00000285803	AL442003.1	lncRNA	AL442003.1	26	0.000779486595911053	0.0482297183191553	0.519457822905233	0.00653610915786418	0.536516700830044	Significant
ENSG00000185681:MORN5	ENSG00000185681	MORN5	protein_coding	MORN5	26	0.000180569214536976	0.0154560559894965	0.51940770382521	0.00654220899569529	0.536516700830044	Significant
ENSG00000106633:GCK	ENSG00000106633	GCK	protein_coding	GCK	26	0.000263516541209865	0.0204366804828899	-0.519130651114039	0.0065760146548027	0.536516700830044	Significant
ENSG00000116133:DHCR24	ENSG00000116133	DHCR24	protein_coding	DHCR24	26	2.46734024700264e-07	6.92807693771599e-05	0.518951041368381	0.00659800880628914	0.536516700830044	Significant
ENSG00000263452:AL121899.1	ENSG00000263452	AL121899.1	miRNA	AL121899.1	26	8.58283973444547e-06	0.0013049869019919	0.518768272616503	0.00662045324622082	0.536516700830044	Significant
ENSG00000196141:SPATS2L	ENSG00000196141	SPATS2L	protein_coding	SPATS2L	26	3.53286823670493e-05	0.00417245625102819	0.518725267428251	0.00662574370358083	0.536516700830044	Significant
ENSG00000111341:MGP	ENSG00000111341	MGP	protein_coding	MGP	19	0.000129580240336244	0.0120270238329757	-0.518525884720155	0.00665031803181437	0.536516700830044	Significant
ENSG00000169679:BUB1	ENSG00000169679	BUB1	protein_coding	BUB1	25	0.000368893720558439	0.0268943305231106	0.518087554700517	0.00670461256311514	0.536516700830044	Significant
ENSG00000038427:VCAN	ENSG00000038427	VCAN	protein_coding	VCAN	25	0.000149683588206197	0.0133565150850711	0.517814268868615	0.00673865176637337	0.536516700830044	Significant
ENSG00000077616:NAALAD2	ENSG00000077616	NAALAD2	protein_coding	NAALAD2	26	2.44562804797868e-06	0.000459519592006791	-0.517519783199203	0.00677549396292545	0.536516700830044	Significant
ENSG00000099812:MISP	ENSG00000099812	MISP	protein_coding	MISP	26	2.72194469898633e-05	0.0034564210955095	-0.516180535406639	0.0069451853890234	0.536516700830044	Significant
ENSG00000222020:HDAC4-AS1	ENSG00000222020	HDAC4-AS1	lncRNA	HDAC4-AS1	26	0.000308333934609252	0.0231360570219299	0.516118632919989	0.00695311434604029	0.536516700830044	Significant
ENSG00000004059:ARF5	ENSG00000004059	ARF5	protein_coding	ARF5	26	3.11308858285796e-06	0.00056650858455457	-0.513240865700332	0.00733020706093178	0.541240943722666	Significant
ENSG00000125492:BARHL1	ENSG00000125492	BARHL1	protein_coding	BARHL1	25	1.07251120737171e-07	3.30490753514235e-05	0.51195871234913	0.00750365763080934	0.547056881721245	Significant
ENSG00000121898:CPXM2	ENSG00000121898	CPXM2	protein_coding	CPXM2	25	9.85927586635467e-06	0.00147959561394365	0.510575054488047	0.00769468708881978	0.548638880976342	Significant
ENSG00000183715:OPCML	ENSG00000183715	OPCML	protein_coding	OPCML	25	6.07336773975714e-11	5.0129143511974e-08	0.508588623282315	0.00797604857956962	0.555117020808367	Significant
ENSG00000124942:AHNAK	ENSG00000124942	AHNAK	protein_coding	AHNAK	25	2.05820095140876e-05	0.00279806365811812	0.507934727698103	0.00807053102923679	0.555117020808367	Significant
ENSG00000175906:ARL4D	ENSG00000175906	ARL4D	protein_coding	ARL4D	26	5.11947317048635e-06	0.000855681634768817	-0.50737669723604	0.00815190094711197	0.555117020808367	Significant
ENSG00000152611:CAPSL	ENSG00000152611	CAPSL	protein_coding	CAPSL	26	7.37480187068161e-05	0.0078546183402427	0.506670621048904	0.00825584122069018	0.555117020808367	Significant
ENSG00000099337:KCNK6	ENSG00000099337	KCNK6	protein_coding	KCNK6	26	7.68963023419778e-05	0.00797284839864051	0.504492273887256	0.00858352445335298	0.563562027390457	Significant
ENSG00000171385:KCND3	ENSG00000171385	KCND3	protein_coding	KCND3	26	1.72306317253599e-11	1.73137882523823e-08	0.502455269759005	0.00889971316965142	0.56854576331028	Significant
ENSG00000170231:FABP6	ENSG00000170231	FABP6	protein_coding	FABP6	26	7.26365726994811e-05	0.00780792479840795	0.502041514092852	0.00896511142776614	0.56854576331028	Significant
ENSG00000211445:GPX3	ENSG00000211445	GPX3	protein_coding	GPX3	26	0.000122338358025482	0.0116352337132795	0.501077102853851	0.00911910548698104	0.56854576331028	Significant
ENSG00000011638:TMEM159	ENSG00000011638	TMEM159	protein_coding	TMEM159	26	2.63785936714654e-06	0.000483837839953362	0.499760146263158	0.00933295355168118	0.56854576331028	Significant
ENSG00000162407:PLPP3	ENSG00000162407	PLPP3	protein_coding	PLPP3	24	2.92141964336585e-08	1.00771536384818e-05	0.499592028768108	0.00936055120004692	0.56854576331028	Significant
ENSG00000121905:HPCA	ENSG00000121905	HPCA	protein_coding	HPCA	26	6.51849446882305e-16	1.25540771390808e-12	-0.499284563720902	0.00941119980999699	0.56854576331028	Significant
ENSG00000196611:MMP1	ENSG00000196611	MMP1	protein_coding	MMP1	20	1.40543367271691e-06	0.000295281614637823	-0.498961545799255	0.00946465644236269	0.56854576331028	Significant
ENSG00000231437:LINC01750	ENSG00000231437	LINC01750	lncRNA	LINC01750	26	4.23529100779421e-09	1.77966928147513e-06	0.49755965775379	0.00969959995544005	0.56854576331028	Significant
ENSG00000111424:VDR	ENSG00000111424	VDR	protein_coding	VDR	26	0.000602293071053262	0.03877324558527	0.496919732093906	0.00980845016510759	0.56854576331028	Significant
ENSG00000233251:AC007743.1	ENSG00000233251	AC007743.1	antisense	AC007743.1	24	0.000430675716196721	0.0298899293604277	0.495573975886762	0.0100406842768452	0.56854576331028	Significant
ENSG00000055813:CCDC85A	ENSG00000055813	CCDC85A	protein_coding	CCDC85A	26	6.14289489209631e-05	0.00676040208815418	0.495271557091152	0.0100934971951679	0.56854576331028	Significant
ENSG00000186188:FFAR4	ENSG00000186188	FFAR4	protein_coding	FFAR4	26	5.97953998705972e-06	0.000966385654831729	-0.494782443622171	0.0101794030043235	0.56854576331028	Significant
ENSG00000154645:CHODL	ENSG00000154645	CHODL	protein_coding	CHODL	26	1.34734913609395e-06	0.000285675099855662	-0.493574585389396	0.0103941566810327	0.56854576331028	Significant
ENSG00000189337:KAZN	ENSG00000189337	KAZN	protein_coding	KAZN	26	1.30854536801431e-07	3.97197679732369e-05	0.491921829295031	0.0106941083386186	0.569267025309452	Significant
ENSG00000251095:AC093866.1	ENSG00000251095	AC093866.1	lncRNA	AC093866.1	26	2.21184456651643e-07	6.31085676256311e-05	0.490767902030047	0.0109077677106585	0.570827427651127	Significant
ENSG00000286351:AC046129.1	ENSG00000286351	AC046129.1	lncRNA	AC046129.1	8	0.000136760616023254	0.0124732117952805	0.487992727849452	0.011436175834326	0.577801041214365	Significant
ENSG00000124614:RPS10	ENSG00000124614	RPS10	protein_coding	RPS10	26	0.000535478638643754	0.0352576832412986	0.486330529773509	0.0117627177344736	0.577801041214365	Significant
ENSG00000180875:GREM2	ENSG00000180875	GREM2	protein_coding	GREM2	26	1.89532570659116e-13	2.73767952531427e-10	-0.485777756700635	0.0118730094309825	0.577801041214365	Significant
ENSG00000204949:FAM83A-AS1	ENSG00000204949	FAM83A-AS1	antisense	FAM83A-AS1	18	7.676787211228e-10	4.66890076943922e-07	-0.483886547309208	0.0122568576516524	0.580794294857181	Significant
ENSG00000254607:AP001783.1	ENSG00000254607	AP001783.1	lncRNA	AP001783.1	26	6.45007980655012e-06	0.0010189858483188	-0.482893595290392	0.012462471917351	0.580794294857181	Significant
ENSG00000113657:DPYSL3	ENSG00000113657	DPYSL3	protein_coding	DPYSL3	26	3.09053758012563e-08	1.03515092774324e-05	0.482852437847603	0.0124710558096324	0.580794294857181	Significant
ENSG00000129682:FGF13	ENSG00000129682	FGF13	protein_coding	FGF13	21	0.000389401454368054	0.0277355494379847	0.482621467615078	0.0125193183809621	0.580794294857181	Significant
ENSG00000177337:DLGAP1-AS1	ENSG00000177337	DLGAP1-AS1	antisense	DLGAP1-AS1	26	4.95637289312862e-08	1.61333428074782e-05	0.481483776682184	0.0127593081174404	0.582839616656541	Significant
ENSG00000089127:OAS1	ENSG00000089127	OAS1	protein_coding	OAS1	26	0.000317819730240511	0.0236177870919243	-0.481310696237523	0.0127961499389032	0.582839616656541	Significant
ENSG00000163362:INAVA	ENSG00000163362	INAVA	protein_coding	INAVA	26	4.4451208187804e-09	1.80230153057603e-06	0.479734646043246	0.0131356953271602	0.582848624551244	Significant
ENSG00000115306:SPTBN1	ENSG00000115306	SPTBN1	protein_coding	SPTBN1	26	0.000144393269275712	0.0129343908768642	0.4786456930792	0.0133746251077289	0.585015527679527	Significant
ENSG00000256439:AC008731.1	ENSG00000256439	AC008731.1	pseudogene	AC008731.1	26	7.69306907055875e-05	0.00797284839864051	0.477366615170392	0.0136598465158883	0.587550690692013	Significant
ENSG00000146352:CLVS2	ENSG00000146352	CLVS2	protein_coding	CLVS2	25	2.74224460185931e-07	7.36930406901982e-05	0.471991396027193	0.0149139563877745	0.593540868415903	Significant
ENSG00000144366:GULP1	ENSG00000144366	GULP1	protein_coding	GULP1	26	6.4542533010053e-08	2.07172566721574e-05	0.471050890750288	0.0151428437516186	0.593540868415903	Significant
ENSG00000135373:EHF	ENSG00000135373	EHF	protein_coding	EHF	26	3.09188950808375e-05	0.00382121168028468	0.470900030706055	0.0151798258093732	0.593540868415903	Significant
ENSG00000253506:NACA2	ENSG00000253506	NACA2	protein_coding	NACA2	25	8.65741290435633e-09	3.39121134970473e-06	0.470500662395442	0.0152780867506498	0.593540868415903	Significant
ENSG00000109861:CTSC	ENSG00000109861	CTSC	protein_coding	CTSC	26	3.5385808714531e-05	0.00417245625102819	0.470452478686454	0.0152899772340316	0.593540868415903	Significant
ENSG00000197991:PCDH20	ENSG00000197991	PCDH20	protein_coding	PCDH20	26	2.07788440768408e-09	9.82793292320648e-07	-0.47041038957737	0.0153003699621918	0.593540868415903	Significant
ENSG00000174946:GPR171	ENSG00000174946	GPR171	protein_coding	GPR171	21	3.98296008790646e-06	0.000708078389166202	0.469262663651887	0.0155860182625727	0.594795688206448	Significant
ENSG00000147003:CLTRN	ENSG00000147003	CLTRN	protein_coding	CLTRN	26	7.56958878582623e-05	0.00795185301951046	-0.469053791282435	0.0156384717622027	0.594795688206448	Significant
ENSG00000153563:CD8A	ENSG00000153563	CD8A	protein_coding	CD8A	26	2.34412752156839e-06	0.000447728356619562	0.469016796872053	0.0156477771809753	0.594795688206448	Significant
ENSG00000164972:C9orf24	ENSG00000164972	C9orf24	protein_coding	C9orf24	26	1.32336209334916e-07	3.97197679732369e-05	0.467318427657116	0.0160799093654752	0.598510049476026	Significant
ENSG00000168490:PHYHIP	ENSG00000168490	PHYHIP	protein_coding	PHYHIP	26	0.000214353985362242	0.0173822279147606	0.462792940607049	0.0172794783380964	0.615570082449506	Significant
ENSG00000172889:EGFL7	ENSG00000172889	EGFL7	protein_coding	EGFL7	26	2.87118943704558e-08	1.00539483453879e-05	-0.45997332108694	0.0180632973167041	0.617545657228326	Significant
ENSG00000262001:DLGAP1-AS2	ENSG00000262001	DLGAP1-AS2	antisense	DLGAP1-AS2	26	0.000195177350573178	0.0161757422065099	0.459046644414514	0.0183271705995557	0.620869961130329	Significant
ENSG00000067715:SYT1	ENSG00000067715	SYT1	protein_coding	SYT1	26	3.7240852025649e-14	6.14766665117695e-11	0.458703881447435	0.0184255690518986	0.621654491034202	Significant
ENSG00000152377:SPOCK1	ENSG00000152377	SPOCK1	protein_coding	SPOCK1	26	1.37960465663343e-05	0.00199275270121595	0.457096941449649	0.01889266343775	0.628597712136298	Significant
ENSG00000094804:CDC6	ENSG00000094804	CDC6	protein_coding	CDC6	26	9.29269852850589e-09	3.57939259487166e-06	0.455858531547511	0.0192592055407913	0.63286332371208	Significant
ENSG00000140022:STON2	ENSG00000140022	STON2	protein_coding	STON2	26	9.43528706078635e-05	0.00943978005462482	-0.455697140445227	0.0193073989154588	0.63286332371208	Significant
ENSG00000167476:JSRP1	ENSG00000167476	JSRP1	protein_coding	JSRP1	26	0.000245894294362593	0.0193954369863955	0.455337983556727	0.0194150013635007	0.63286332371208	Significant
ENSG00000166426:CRABP1	ENSG00000166426	CRABP1	protein_coding	CRABP1	20	3.68598433158049e-10	2.43390811106162e-07	0.453906885128818	0.0198486320161746	0.636000614483645	Significant
ENSG00000279249:AC007614.1	ENSG00000279249	AC007614.1	lncRNA	AC007614.1	26	3.06206588625315e-05	0.00380469917726863	-0.453719443310912	0.0199060090021295	0.636000614483645	Significant
ENSG00000137101:CD72	ENSG00000137101	CD72	protein_coding	CD72	26	8.03075447731203e-06	0.00124524885438004	-0.448679250167574	0.0215003496432065	0.654940942890116	Significant
ENSG00000164867:NOS3	ENSG00000164867	NOS3	protein_coding	NOS3	26	5.57960293608528e-07	0.000135737056269334	0.448312910056867	0.0216201706698711	0.654940942890116	Significant
ENSG00000173535:TNFRSF10C	ENSG00000173535	TNFRSF10C	protein_coding	TNFRSF10C	26	0.000119114514143243	0.0114702314015187	0.448312513351094	0.0216203007168075	0.654940942890116	Significant
ENSG00000164949:GEM	ENSG00000164949	GEM	protein_coding	GEM	26	1.14242683747452e-05	0.00168169596438686	0.446739840579158	0.0221408787506339	0.656636870663735	Significant
ENSG00000115648:MLPH	ENSG00000115648	MLPH	protein_coding	MLPH	26	1.12362872221857e-12	1.29840916995966e-09	0.446458579111863	0.0222350463427102	0.656636870663735	Significant
ENSG00000142173:COL6A2	ENSG00000142173	COL6A2	protein_coding	COL6A2	23	1.97909556910118e-06	0.000384360316785693	-0.445540108302363	0.022544825528823	0.656636870663735	Significant
ENSG00000134533:RERG	ENSG00000134533	RERG	protein_coding	RERG	26	1.30909359859375e-10	1.00848207190333e-07	0.445116332690231	0.0226889333269428	0.656636870663735	Significant
ENSG00000155886:SLC24A2	ENSG00000155886	SLC24A2	protein_coding	SLC24A2	25	3.59856108598666e-05	0.0042216418912811	0.444250892691357	0.0229855578887526	0.656636870663735	Significant
ENSG00000116032:GRIN3B	ENSG00000116032	GRIN3B	protein_coding	GRIN3B	26	2.64030664242207e-05	0.00340764805088349	-0.442843260338943	0.0234747386128542	0.660005698396196	Significant
ENSG00000121853:GHSR	ENSG00000121853	GHSR	protein_coding	GHSR	26	7.74166896848968e-12	8.13262325139841e-09	0.442579223136613	0.0235674312046509	0.660103481990805	Significant
ENSG00000182118:FAM89A	ENSG00000182118	FAM89A	protein_coding	FAM89A	26	0.000303602280654608	0.0229111615308489	-0.441271288869465	0.0240309833120878	0.662836452118203	Significant
ENSG00000128965:CHAC1	ENSG00000128965	CHAC1	protein_coding	CHAC1	26	9.03913163761076e-07	0.000197078652147945	-0.439100806726323	0.0248165329835493	0.671459790884236	Significant
