p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
C1orf127	0	0.336169928870912	0.602	0.424	0	0	C1orf127
C4orf48	0	0.335776281266019	0.974	0.919	0	0	C4orf48
LYSMD2	0	0.335015632272511	0.827	0.671	0	0	LYSMD2
KRT8	0	0.334822616997925	0.913	0.825	0	0	KRT8
ATP5IF1	0	0.330888734555719	0.979	0.929	0	0	ATP5IF1
H3F3A	0	0.329839972990988	0.998	0.974	0	0	H3F3A
ELOB	0	0.328753509034337	0.988	0.934	0	0	ELOB
ATP5MF	0	0.32827765325629	0.949	0.847	0	0	ATP5MF
DCXR	0	0.328269292425306	0.773	0.636	0	0	DCXR
BCAT2	0	0.32470469265361	0.492	0.317	0	0	BCAT2
ARF5	0	0.324667697599074	0.689	0.564	0	0	ARF5
PRDX5	0	0.321597444861229	0.993	0.965	0	0	PRDX5
NDUFB2	0	0.32143429359075	0.984	0.925	0	0	NDUFB2
YWHAB	0	0.320040201145628	0.904	0.803	0	0	YWHAB
HMGN3	0	0.319628518046654	0.882	0.738	0	0	HMGN3
BRI3	0	0.315985195017104	0.956	0.879	0	0	BRI3
DNPH1	0	0.310411652569348	0.597	0.427	0	0	DNPH1
FIS1	0	0.307829427310841	0.952	0.863	0	0	FIS1
COX17	0	0.306947231765847	0.981	0.912	0	0	COX17
CYB5A	0	0.306714193346739	0.819	0.665	0	0	CYB5A
DYNLRB1	0	0.306182098236562	0.948	0.857	0	0	DYNLRB1
EGFL7	0	0.306032776785067	0.395	0.252	0	0	EGFL7
COX5A	0	0.305055940312547	0.935	0.841	0	0	COX5A
ATP6V0E2	0	0.304352960018831	0.883	0.779	0	0	ATP6V0E2
RPL3	0	0.303884279594784	1	0.999	0	0	RPL3
COX11	0	0.303006452989119	0.652	0.51	0	0	COX11
COX6C	0	0.301707883564121	0.992	0.955	0	0	COX6C
ATP5MG	0	0.3000555010155	0.995	0.961	0	0	ATP5MG
NDUFS8	0	0.298164293313991	0.887	0.779	0	0	NDUFS8
NDUFB3	0	0.297092109276262	0.921	0.821	0	0	NDUFB3
GRSF1	0	0.296336137122567	0.733	0.607	0	0	GRSF1
PRSS23	0	0.295445266957319	0.934	0.874	0	0	PRSS23
AACS	0	0.294452512937242	0.492	0.354	0	0	AACS
NDUFB7	0	0.294418927132862	0.971	0.901	0	0	NDUFB7
NDUFB1	0	0.293913350952866	0.897	0.776	0	0	NDUFB1
ADH5	0	0.293270446301383	0.71	0.586	0	0	ADH5
CAPZB	0	0.293123376153012	0.833	0.724	0	0	CAPZB
RBX1	0	0.293049551073168	0.936	0.828	0	0	RBX1
NDUFA3	0	0.29134088591685	0.876	0.763	0	0	NDUFA3
PTPRN	0	0.290923975981993	0.997	0.991	0	0	PTPRN
COX7C	0	0.289492563453542	0.997	0.978	0	0	COX7C
CARHSP1	0	0.288759683886558	0.623	0.466	0	0	CARHSP1
NDUFA7	0	0.288199700792309	0.928	0.823	0	0	NDUFA7
RAB26	0	0.288190233770189	0.536	0.381	0	0	RAB26
TESC	0	0.288115517203034	0.477	0.319	0	0	TESC
SMDT1	0	0.287234398348317	0.968	0.889	0	0	SMDT1
NDUFV2	0	0.28699778081938	0.962	0.907	0	0	NDUFV2
CD82	0	0.286976467261813	0.341	0.176	0	0	CD82
ATP5MC3	0	0.285710110495088	0.976	0.926	0	0	ATP5MC3
VDAC3	0	0.28452045990654	0.82	0.709	0	0	VDAC3
ATP5ME	0	0.283484299886616	0.956	0.866	0	0	ATP5ME
ANXA6	0	0.282988733264101	0.649	0.515	0	0	ANXA6
CALM1	0	0.28292276316253	0.997	0.986	0	0	CALM1
SUMO2	0	0.28091144249789	0.989	0.936	0	0	SUMO2
WFS1	0	0.28064959823942	0.517	0.366	0	0	WFS1
BEX1	0	0.280484813493843	0.995	0.967	0	0	BEX1
ZNF428	0	0.280430700377784	0.764	0.627	0	0	ZNF428
ATP5MC1	0	0.278038652846156	0.91	0.807	0	0	ATP5MC1
UQCRQ	0	0.277142797791789	0.985	0.924	0	0	UQCRQ
CYSTM1	0	0.277087286189242	0.965	0.894	0	0	CYSTM1
SH3BGRL3	0	0.27703329024931	0.862	0.734	0	0	SH3BGRL3
PSMB5	0	0.276619519568879	0.951	0.878	0	0	PSMB5
NDUFC2	0	0.275945483773459	0.984	0.961	0	0	NDUFC2
SMIM4	0	0.274798335673644	0.725	0.581	0	0	SMIM4
CCDC12	0	0.273329807175731	0.734	0.605	0	0	CCDC12
ROMO1	0	0.271844334542602	0.884	0.767	0	0	ROMO1
RPL38	0	0.270243422498619	0.995	0.966	0	0	RPL38
COX7B	0	0.269689550280964	0.972	0.902	0	0	COX7B
NDUFS5	0	0.268803390676066	0.987	0.937	0	0	NDUFS5
NDUFAB1	0	0.268791534246312	0.948	0.872	0	0	NDUFAB1
YWHAQ	0	0.268611804550605	0.978	0.937	0	0	YWHAQ
SYNGR4	0	0.268608725068157	0.418	0.289	0	0	SYNGR4
ERICH5	0	0.265986010219415	0.55	0.405	0	0	ERICH5
SLIRP	0	0.264693264253261	0.921	0.826	0	0	SLIRP
TTC3	0	0.264663574527551	0.974	0.935	0	0	TTC3
RPL27	0	0.264430920469316	0.997	0.968	0	0	RPL27
EHBP1L1	0	0.263146343355255	0.483	0.345	0	0	EHBP1L1
CFL1	0	0.262504780660726	0.983	0.928	0	0	CFL1
GCSH	0	0.260765115648851	0.718	0.582	0	0	GCSH
ANTKMT	0	0.258967060424333	0.731	0.609	0	0	ANTKMT
SRD5A1	0	0.258318075878383	0.537	0.401	0	0	SRD5A1
RAB11A	0	0.258159129733823	0.86	0.772	0	0	RAB11A
YBX1	0	0.257401151484471	0.987	0.95	0	0	YBX1
POLR2L	0	0.257344235409137	0.927	0.83	0	0	POLR2L
RPS20	0	0.256780542228578	0.995	0.962	0	0	RPS20
ATP5MPL	0	0.256298778361794	0.975	0.916	0	0	ATP5MPL
GNG7	0	0.255308764333469	0.435	0.286	0	0	GNG7
COX8A	0	0.253785462212094	0.989	0.94	0	0	COX8A
COX6B1	0	0.253785241097626	0.979	0.92	0	0	COX6B1
AMACR	0	0.253488037715038	0.439	0.302	0	0	AMACR
SMIM6	0	0.246989979066285	0.377	0.222	0	0	SMIM6
COTL1	0	0.243221717697877	0.353	0.23	0	0	COTL1
SLC16A12	0	0.241832623313763	0.32	0.176	0	0	SLC16A12
ALDH2	0	0.240786264949286	0.421	0.294	0	0	ALDH2
TNFRSF21	0	0.23752497439358	0.475	0.344	0	0	TNFRSF21
BACE1	0	0.236901478812798	0.392	0.253	0	0	BACE1
KIF12	0	0.236504046859755	0.279	0.138	0	0	KIF12
ATP5F1D	5.75819296477096e-308	0.251085893025134	0.969	0.903	1.59726514649782e-303	0	ATP5F1D
PRXL2A	2.34498341363833e-307	0.258797329562301	0.884	0.794	6.50474949109135e-303	0	PRXL2A
MRPL41	4.54438349729737e-307	0.252717182657404	0.888	0.79	1.26056653831532e-302	0	MRPL41
SERF2	7.21736554167458e-307	0.239507269059624	0.998	0.978	2.00202502760511e-302	0	SERF2
MT-CO2	1.58469941145553e-303	0.336208686673491	0.998	0.997	4.3957976974365e-299	0	MT-CO2
COX7A2	8.14743189515524e-302	0.236106513681442	0.995	0.968	2.26001613339711e-297	0	COX7A2
DBP	1.97062923067818e-300	0.37413174702821	0.535	0.358	5.4663284229782e-296	0	DBP
PSMB3	1.36237524707274e-299	0.264129945656032	0.894	0.804	3.77909269785507e-295	0	PSMB3
ARL6IP4	7.09399697368929e-299	0.268509722368502	0.962	0.898	1.96780382053167e-294	0	ARL6IP4
MGST3	7.95914938028618e-298	0.274289463048142	0.963	0.907	2.20778844659758e-293	0	MGST3
CALM2	1.153948674075e-297	0.248608176561156	0.995	0.975	3.20093822701664e-293	0	CALM2
NAPA	9.48002571104006e-297	0.273475727292364	0.871	0.77	2.6296643319854e-292	0	NAPA
NDUFS7	2.77601370985632e-296	0.256253092636664	0.85	0.749	7.70038442977044e-292	0	NDUFS7
EDARADD	4.75803108229332e-296	0.249441486469612	0.511	0.37	1.31983024191734e-291	0	EDARADD
GTF2I	1.5539360093578e-295	0.275160065209405	0.781	0.671	4.31046309635761e-291	0	GTF2I
ECH1	2.78249602422853e-295	0.256658213703819	0.8	0.689	7.71836572160753e-291	0	ECH1
SYT13	3.81303189985357e-291	0.296341765488684	0.824	0.706	1.05769691870038e-286	0	SYT13
PSMC5	9.97018284458655e-290	0.259480288566661	0.912	0.828	2.76562901925986e-285	0	PSMC5
HMGN5	5.56619875930477e-289	0.234412093622844	0.504	0.379	1.54400787384355e-284	0	HMGN5
HAGH	1.94091887221439e-288	0.261230312338907	0.802	0.689	5.3839148596355e-284	0	HAGH
FFAR1	1.32161337470698e-287	0.312923905908065	0.676	0.524	3.66602334009969e-283	0	FFAR1
CDC42BPA	2.73994064658682e-287	0.244909555467208	0.61	0.482	7.60032135956719e-283	0	CDC42BPA
HINT1	2.90150006293613e-287	0.256679860929956	0.999	0.979	8.04847102457852e-283	0	HINT1
NDUFB4	3.51005328736369e-286	0.255581263901589	0.979	0.929	9.73653681381815e-282	0	NDUFB4
PSMB6	6.26917392351559e-286	0.256532676842347	0.927	0.847	1.73900615464399e-281	0	PSMB6
ATP5F1C	6.1543375159682e-285	0.258364873007674	0.896	0.815	1.70715168355442e-280	0	ATP5F1C
NANOS1	2.06507299589503e-284	0.279961486960978	0.435	0.295	5.72830598331323e-280	0	NANOS1
AP1S1	1.01445375139562e-283	0.251094133410859	0.784	0.661	2.81399326099632e-279	0	AP1S1
EBPL	1.454908151932e-283	0.26630832887804	0.66	0.527	4.03576972264417e-279	0	EBPL
SUMO1	1.09260967920196e-282	0.250355782170946	0.903	0.813	3.03078998913831e-278	0	SUMO1
FKBP3	1.493282377848e-282	0.254696673315735	0.735	0.607	4.14221598791256e-278	0	FKBP3
NDUFB6	2.36395337072267e-282	0.250877306971943	0.896	0.804	6.55737025504762e-278	0	NDUFB6
SRP9	4.89864888871135e-281	0.246951056753088	0.938	0.846	1.35883621523964e-276	0	SRP9
ALDH9A1	2.73802986353014e-280	0.254769288926918	0.718	0.607	7.59502103844626e-276	0	ALDH9A1
ETFB	7.13985426233368e-280	0.258843282966218	0.838	0.743	1.98052417382874e-275	0	ETFB
TXNL4A	1.24397296988139e-279	0.24651942217074	0.894	0.795	3.450656621154e-275	0	TXNL4A
TPD52	1.27752399586489e-279	0.227549950322944	0.95	0.885	3.54372381212961e-275	0	TPD52
PRDX2	2.87029100146976e-279	0.293478707849595	0.985	0.946	7.96190020897696e-275	0	PRDX2
NDUFA13	1.167451620674e-278	0.259792312683178	0.994	0.976	3.23839405058761e-274	0	NDUFA13
ROBO2	1.40265631370463e-278	0.238343934607753	0.433	0.298	3.89082834858526e-274	0	ROBO2
RPL27A	1.97808979440271e-278	0.210636860349783	0.999	0.987	5.48702328069367e-274	0	RPL27A
NDUFA1	3.85720913448788e-278	0.243608257618715	0.961	0.907	1.06995124181559e-273	0	NDUFA1
HACD3	5.32606895283363e-278	0.276011869031743	0.787	0.689	1.47739826682652e-273	0	HACD3
RPL7A	8.60547052794737e-278	0.295612645344566	1	0.997	2.38707146974732e-273	0	RPL7A
AP1M2	1.03334183855356e-277	0.249026865383522	0.579	0.447	2.86638692596372e-273	0	AP1M2
ATP5MC2	7.6953790017151e-277	0.246745553452566	0.992	0.954	2.13462118128575e-272	0	ATP5MC2
RPL7	9.90391347422169e-277	0.212271819935467	0.998	0.98	2.74724655861435e-272	0	RPL7
CHST9	1.3664412341231e-276	0.259928548514442	0.587	0.444	3.79037133933407e-272	0	CHST9
EIF4A2	3.99435099232988e-276	0.294652112058089	0.996	0.982	1.10799302176239e-271	0	EIF4A2
AKR1A1	1.33492861481205e-275	0.229781333913256	0.805	0.707	3.70295848462715e-271	0	AKR1A1
ATOX1	1.48025958911751e-275	0.24059433427385	0.837	0.718	4.10609207425306e-271	0	ATOX1
ATP5PO	3.06500447896289e-274	0.257292624742525	0.946	0.863	8.50201592419516e-270	0	ATP5PO
ANXA7	1.77167132566153e-273	0.248058522369756	0.909	0.847	4.91443909025252e-269	0	ANXA7
WSCD2	3.50738909129453e-273	0.201005797120469	0.303	0.183	9.7291466003419e-269	0	WSCD2
SLC29A4	3.597321760115e-273	0.30215619624928	0.714	0.56	9.97861083038301e-269	0	SLC29A4
KDELR1	1.53930279626121e-272	0.252106610626384	0.958	0.922	4.26987202654896e-268	0	KDELR1
DEAF1	1.39967956190548e-271	0.231518440817902	0.562	0.423	3.8825711367696e-267	0	DEAF1
NDUFB8	3.01819747235543e-271	0.245644474209091	0.98	0.948	8.37217796856672e-267	0	NDUFB8
ATP5F1E	1.06422338919763e-270	0.254661118477601	0.998	0.982	2.95204925929529e-266	0	ATP5F1E
MAGED2	1.27756028970476e-270	0.307657343168339	0.851	0.767	3.54382448761203e-266	0	MAGED2
CD200	1.72239666917165e-270	0.22714624559632	0.58	0.454	4.77775612061524e-266	0	CD200
MICOS10	1.91435755354757e-270	0.239870104565781	0.943	0.863	5.3102364177856e-266	0	MICOS10
CCS	3.39976709682163e-270	0.239211854495164	0.586	0.474	9.43061394987352e-266	0	CCS
MRPS34	7.89078838208952e-270	0.237824516521812	0.802	0.68	2.18882578930781e-265	0	MRPS34
TSTD1	1.00772985886622e-268	0.273401685560082	0.924	0.834	2.79534185550902e-264	0	TSTD1
ZFAND6	2.195019881429e-268	0.22288098757057	0.685	0.57	6.08876564909591e-264	0	ZFAND6
ATP5F1A	6.18903099120838e-268	0.248219011180687	0.925	0.857	1.71677530665129e-263	0	ATP5F1A
NUDT14	7.2876797284954e-268	0.257334888002141	0.773	0.628	2.02152947988734e-263	0	NUDT14
LSM7	2.65630065201923e-267	0.236876980428888	0.855	0.739	7.36831237863613e-263	0	LSM7
SNHG32	3.26046098935538e-267	0.285465226503195	0.879	0.785	9.0441927383729e-263	0	SNHG32
STUB1	1.06299173765356e-266	0.250880769865469	0.915	0.826	2.94863278107721e-262	0	STUB1
RPSA	3.96348889719456e-266	0.248645491588447	0.999	0.986	1.0994321851928e-261	0	RPSA
TRNP1	4.17766592908128e-266	0.24536558357575	0.473	0.332	1.15884275206786e-261	0	TRNP1
PFN1	4.72851014140826e-266	0.226291938045757	0.912	0.809	1.31164142812524e-261	0	PFN1
CMBL	1.71921617553714e-265	0.233902155599777	0.511	0.376	4.76893374932248e-261	0	CMBL
NDUFB10	3.31777902798648e-265	0.253972943590812	0.933	0.855	9.20318724573171e-261	0	NDUFB10
COX4I1	6.39128678819114e-265	0.222940738393031	0.998	0.983	1.77287904217634e-260	0	COX4I1
ABHD14A	1.43545502618204e-264	0.261508861980209	0.665	0.528	3.98180869712635e-260	0	ABHD14A
IAPP	4.69430641350645e-264	0.558580700290976	0.974	0.957	1.30215365604255e-259	0	IAPP
RNF130	7.27509545423868e-262	0.245345495384301	0.768	0.662	2.01803872805127e-257	0	RNF130
PABPC1	8.19630692268146e-261	0.267628350616462	0.924	0.837	2.27357357728261e-256	0	PABPC1
MEAF6	1.8383493457713e-260	0.240971628982345	0.854	0.757	5.09939725023502e-256	0	MEAF6
NAXE	3.38598870727132e-260	0.226426795981365	0.769	0.657	9.3923940750999e-256	0	NAXE
LSM4	7.74170579098562e-260	0.224568302734361	0.855	0.746	2.1474717693615e-255	0	LSM4
CISD3	2.33206878583613e-259	0.209962860227143	0.651	0.52	6.46892560503084e-255	0	CISD3
PGRMC1	2.33728610324623e-259	0.265118097358186	0.778	0.681	6.48339792179471e-255	0	PGRMC1
SLC25A6	1.06302865102758e-258	0.21774469644098	0.987	0.946	2.94873517508542e-254	0	SLC25A6
NEDD8	1.72045221321965e-258	0.23455726272547	0.953	0.866	4.77236239424999e-254	0	NEDD8
PPL	3.44409722769388e-258	0.282673055032298	0.665	0.544	9.55358129990005e-254	0	PPL
OCIAD2	3.68160102683335e-258	0.247494215282589	0.894	0.809	1.0212393088333e-253	0	OCIAD2
HMGN1	4.07177005801067e-258	0.231756945227991	0.957	0.892	1.12946829639158e-253	0	HMGN1
ETFDH	1.4083685494334e-257	0.212484084219904	0.461	0.34	3.9066735192733e-253	0	ETFDH
GCH1	5.29958917882904e-257	0.205881283137064	0.496	0.377	1.47005304231539e-252	0	GCH1
ZNHIT1	3.68635771474269e-256	0.239304134439342	0.852	0.736	1.02255876649247e-251	0	ZNHIT1
FCGRT	4.32235306412847e-256	0.246673246516912	0.484	0.371	1.1989775164586e-251	0	FCGRT
ADI1	5.08883223799725e-256	0.205194359729968	0.435	0.317	1.41159117449806e-251	0	ADI1
DHRS4L2	6.1856787154113e-256	0.213906028848888	0.552	0.429	1.71584541886794e-251	0	DHRS4L2
MNX1	8.41273851629725e-256	0.309211614131034	0.622	0.496	2.33360953703569e-251	0	MNX1
RPS29	1.63667783451749e-255	0.223891436596134	0.995	0.965	4.53998064516806e-251	0	RPS29
RPS11	5.79252254277058e-255	0.241709911690574	0.999	0.982	1.60678782813913e-250	0	RPS11
MIEN1	6.76623262378839e-254	0.221189141590432	0.79	0.659	1.87688526751266e-249	0	MIEN1
ARL3	8.8151392713269e-254	0.236575418531116	0.854	0.754	2.44523148247337e-249	0	ARL3
MT-ND3	4.71390197125636e-253	0.328219633663282	0.998	0.997	1.3075892678068e-248	0	MT-ND3
CSTB	1.40281959414068e-251	0.25532083206553	0.986	0.94	3.89128127218683e-247	0	CSTB
RCAN3	9.32872070529534e-251	0.240596454693017	0.674	0.555	2.58769383644187e-246	0	RCAN3
EEF2	1.2407127718027e-250	0.223023785740703	0.994	0.974	3.44161315770351e-246	0	EEF2
COX5B	1.50609090215474e-250	0.241139099795019	0.984	0.935	4.17774555348703e-246	0	COX5B
SLC2A4RG	1.10833623627484e-249	0.21629846010367	0.404	0.278	3.07441388580278e-245	0	SLC2A4RG
UQCR10	6.62753015366721e-249	0.210548822275662	0.963	0.89	1.83841058932575e-244	0	UQCR10
ATP5MD	7.02576243272784e-249	0.221998768891902	0.982	0.925	1.94887624121438e-244	0	ATP5MD
ATP5PD	1.11041537204991e-248	0.245945276993908	0.929	0.841	3.08018120052925e-244	0	ATP5PD
DSTN	2.24828897087069e-247	0.214541386822634	0.995	0.971	6.23652877629821e-243	0	DSTN
MYH10	4.0494416234452e-247	0.213276921759005	0.384	0.272	1.12327461192746e-242	0	MYH10
SOD1	4.40559722690603e-247	0.23832583452605	0.988	0.953	1.22206861477146e-242	0	SOD1
SELENOH	4.86228534890452e-247	0.230171770139605	0.944	0.855	1.34874933293263e-242	0	SELENOH
GCHFR	6.31151711991917e-247	0.200155209752779	0.42	0.291	1.75075173389438e-242	0	GCHFR
RPL10A	1.48188349521073e-246	0.25195316302152	0.996	0.979	4.11059662736505e-242	0	RPL10A
HIGD2A	1.8834810825704e-246	0.222662573121228	0.865	0.751	5.22458817494203e-242	0	HIGD2A
FMC1	4.06529697469554e-246	0.222450287586147	0.729	0.601	1.12767272781079e-241	0	FMC1
C1orf122	1.24215575043392e-245	0.216894773336214	0.862	0.76	3.44561583612865e-241	0	C1orf122
ZNF706	1.62261843810901e-245	0.20353166693056	0.896	0.807	4.50098128547057e-241	0	ZNF706
TUBB	2.72222843869377e-245	0.249425744823117	0.966	0.921	7.55118946609264e-241	0	TUBB
NDUFB11	3.70592639512765e-245	0.249992246935094	0.951	0.897	1.02798692274446e-240	0	NDUFB11
ISYNA1	1.87764375367119e-244	0.211252203873284	0.4	0.279	5.20839600830852e-240	0	ISYNA1
RPL4	2.25883730926653e-244	0.217546244479928	0.996	0.963	6.26578881217442e-240	0	RPL4
TLE5	3.34685547000752e-243	0.278139012478069	0.924	0.84	9.28384238825385e-239	0	TLE5
KIAA1324	5.75998512296061e-243	0.269234659274843	0.792	0.701	1.59776227325804e-238	0	KIAA1324
METTL5	1.55371787463258e-242	0.232159058646386	0.852	0.746	4.30985801244331e-238	0	METTL5
MLXIPL	1.90447296103896e-242	0.271046404861251	0.691	0.565	5.28281754662596e-238	0	MLXIPL
MT-ND4	4.81529489408998e-241	0.301683809058723	0.999	0.998	1.33571465067162e-236	0	MT-ND4
SF3B5	6.04879086058141e-241	0.228791335239386	0.935	0.858	1.67787409681668e-236	0	SF3B5
SRP14	1.08147970030798e-240	0.214787874151805	0.995	0.973	2.99991654068431e-236	0	SRP14
UBL5	1.1021701323498e-240	0.219014577933267	0.987	0.944	3.05730973012512e-236	0	UBL5
ARPC2	1.30391365228911e-240	0.228295341390429	0.912	0.831	3.61692608008475e-236	0	ARPC2
RPS3	5.12801474079872e-240	0.246483439150476	1	0.996	1.42246000895016e-235	0	RPS3
NDUFA11	6.35716400148302e-239	0.217616226997131	0.963	0.903	1.76341372237138e-234	0	NDUFA11
DCK	1.45203048259047e-238	0.203715217811475	0.463	0.35	4.02778735565771e-234	0	DCK
C7orf50	2.40195623092749e-238	0.225336039557548	0.788	0.673	6.66278638896978e-234	0	C7orf50
MRPL20	2.71695028544369e-238	0.212186506974342	0.91	0.815	7.53654839679225e-234	0	MRPL20
NDUFA2	7.91658364747866e-238	0.218738279352892	0.889	0.791	2.19598113797411e-233	0	NDUFA2
PPDPF	1.00863243440332e-237	0.251757311800653	0.988	0.943	2.79784550979138e-233	0	PPDPF
SPAG7	5.1930783928168e-237	0.213939156786185	0.703	0.588	1.44050801538345e-232	0	SPAG7
NDUFAF3	1.92137254692204e-236	0.220328379251227	0.878	0.775	5.32969530790705e-232	0	NDUFAF3
ENSA	5.20402196411483e-236	0.211494143051696	0.834	0.734	1.44354365262581e-231	0	ENSA
ELP4	7.68312590273591e-236	0.21742445066327	0.576	0.465	2.13122229415991e-231	0	ELP4
IDH3G	8.5562299292114e-236	0.216952953488372	0.609	0.494	2.37341262006395e-231	0	IDH3G
EEF1A1	1.32156151121711e-235	0.249717223487175	1	0.999	3.66587947596514e-231	0	EEF1A1
ATP6V0B	3.81952770522775e-235	0.2371678221443	0.985	0.966	1.05949879015313e-230	0	ATP6V0B
TTC39A	6.3706070082992e-235	0.21826397398631	0.572	0.454	1.76714267803212e-230	0	TTC39A
CACNA1A	7.15282391374964e-235	0.27005610753184	0.691	0.564	1.98412182543501e-230	0	CACNA1A
UROS	1.02615530059681e-234	0.209257262001375	0.607	0.484	2.84645218832548e-230	0	UROS
SCP2	1.71088402745469e-234	0.218373594485441	0.863	0.764	4.74582120375656e-230	0	SCP2
CCDC107	2.56268992227857e-234	0.219338231498141	0.736	0.627	7.10864557540853e-230	0	CCDC107
