Disease_State	Top2markers:expression	Cell_Type	q0	q5	q10	q15	q20	q25	q30	q35	q40	q45	q50	q55	q60	q65	q70	q75	q80	q85	q90	q95	q100
ND	GCG:2.3|COL1A1:2.2	Alpha	0.525513795	1.226086928	1.551204865	1.967978784	2.15392924	2.319603695	2.703976114	2.885377108	2.996377314	3.101088703	3.350160838	3.516561736	3.682861073	3.996867374	4.213854783	4.446726809	4.649515354	5.061168081	5.755388505	6.245089317	15.97546101
ND	GCG:9.5|SST:1.5	Alpha	0.674423759	3.128885047	3.84256712	4.575817631	5.058384031	5.324006034	5.832931877	6.210623776	6.528141166	7.030273803	7.403645248	7.919823158	8.387604439	8.904107676	9.305303216	10.0592911	10.84136124	11.73120536	13.03190557	16.24192673	28.66745064
ND	GCG:8.3|SST:1.4	Alpha	0.108075271	0.748130811	1.037527411	1.313487815	1.468540857	1.861071064	2.042435994	2.183251315	2.515791793	2.993189356	3.209701096	3.543020853	3.798763962	4.063091887	4.410232586	4.623564119	4.99211078	5.617738368	6.181290231	7.847132255	22.71311063
ND	GCG:2.8|PECAM1:2.6	Alpha	0.826822031	1.824433287	2.382029047	2.592254102	2.880711527	3.068988374	3.285167043	3.454826463	3.633725535	3.792969765	3.918492261	4.14958694	4.291168203	4.448006256	4.733516881	4.894654427	5.080743344	5.418132625	5.887810754	6.471785745	11.3547301
ND	GCG:9.7|PPY:0.2	Alpha	5.08E-02	7.33E+00	8.20E+00	8.75E+00	9.23E+00	9.58E+00	9.92E+00	1.02E+01	1.06E+01	1.09E+01	1.12E+01	1.16E+01	1.19E+01	1.24E+01	1.28E+01	1.34E+01	1.40E+01	1.47E+01	1.57E+01	1.78E+01	3.30E+01
ND	GCG:8.6|INS:2	Alpha	8.49E+00	1.94E+01	2.23E+01	2.37E+01	2.56E+01	2.70E+01	2.93E+01	3.15E+01	3.27E+01	3.36E+01	3.54E+01	3.67E+01	3.79E+01	3.92E+01	4.17E+01	4.26E+01	4.39E+01	4.52E+01	4.70E+01	4.86E+01	4.96E+01
ND	GCG:10.1|PPY:0.2	Alpha	3.58E+00	7.19E+00	8.28E+00	8.89E+00	9.36E+00	9.88E+00	1.02E+01	1.06E+01	1.08E+01	1.14E+01	1.18E+01	1.23E+01	1.27E+01	1.34E+01	1.39E+01	1.46E+01	1.54E+01	1.65E+01	1.77E+01	2.19E+01	4.77E+01
ND	GCG:6.9|INS:0.5	Alpha	4.15E-03	3.92E-01	2.20E+00	3.60E+00	6.07E+00	7.56E+00	8.53E+00	9.38E+00	1.01E+01	1.08E+01	1.14E+01	1.19E+01	1.25E+01	1.36E+01	1.45E+01	1.55E+01	1.72E+01	1.85E+01	2.00E+01	2.32E+01	3.83E+01
ND	GCG:9.2|SST:0.4	Alpha	6.00E-02	2.43E+00	3.35E+00	3.98E+00	4.60E+00	5.12E+00	5.74E+00	6.20E+00	6.76E+00	7.57E+00	8.46E+00	8.83E+00	9.34E+00	9.95E+00	1.05E+01	1.14E+01	1.24E+01	1.35E+01	1.58E+01	1.86E+01	3.08E+01
ND	GCG:9.2|PRSS1:0.5	Alpha	0.14360542	4.72366174	5.21587952	5.56458567	5.83512309	6.04928425	6.27019594	6.47860283	6.7044564	6.87670328	7.06543118	7.26540702	7.47760457	7.70548677	7.98422273	8.20761092	8.54394365	8.95682872	9.44100527	10.25721136	19.52331052
ND	GCG:8|INS:1.1	Alpha	0.96817503	3.45339267	4.3656463	4.87260208	5.19369264	5.45299461	5.83110072	6.09887242	6.36212818	6.60330666	6.91595301	7.25026589	7.5383196	7.87100567	8.1893692	8.53995757	8.99318257	9.47040591	10.51445226	11.970245	19.1055258
ND	GCG:8.8|INS:1.9	Alpha	5.16785494	8.22339907	9.05117866	9.73372921	10.33244065	10.76147309	11.25233908	11.73905182	12.1860298	12.56951446	12.97279915	13.4534731	13.87806005	14.39594137	15.32231987	16.06619941	16.53369084	17.54380178	18.73454694	21.34830595	33.07897941
ND	GCG:9.9|INS:5.9	Alpha	1.181418049	4.804020266	5.378705094	5.799718605	6.026095515	6.285379968	6.501787149	6.719541739	6.904581794	7.135059694	7.403216371	7.640671435	7.855619851	8.047104951	8.370431737	8.826806053	9.170863195	10.02370146	11.32413626	13.35813689	27.27209488
ND	GCG:10.1|INS:6.4	Alpha	1.678461352	3.91342474	4.726797614	5.235595564	5.580624508	5.788461123	6.102207342	6.22700776	6.517386375	6.699890571	6.883928679	7.170382591	7.474167526	7.88603323	8.331996787	8.763042799	9.549598797	10.44615891	12.37743644	14.63171558	29.2631126
ND	GCG:7.8|INS:7.5	Alpha	3.927441753	11.74320275	15.30557507	17.92935824	19.04806058	19.88941558	21.78058603	23.16159363	24.16723307	25.27225181	26.97948365	28.11029075	29.24564586	30.88502004	32.95417274	34.24542355	35.43495074	36.45511384	38.46125014	43.48536398	46.39693275
ND	GCG:9.7|INS:3	Alpha	0.65947485	5.10853533	5.53271154	5.79987167	6.17600626	6.53556734	6.76071099	7.04266588	7.30462948	7.4941997	7.67265488	7.94878968	8.13042619	8.61478958	8.97262342	9.4672404	9.95233792	10.93640534	12.48407155	18.83177347	43.61555508
ND	GCG:7.4|INS:6.5	Alpha	1.28952372	13.0000923	17.07325287	19.38455721	20.85143691	22.68306652	23.67169158	24.9147603	25.30208718	25.67646995	26.26407775	27.20950466	28.37136216	29.65458321	31.2050362	31.698563	32.38521713	34.33873412	35.90277733	38.72142357	45.17971629
ND	GCG:9.7|INS:4.5	Alpha	3.47913038	4.48811689	4.84695677	4.98262621	5.38052986	5.45987661	5.61568062	6.04207717	6.3391238	6.62610388	6.71664997	6.9225153	7.12683634	7.17545547	7.65984044	8.37107575	8.94077888	9.19896205	9.65394621	11.44876915	22.30021527
ND	GCG:9.2|INS:5.1	Alpha	0.3892749	5.1635003	5.6789104	6.0811844	6.3551913	6.5437692	6.8484065	7.0916901	7.3886694	7.604112	7.7584046	8.0530052	8.3099821	8.727521	9.3360113	9.9179163	11.0611678	14.5577533	20.2343935	25.5704078	47.5365051
ND	GCG:9.1|INS:2	Alpha	0.70056087	4.71730571	5.81354196	6.64865021	7.2555531	7.77231862	8.17455881	8.64386619	9.01093561	9.35185558	9.69166427	10.03712745	10.54537659	11.02324937	11.48224588	12.01106087	12.60255363	13.32204196	14.98509213	18.0807161	31.67394922
ND	GCG:8.5|INS:3	Alpha	0.38666438	1.91424414	2.80953321	3.3784387	3.93477229	4.51970559	5.02397196	5.39923608	5.77718224	6.25260047	6.68651805	7.12096583	7.4825559	7.93628514	8.36538945	8.85253829	9.32019892	10.07195305	11.00461961	12.49357029	23.79788808
ND	GCG:9.7|INS:6.9	Alpha	0.3877948	6.9503322	7.8410937	8.4195918	8.9396831	9.3927419	9.768947	10.1641195	10.4872411	10.7912143	11.1744514	11.6049921	12.0032767	12.3996728	12.8553685	13.4066296	13.9374208	14.8400494	16.2361298	18.953401	35.1682777
ND	GCG:9.8|INS:6.9	Alpha	1.2043003	2.4624525	3.3182552	3.8846105	4.1882336	4.7786662	5.1725827	5.5752676	6.294722	6.9908322	7.4777025	7.978136	8.5385572	9.2394929	10.2021063	10.6829521	11.9834146	13.1208947	14.5950044	16.8830529	37.0701021
ND	GCG:10.4|INS:6.9	Alpha	3.4588277	8.0772463	8.9684533	9.555595	10.2005791	10.6718895	11.0295803	11.3709807	11.648255	12.1399021	12.4689592	12.9014907	13.2623536	13.5520805	14.1681104	14.5139818	15.1039017	15.7189599	18.3897831	22.3168806	33.1338029
ND	GCG:8.4|INS:6.9	Alpha	0.23834	10.3078193	15.2991607	18.10678	19.9016557	21.5283167	23.4844693	24.5659476	26.389198	27.8638973	29.2326694	30.9544986	32.7688824	34.0076622	34.6797061	35.8753067	37.0192051	39.7686242	41.2759705	45.0853202	49.6385514
ND	GCG:10|INS:7	Alpha	2.1294933	7.9312299	9.0827013	9.5016099	9.8210357	10.4714462	10.6437982	10.8165941	11.2581213	11.5219771	11.7921547	12.088586	12.398706	12.6140158	12.933016	13.2125426	13.5989059	14.2506723	15.5001355	16.7975237	26.1648972
ND	GCG:9.5|INS:2.8	Alpha	0.01760445	7.056102371	7.922292744	8.650894964	9.011332665	9.339120685	9.725740767	10.2701288	10.53805477	10.93701479	11.15524101	11.52345636	11.82501122	12.18970686	12.57005424	12.82272577	13.27691631	13.9017424	14.49782609	16.5860083	29.80841345
ND	GCG:9.5|INS:3.5	Alpha	0.850609565	4.625641454	6.273615891	7.32725985	7.835687229	8.348291831	9.010701547	9.520874076	10.03230121	10.47833962	10.88669454	11.53009111	12.14293631	12.89517256	13.92403367	15.3163374	18.9020697	23.62545921	26.79875287	32.6701112	48.45285492
ND	GCG:10|SST:1.7	Alpha	1.40483483	5.24920995	6.18878763	6.99813419	7.33719395	7.85181805	8.45611576	8.84991767	9.11044574	9.5550489	9.9891617	10.44093873	10.83360033	11.24077536	11.59195284	12.0426651	12.69004965	13.96910822	15.17559016	16.48102853	34.28800599
ND	GCG:9.6|SST:1.9	Alpha	5.14970751	7.0903415	8.57704839	9.05947884	9.38645297	9.88306801	10.16696443	10.41650274	10.6555367	10.94369502	11.26161465	11.62847504	11.94970011	12.21800174	12.60593434	13.31649077	13.70540803	14.58716576	15.45338966	17.52083253	30.72472154
ND	GCG:8.6|INS:3.1	Alpha	11.45161976	14.88846592	17.81777986	19.20230471	22.74264162	23.5362977	24.64568246	25.63802895	27.27026203	28.99252053	30.2121303	31.10481461	33.05461794	33.93532624	35.29244737	36.07568042	38.60522348	39.94345698	41.83794339	45.49467089	49.82900767
ND	GCG:10.2|SST:1	Alpha	3.48325938	8.92230929	9.31852188	9.60579273	9.94141425	10.4152365	10.90218736	11.25031557	11.48289727	11.61376036	11.83413297	12.19133556	12.49948332	12.84155151	13.1435649	13.56704248	13.96445025	14.64437813	15.47975297	17.48170149	28.70352205
ND	GCG:10.9|INS:1.1	Alpha	0.235695499	4.255545525	5.534356138	6.029932797	6.37051168	6.679977964	6.906317625	7.208524173	7.462182136	7.703061696	7.917068487	8.20023214	8.531596419	8.910469293	9.259184153	9.603849886	9.994925634	10.4990748	11.51425227	13.72805144	30.87810227
ND	GCG:9.7|INS:3.8	Alpha	13.17906389	15.49374105	16.49009315	16.74204338	17.80259844	19.70570053	21.31472039	23.06142336	23.69607848	25.11157509	26.37684882	27.012516	27.6120669	29.01464276	29.42755627	31.95509028	34.0862111	37.59292318	39.49579253	42.72185741	49.7881535
ND	GCG:10.7|PPY:0.3	Alpha	0.44259949	3.922727	5.15000714	5.57084626	6.15410744	6.54219352	6.94656466	7.11069043	7.30266322	7.68800991	8.00331996	8.22410545	8.43517097	8.80872019	9.12355174	9.41660316	9.62899239	10.13251763	10.94940328	12.37719178	31.77721164
ND	GCG:4.2|INS:4	Alpha	4.4500601	12.09590165	15.16814084	16.05351726	17.20608902	17.63844448	19.19907669	21.24626859	22.68312203	26.05107393	28.448963	29.9071188	32.80013311	35.89328897	37.44115252	38.31631614	40.32432696	41.71908435	44.74824927	45.78658503	49.1348007
ND	GCG:10.8|PPY:0.4	Alpha	0.42291261	3.63393128	5.04746356	5.64872457	6.12417784	6.45414568	6.76593035	7.04903049	7.3347469	7.56646933	7.74418898	8.09079199	8.39688358	8.71945739	9.16046006	9.41974607	9.79957259	10.12776429	10.90196637	11.97961085	21.03771256
ND	GCG:9.2|INS:1.4	Alpha	10.23787274	14.89127203	16.56460883	18.2194101	19.76514507	20.04782533	21.86589082	23.09382068	23.80457629	25.72316311	26.68734662	27.48100227	31.21813149	33.00093727	33.48364782	34.63253617	35.26263379	36.20693402	36.99754661	42.3978998	48.53498075
ND	GCG:8.9|INS:5.5	Alpha	0.015320124	4.468614282	5.502295779	6.022005676	6.450680903	6.863181322	7.285942214	7.587989093	7.904735716	8.25234225	8.59960879	8.969693213	9.355873125	9.750064948	10.09198445	10.65420733	11.34699791	12.55291946	14.92638069	20.69456358	48.00605877
ND	GCG:9.2|INS:6	Alpha	2.632209234	7.748074719	8.751822911	10.01879765	10.97529966	11.7025036	12.57947716	12.98578501	13.4687081	14.15160141	14.92787822	15.9755354	16.62293191	17.26563508	18.19353855	18.72605798	19.76002221	21.09797187	22.70498175	25.25973252	33.53365947
ND	GCG:6.9|INS:6.2	Alpha	0.650098847	1.232971948	1.50703666	1.757438795	2.228016314	2.284677434	2.510145591	2.968611538	3.272355408	3.705559949	4.246108221	4.580396936	4.941098349	5.374724615	5.941295589	6.737368867	8.08579466	10.07185491	11.04395703	14.664059	23.79449793
ND	GCG:9.3|INS:5.4	Alpha	1.32020861	7.304973726	8.317536187	9.096024023	9.516657598	9.871293966	10.21252952	10.48218886	10.78231848	11.10313237	11.38386901	11.66757511	12.04554384	12.38176004	12.69560715	12.97652595	13.4548685	14.00428208	14.87675518	16.6150335	29.12623373
ND	GCG:8.6|INS:5.5	Alpha	0.6253129	4.787070017	6.072712929	7.091341658	7.6541245	8.147748912	8.47952798	8.858462839	9.342278905	9.706861549	10.11044929	10.35372028	10.70054685	11.07892105	11.56810434	12.08320385	12.78431756	13.53139995	14.52763667	16.21225123	29.10089628
ND	GCG:7.7|INS:5.7	Alpha	1.373752439	2.594511579	3.456276896	3.90080443	4.20485846	4.731984877	5.133257915	5.492505347	6.053396741	6.466306153	6.720178819	7.023272406	7.391529631	7.579210656	8.068203332	8.457333868	8.843797011	9.920159072	11.25735818	14.26966416	38.88849007
ND	GCG:7.4|INS:6.6	Alpha	5.979933199	11.83136912	14.58315256	16.26415121	17.50152986	18.50975929	19.61540563	20.52246004	21.53868299	22.24032066	23.27272369	24.41349002	26.16392759	27.88258825	29.49288059	32.30915068	33.97049564	36.14050471	38.70843055	43.05280143	48.53059545
ND	GCG:9.4|PPY:2.6	Alpha	0.045723924	2.149405078	3.380165859	4.463568913	5.503626231	6.180133606	6.958671587	7.609566904	8.280473889	9.221260587	10.06471237	11.02848555	11.665739	12.75660421	13.7470773	14.51041949	15.57864031	17.48122508	19.30010509	21.30146182	30.11633735
ND	GCG:9.3|PPY:1.7	Alpha	0.381721675	13.75507808	15.45812057	16.50775769	17.2623242	18.3025915	19.11431323	19.89730421	20.97147185	21.67193867	22.44260417	23.30787978	24.78385791	25.67440022	26.84913003	28.61995722	31.30665897	33.18431912	36.01801446	39.84230286	48.50814944
ND	GCG:10.2|PPY:1.1	Alpha	0.004684562	5.91606256	6.962299961	7.494850248	7.915158838	8.307964899	8.705852067	9.108839873	9.362610182	9.67515588	10.00549205	10.25671091	10.53756186	11.04128472	11.51043285	11.82131522	12.13686601	12.87422318	13.73392598	14.90553636	19.27136869
ND	GCG:11.3|INS:5	Alpha	0.0973202	4.36890887	4.82717648	5.19905687	5.43003066	5.62057705	5.8733657	6.18564392	6.46067911	6.78240225	7.12449715	7.42872917	7.78149166	8.24513804	8.71053819	9.09779484	9.99090565	11.75056373	13.57899118	16.7768091	34.33770502
ND	GCG:11.3|INS:5.2	Alpha	4.05658489	4.55851382	5.58919526	6.0275306	6.09108902	6.1941816	6.32327966	6.6038126	7.53640396	7.66780955	7.70826851	7.75704419	7.97915018	8.57820594	8.94178333	9.19799573	9.61952968	10.193205	12.91926867	16.63783137	26.47283426
ND	GCG:9.4|INS:4.9	Alpha	0.44452243	2.28331716	2.87605481	3.34179965	3.7529506	4.14829059	4.40477824	4.97632954	5.34944537	5.64811273	5.92976545	6.35340373	6.80372316	7.32311938	7.74729569	8.80089594	9.48845431	10.56753442	11.73301205	14.90751696	24.59033803
ND	GCG:8.6|INS:5.2	Alpha	5.81357912	14.69764918	16.48085019	18.9213726	19.98683951	21.12587131	22.45867449	23.80001628	24.51443306	25.42181159	26.70399276	27.7379184	28.59796534	30.30768938	30.51808827	31.21646243	32.73775873	34.97576514	36.2098984	37.74715429	42.45565538
ND	GCG:10|INS:5.3	Alpha	0.138118985	2.873384682	5.211903568	7.733029533	9.535632938	10.99753298	12.41534505	13.88382675	14.72505367	15.68829415	16.361546	17.22883854	17.80316963	18.98632657	19.97168127	20.8758338	22.5091381	24.13449934	27.02709215	30.81138345	49.9333582
ND	GCG:9.4|INS:5.3	Alpha	0.199135148	0.436937322	0.715064794	0.937075895	1.096431225	1.200261163	1.508081811	1.63303282	1.845839587	2.007424503	2.364541365	2.927165526	3.094177793	3.292658451	4.133763438	4.728683072	5.521761748	6.857575091	8.198197984	10.99184091	19.24569201
ND	GCG:10.3|INS:4.2	Alpha	0.033793472	1.869289791	3.808232422	4.698341703	5.366035377	5.762129154	6.099635173	6.542944387	6.799117149	7.002522815	7.209817477	7.508664209	7.863889198	8.164955823	8.602793173	8.996815127	9.358255954	10.0425128	10.97739992	13.51060974	25.90781986
ND	GCG:9.3|INS:3.9	Alpha	0.2807793	5.3676324	10.1198921	12.8253868	14.8494669	16.8795101	18.2370077	19.4063799	20.3528057	21.8277593	23.1838339	24.4316479	26.1626013	27.6298369	28.745936	30.1233563	31.8095209	33.746637	36.7355284	39.7775424	48.8224022
ND	GCG:10|INS:2.3	Alpha	0.3077595	2.7034868	4.4526334	5.3053793	6.3256981	7.0677402	7.4974569	8.0303419	8.5001798	9.0853163	9.3912251	9.7966439	10.2229961	10.5431063	11.2010344	11.7784305	12.5227904	13.3587166	16.3196033	18.8800199	27.0256911
ND	GCG:8.7|INS:6.3	Alpha	9.49412625	12.70235237	19.19471063	20.13650779	22.0376678	23.69894866	24.90024426	25.97387073	27.28199773	28.29740731	29.63459859	30.49594614	32.55836242	34.6110747	36.00436527	36.86542468	40.17606362	41.37018886	43.49668916	46.56001807	49.5843157
ND	GCG:9.8|INS:6.5	Alpha	0.06040343	4.6818604	6.80364663	7.46259175	8.10776913	8.61843495	8.99737272	9.42969799	9.88344803	10.31044156	10.73831123	11.1164191	11.46364864	11.95935037	12.65661993	13.38614863	13.97530328	14.7274019	15.72725118	17.85073997	31.19574751
ND	INS:12.8|SST:2.1	Beta	0	2.393184256	3.09784978	3.446819354	3.795042334	4.071173914	4.314110106	4.57679666	4.773841027	4.97734577	5.214152843	5.421080168	5.640741097	5.92428737	6.258056375	6.69239656	7.113773059	7.657870541	8.469736471	9.922974435	14.85791933
ND	INS:10.2|SST:1.1	Beta	4.345221091	8.765797777	10.52175055	11.37069104	11.80508781	12.40115706	12.921372	14.17275179	14.78936338	15.10904443	15.39252318	15.81851477	16.52546742	17.58667711	18.91797623	20.20440373	20.86798006	21.75416206	22.31714004	25.12416929	32.2589468
ND	INS:3.8|HLA-DPB1:1	Beta	0.075697769	0.960696024	1.149199	1.285400141	1.864726524	2.080603424	2.109468409	2.31997516	2.54715302	2.6256996	2.947468614	3.020384424	3.051262015	3.174680592	3.442176088	3.520040636	3.97983367	4.256838074	4.461937725	6.153143933	14.63437852
ND	INS:12.8|SST:1.6	Beta	0.018198483	1.068263302	1.252028769	1.477378872	1.766642829	2.027478461	2.315887205	2.454909343	2.61741524	2.844472605	3.083996447	3.347364985	3.763262825	4.040472869	4.326440418	4.697449041	5.079597545	5.350199616	6.723564961	7.743199195	11.8935361
ND	INS:2.4|PECAM1:2.2	Beta	0	0.168367592	0.299176337	0.504725733	0.706376243	0.866147357	1.010774381	1.099407426	1.236941911	1.305445135	1.411733203	1.490766807	1.560518008	1.624322769	1.786677294	1.938166449	2.091065866	2.300182135	2.789032242	3.295755816	8.604005113
ND	INS:11.9|SST:1.4	Beta	0.049520921	3.950038002	4.368107893	4.596438503	4.802823282	5.021719566	5.235772692	5.381758139	5.581943104	5.796480994	5.98558849	6.141541055	6.317469208	6.558341611	6.752539681	6.99294733	7.255577211	7.63734594	8.091414123	8.77256641	11.80188457
ND	INS:11.3|SST:9.7	Beta	2.297492289	4.438856177	4.741668742	4.924966826	5.181575234	5.419600607	5.850604387	6.203178921	6.41113169	6.792770626	7.148577955	7.416889617	7.596375254	8.304032961	8.568928547	9.436352808	10.05764361	10.36418103	10.9507778	12.34482097	15.68692594
ND	INS:10.4|GCG:8.4	Beta	3.336644111	3.972431779	5.552142719	5.704964185	5.921529527	6.243199186	6.544578503	7.246172794	7.813292069	8.359303666	8.650122967	9.061551324	9.615413127	10.16863716	10.46510651	11.41829871	11.72044978	12.19950227	12.72585306	13.46868086	15.14866702
ND	INS:11.7|SST:1.1	Beta	0.07430134	3.153950152	4.018096329	4.427960731	4.641861051	4.953118649	5.210719641	5.394412105	5.652686513	5.875671305	6.128119356	6.397703394	6.638048526	6.847184266	7.111422344	7.559496536	7.915345671	8.297265285	8.754691025	9.604604297	12.80195641
ND	INS:11.3|SST:1.5	Beta	0.309527801	3.523381876	4.451513898	5.228964214	5.979277539	7.040129279	8.152289566	8.942178719	9.854496668	10.4213431	10.93506916	11.68870671	12.17192316	13.06615075	13.95354879	14.65389436	15.67026366	17.16338274	19.06330522	21.55674658	29.53059264
ND	INS:10.7|PPY:0.8	Beta	2.432067887	5.10929357	6.316131326	6.895092167	7.422767616	7.897013904	8.194351714	8.49830542	8.878655845	9.239047909	9.611974354	9.948296092	10.20623908	10.46376651	10.94237218	11.44932951	11.88256332	12.64247003	13.55918045	15.19313752	26.75852517
ND	INS:11.6|SST:1.2	Beta	0.011389209	3.993563689	4.403996334	4.699928665	4.938409102	5.113167287	5.352078906	5.596022846	5.766151637	6.087744165	6.34664154	6.561256043	6.706503374	7.09947963	7.316763517	7.662319437	8.015178596	8.715527175	9.435273247	11.09711929	13.32075855
ND	INS:11.6|SST:1.1	Beta	0.107159502	0.849696656	1.348336327	1.612212878	2.249318317	2.837512808	3.437370824	3.85926431	4.306402252	4.615650265	4.96459236	5.22482543	5.430438883	5.771083122	6.215802265	6.614079831	7.236488396	7.622375557	8.270636853	9.136362825	13.81186875
ND	INS:11.9|SST:1.6	Beta	0.03986991	4.87342692	5.27896445	5.62545611	5.99994274	6.36582795	6.59568767	6.87734033	7.13344728	7.50564414	7.80490995	8.0799777	8.39239113	8.72670059	9.12397205	9.54411169	10.11894982	10.78790994	11.61918994	13.15955423	18.75415738
ND	INS:12.6|SST:2.1	Beta	0.30381669	0.84889091	1.29868365	1.4788211	1.7179666	2.08050908	2.27494193	2.6579798	2.91745907	3.20292435	4.07964767	4.60051726	5.01848232	5.34942935	5.69772495	6.02680449	6.69380305	7.60145428	8.21102586	9.77032362	14.26212341
ND	INS:3.1|HLA-DPB1:2.4	Beta	1.16469233	1.27948946	1.43756227	1.78385674	1.99500245	2.06863098	2.1165303	2.16579917	2.18867171	2.19692275	2.25073979	2.33188842	2.41582513	2.6331654	2.75895934	2.79740885	2.84701621	2.91291309	3.02497995	3.50898784	4.54337746
ND	INS:12.1|GCG:2.2	Beta	0.05714655	1.78898465	2.53569	3.13328758	3.61626318	4.10497611	4.43078284	4.88783775	5.29875479	5.62114526	5.93881266	6.35255398	6.65708644	6.95321481	7.2756956	7.78393741	8.35724237	8.98105516	10.15328605	11.75752315	17.99891348
ND	INS:12.4|SST:1.9	Beta	0.05419996	1.52208732	2.26149168	2.54503576	2.91304115	3.26456587	3.63557163	3.82524257	4.03738827	4.23273975	4.38927453	4.57419203	4.85693832	5.12129352	5.3226619	5.53533171	5.78086612	6.13566954	6.48232545	6.94157401	9.70004873
ND	INS:7.2|GCG:6.5	Beta	2.97065205	4.32453879	4.73986628	5.23608701	5.52782583	6.38254874	6.79787447	7.5281427	8.16392318	8.86454772	9.39619595	10.0466385	11.09904528	11.60485985	12.28856057	13.42035859	14.70900677	16.29606276	18.51947612	20.66947848	29.91725512
ND	INS:11.1|SST:9.4	Beta	0.19570828	2.10425	2.83785356	3.230449	3.84563667	4.32106137	4.70465544	5.04944151	5.33282517	5.63751777	5.86033492	6.49346999	6.71764509	7.17805037	7.54011806	8.04994415	8.5790018	9.04778462	9.68799579	10.35233734	12.70063757
ND	INS:11.7|SST:0.2	Beta	0.73198841	5.34330279	6.16733013	6.68309443	7.0569352	7.3742332	7.69209473	7.99654271	8.3802704	8.77908989	9.09851662	9.54812466	9.9252147	10.39255274	10.77436314	11.50269822	12.08070107	12.82398735	13.77251094	15.08182103	24.16276538
